Appliance,Brand,Model.No,Country,CEC,SRI,Star,TotWatCons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value,Factoid4Name,Factoid4Value
Clothes Dryer,BOSCH,WTL6500AU,Germany,257,2.31,2,0,6,Type,Condenser,Control,Autosensing,Combination,,Program Time,147
Clothes Dryer,KLEENMAID ST GEORGE,LEK33/37  LEG33/37,United States,437,2.19,2,0,9,Type,Vented,Control,Autosensing,Combination,,Program Time,123
Clothes Dryer,LG,WD12495FD,"""Korea, Republic of""",204,2.6503,2.5,15,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,226
Clothes Dryer,LG,WD12490FD,"""Korea, Republic of""",204,2.6503,2.5,15,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,226
Clothes Dryer,Technika,TWDC84,Italy,153,3.006833015,3,71.2,4,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,173
Clothes Dryer,BOSCH,WTL6500AU,Germany,257,2.31,2,0,6,Type,Condenser,Control,Autosensing,Combination,,Program Time,147
Clothes Dryer,BOSCH,WTL6300AU,Germany,257,2.31,2,0,6,Type,Condenser,Control,Autosensing,Combination,,Program Time,147
Clothes Dryer,LG,WD-1481RD,"""Korea, Republic of""",163,2.6173,2.5,46,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,189
Clothes Dryer,LG,WD-1247RD and WD-1248RD,"""Korea, Republic of""",229,1.8984,1.5,64,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,197
Clothes Dryer,LG,WD-1438RD,"""Korea, Republic of""",174,2.2154,2,58,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,236
Clothes Dryer,LG,WD-1488RD,"""Korea, Republic of""",173,2.2509,2,39,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,205
Clothes Dryer,CANDY,CB 103 TR,Italy,91,0.21,1,28,1.5,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,102
Clothes Dryer,FISHER & PAYKEL,ED56,New Zealand,227,1.31,1,0,4.5,Type,Vented,Control,Autosensing,Combination,FALSE,Program Time,145
Clothes Dryer,MAYTAG,MDE8426,United States,405,2,2,0,9,Type,Vented,Control,Autosensing,Combination,,Program Time,104
Clothes Dryer,MAYTAG,MDE3050,United States,405,2,2,0,9,Type,Vented,Control,Autosensing,Combination,,Program Time,104
Clothes Dryer,LG,TD-C901H,"""Korea, Republic of""",170,7.34829467,6,0,9,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,311
Clothes Dryer,ARISTON,AL 128 D,Italy,143,2.61,2.5,31.5,3.5,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,150
Clothes Dryer,SAMSUNG ELECTRONICS,WD8122CVB,"""Korea, Republic of""",265,2.1218,2,64.11,6,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,239
Clothes Dryer,LG,WD12585FD6,"""Korea, Republic of""",311,2.509990391,2.5,33.15,7.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,318
Clothes Dryer,OMEGA,WD9500,"""Korea, Republic of""",203,2.6252,2.5,34.08,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,224
Clothes Dryer,LG,WD-1438RD,"""Korea, Republic of""",174,2.2154,2,58,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,236
Clothes Dryer,LG,WD-1435 RD,"""Korea, Republic of""",174,2.2154,2,58,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,236
Clothes Dryer,LG,WD14800RD,"""Korea, Republic of""",173,2.2509,2,39,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,205
Clothes Dryer,CANDY,GO W496D-AUS,Italy,207,2.5199,2.5,40.1,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,215
Clothes Dryer,ELECTROLUX,EWW1273,Thailand,142,2.64,2.5,29.8,3.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,131
Clothes Dryer,DAEWOO,DWC-ED1232,"""Korea, Republic of""",203,2.6252,2.5,34.08,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,224
Clothes Dryer,CANDY,CLD 135 AUS,Italy,199,2.09616,2,50.3,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,216
Clothes Dryer,LG,WD-1255RD and WD-1256RD,"""Korea, Republic of""",262,2.1919,2,76,6,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,197
Clothes Dryer,LG,WD14030RD6,"""Korea, Republic of""",220,2.4118,1.5,23.8,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,268.9
Clothes Dryer,LG,WD14030FD6,"""Korea, Republic of""",220,2.4118,1.5,23.8,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,268.9
Clothes Dryer,SAMSUNG ELECTRONICS,WD7704C8S.,"""Korea, Republic of""",145,3.337,3,48.6,4,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,179
Clothes Dryer,BOSCH,WTY88700AU,Poland,109,8.536686244,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,225
Clothes Dryer,BOSCH,WTC84100AU,Poland,270,2.006833015,2,0,6,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,140
Clothes Dryer,BOSCH,WTE86303AU,Poland,355,2.092892171,2,0,8,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,203
Clothes Dryer,CANDY,GO W496D-01S,Italy,207,2.5199,2.5,40.1,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,215
Clothes Dryer,SIEMENS,WT48Y780AU,Poland,109,8.536686244,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,225
Clothes Dryer,euro,EFD735CW,China,148,2.389638788,2,59.5,3.5,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,198
Clothes Dryer,ASKO,T754HP,Sweden,164,6.023018779,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,200
Clothes Dryer,ASKO,T784HP,Sweden,164,6.023018779,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,200
Clothes Dryer,ASKO,T754C,Sweden,292,2.017360185,2,0,6.5,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,140
Clothes Dryer,ASKO,T784C,Sweden,292,2.017360185,2,0,6.5,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,140
Clothes Dryer,ASKO,T794C,Sweden,292,2.017360185,2,0,6.5,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,140
Clothes Dryer,DAEWOO,DWC-LD1412,"""Korea, Republic of""",220,2.1451,2,44.86,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,212
Clothes Dryer,ARISTON,AQXXMD 129,Italy,227,2.55,2.5,35,5.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,242
Clothes Dryer,ARISTON,CAWD125,Italy,193,2.32,2,33.05,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,275
Clothes Dryer,ARISTON,ARML125,Italy,193,2.32,2,33.05,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,275
Clothes Dryer,ARISTON,ARMF125,Italy,193,2.32,2,33.05,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,275
Clothes Dryer,INDESIT,WIDXL126,Italy,193,2.32,2,33.05,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,275
Clothes Dryer,LG,WD14030RD,"""Korea, Republic of""",220,1.5,1.5,28,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,271
Clothes Dryer,SAMSUNG ELECTRONICS,WD856UHSAWQ,China,290,1.567136764,1.5,95,6,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,360
Clothes Dryer,SAMSUNG ELECTRONICS,WD8704EJA,"""Korea, Republic of""",153,3.0068,3,63.82,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,247
Clothes Dryer,SAMSUNG ELECTRONICS,WD0754W8E,"""Korea, Republic of""",165,2.5422,2.5,71.8,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,278
Clothes Dryer,Smeg,SAWD612,Italy,134,2.0525814,2,50.8,3,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,185.5
Clothes Dryer,BEKO,DPU 7390 GX,Turkey,103,8.885069624,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,172
Clothes Dryer,ARISTON,AQM9D 29 U,Italy,227,2.55,2.5,34.9,5.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,240
Clothes Dryer,ARISTON,AQXXMD 129,Italy,227,2.55,2.5,34.9,5.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,240
Clothes Dryer,INDESIT,IWDC 7125 B,"Italy,Poland",193,2.32,2,33.05,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,275
Clothes Dryer,HOOVER,DYC 9713AX,Turkey,159,6.213533359,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,245
Clothes Dryer,ANDI,AFWD14LA8H,Italy,141,3.509409,3.5,69,4,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,162
Clothes Dryer,ANDI,AFWD12LA6H,Italy,122,2.62986,2.5,52,3,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,186
Clothes Dryer,LG,WD14022RD6,"""Korea, Republic of""",190,1.674150407,1.5,25,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,264
Clothes Dryer,Smeg,SACD7,Turkey,313,2.046025054,2,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,179
Clothes Dryer,Smeg,SAHP7,Turkey,163,6.060652715,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,225
Clothes Dryer,MIELE,WT2670,Germany,84,3.8036,3.5,11.4,2.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,77.9
Clothes Dryer,MIELE,WT 2780,Germany,77,4.36,4,12.71,2.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,164
Clothes Dryer,BEKO,DPU 7360 GX,Turkey,163,6.060652715,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,225
Clothes Dryer,MIELE,T 8929 WP,"Germany,Czech Republic",127,7.596246846,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,167
Clothes Dryer,MIELE,T 8001 WP,"Germany,Czech Republic",127,7.596246846,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,167
Clothes Dryer,WHIRLPOOL,WDEHP80C*,France,155,7.191945402,6,0,8,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,243
Clothes Dryer,LG,WD12576FD,"""Korea, Republic of""",248,2.5298,2.5,25,6,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,225
Clothes Dryer,LG,WD12570FD,"""Korea, Republic of""",248,2.5298,2.5,25,6,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,225
Clothes Dryer,LG,WD14030FD,"""Korea, Republic of""",220,1.5,1.5,11,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,273
Clothes Dryer,ELECTROLUX,EDP2074PDW,Poland,314,2.026397831,2,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,191
Clothes Dryer,SAMSUNG ELECTRONICS,WD1102XVM,"""Korea, Republic of""",305,2.205,2,114.08,7,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,365
Clothes Dryer,MIELE,T 8861 WP,"Germany,Czech Republic",149,7.434863634,6,0,8,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,195
Clothes Dryer,HOOVER,WDYN 9646P,Italy,178,3.4486,3,47,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,211
Clothes Dryer,LG,TD-C8035E,"""Korea, Republic of""",356,2.075583779,2,0,8,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,235
Clothes Dryer,LG,WD1402CRD6,"""Korea, Republic of""",190,1.674150407,1.5,25,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,264
Clothes Dryer,Haier,HD80-01,China,358,2.041112376,2,0,8,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,216
Clothes Dryer,EUROMAID,CD6KG,Turkey,280,1.783058195,1.5,0,6,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,163
Clothes Dryer,Ariston,TCF 87B 6H1,United Kingdom,355,2.092892171,2,0,8,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,196
Clothes Dryer,ASKO,T754HP,Sweden,164,6.023018779,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,202
Clothes Dryer,ASKO,T784HP,Sweden,164,6.023018779,6,0,7,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,202
Clothes Dryer,ELECTROLUX,EDH3284PDW,Poland,168,6.696379361,6,0,8,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,247
Clothes Dryer,ELECTROLUX,EDC2086PDW,Poland,357,2.058323938,2,0,8,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,215
Clothes Dryer,ELECTROLUX,EWW12832,Thailand,174,3.58846479,3.5,28,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,194
Clothes Dryer,ASKO,T754C,Sweden,292,2.017360185,2,0,6.5,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,144
Clothes Dryer,ASKO,T784C,Sweden,292,2.017360185,2,0,6.5,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,144
Clothes Dryer,ASKO,T794C,Sweden,292,2.017360185,2,0,6.5,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,144
Clothes Dryer,Smeg,SACD8,Turkey,350,2.180172066,2,0,8,Type,Condenser,Control,Autosensing,Combination,FALSE,Program Time,207
Clothes Dryer,Smeg,SAWD814,Italy,147,5.212478024,5,67.8,5.5,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,165.7
Clothes Dryer,LG,WD12595FD6,"""Korea, Republic of""",311,2.509990391,2.5,42,7.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,307
