ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,DELONGHI,15,292,Single,China,True,570.0,815.0,IEC,DEDW650S,AS/NZS 2007.1:2005,3.53030784774,3.5,0.0,0.0,Normal,170.0,"Australia,New Zealand",0.26,70366,Approved,11.9,Freestanding,False,598.0,2018-03-28,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,LG,14,326,Single,"""Korea, Republic of""",True,,,,LD-1420T1,AS/NZS 2007.1:2005,3.03,3.0,0.00025,0.33,"Eco 50, Spray-Strong",233.0,"Australia,New Zealand",0.33,40796,Approved,13.9,Freestanding,False,,2013-12-09,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,DELONGHI,14,270,Single,China,True,605.0,845.0,IEC,DEDW645SI,AS/NZS 2007.1:2005,3.55649127313,3.5,0.0,0.33,Normal,165.0,"Australia,New Zealand",0.22,70459,Approved,12.1,Freestanding,False,598.0,2018-03-29,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,DELONGHI,14,270,Single,China,True,605.0,845.0,IEC,DEDW645S,AS/NZS 2007.1:2005,3.55649127313,3.5,0.0,0.33,Normal,165.0,"Australia,New Zealand",0.22,70459,Approved,12.1,Freestanding,False,598.0,2018-03-29,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,DELONGHI,14,270,Single,China,True,605.0,845.0,IEC,DEDW645W,AS/NZS 2007.1:2005,3.55649127313,3.5,0.0,0.33,Normal,165.0,"Australia,New Zealand",0.22,70459,Approved,12.1,Freestanding,False,598.0,2018-03-29,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,BELLINI,12,382,Single,China,False,,,,BDW107X,AS/NZS 2007.1:2005,2.15143,2.0,0.0,1.105,NORMAL,117.0,"Australia,Fiji,New Zealand",0.027,55426,Approved,11.6,Freestanding,False,,2016-01-23,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,BELLINI,12,382,Single,China,False,,,,BDW107W,AS/NZS 2007.1:2005,2.15143,2.0,0.0,1.105,NORMAL,117.0,"Australia,Fiji,New Zealand",0.027,55426,Approved,11.6,Freestanding,False,,2016-01-23,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,DANIELA,12,382,Single,China,True,,,,DDW103CS,AS/NZS 2007.1:2005,2.1514,2.0,0.0,1.6,NORMAL WASH,93.0,"Australia,New Zealand",0.0,44131,Approved,11.5,Built-in,False,,2014-07-16,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,ASTIVITA,12,382,Single,China,True,,,,Gianni DW10*SC-GI,AS/NZS 2007.1:2005,2.1514,2.0,0.0,1.6,NORMAL ,93.0,"Australia,New Zealand",2.1,45986,Approved,11.5,Built-in,False,,2014-10-01,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,OMEGA,12,327,Single,China,True,,,,ODW507TXB,AS/NZS 2007.1:2005,2.5873,2.5,0.0,0.39,Normal ,140.0,"Australia,Fiji,New Zealand",0.2,59084,Approved,10.5,Freestanding,False,,2016-07-16,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,OMEGA,12,327,Single,China,True,,,,ODW507TWB,AS/NZS 2007.1:2005,2.5873,2.5,0.0,0.39,Normal ,140.0,"Australia,Fiji,New Zealand",0.2,59084,Approved,10.5,Freestanding,False,,2016-07-16,,
