ApplStandard,Brand,Cap,CEC_,Conn_Type,Country,delayStartMode,Depth,Height,Load_Type,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Prog Time,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Tot Wat Cons,Type,Water_Softener,Width,ExpDate,GrandDate,Product Class
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Smeg,14,264,Single,Italy,True,600.0,850.0,,DWAU149*N,AS/NZS 2007.1:2005,3.6195,3.5,0.0,1.4467,Normal Eco,147.0,"Australia,New Zealand",0.0277,57740,Approved,12.6,Freestanding,False,600.0,2016-05-11,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Smeg,14,264,Single,Italy,True,600.0,850.0,,DWAI149*,AS/NZS 2007.1:2005,3.6195,3.5,0.0,1.4467,Normal Eco,147.0,"Australia,New Zealand",0.0277,57740,Approved,12.6,Freestanding,False,600.0,2016-05-11,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Smeg,14,264,Single,Italy,True,600.0,850.0,,DWAU149*,AS/NZS 2007.1:2005,3.6195,3.5,0.0,1.4467,Normal Eco,147.0,"Australia,New Zealand",0.0277,57740,Approved,12.6,Freestanding,False,600.0,2016-05-11,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Smeg,14,264,Single,Italy,True,600.0,850.0,,DWA147*,AS/NZS 2007.1:2005,3.6195,3.5,0.0,1.4467,Normal Eco,147.0,"Australia,New Zealand",0.0277,57740,Approved,12.6,Freestanding,False,600.0,2016-05-11,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Smeg,14,264,Single,Italy,True,600.0,850.0,,DWA149*,AS/NZS 2007.1:2005,3.6195,3.5,0.0,1.4467,Normal Eco,147.0,"Australia,New Zealand",0.0277,57740,Approved,12.6,Freestanding,False,600.0,2016-05-11,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Tisira,12,336,Single,China,True,,,,TDW-1W,AS/NZS 2007.1:2005,2.5112,2.5,0.000177,2.388295,Economic/Normal,140.0,"Australia,New Zealand",0.29352,57591,Approved,15.573,Freestanding,False,,2016-06-06,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Tisira,12,336,Single,China,True,,,,TDW-1S,AS/NZS 2007.1:2005,2.5112,2.5,0.000177,2.388295,Economic/Normal,140.0,"Australia,New Zealand",0.29352,57591,Approved,15.573,Freestanding,False,,2016-06-06,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Tisira,8,244,Single,China,True,,,,L45X,AS/NZS 2007.1:2005,2.27,2.0,0.0,2.0,Normal,116.0,"Australia,New Zealand",0.0,56550,Approved,12.0,Freestanding,False,,2016-04-05,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Tisira,8,244,Single,China,True,,,,L45W,AS/NZS 2007.1:2005,2.27,2.0,0.0,2.0,Normal,116.0,"Australia,New Zealand",0.0,56550,Approved,12.0,Freestanding,False,,2016-04-05,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Ilve,8,294,Single,China,False,560.0,870.0,,WQP8-9274AY,AS/NZS 2007.1:2005,1.75831,1.5,0.0,1.916636,Normal,117.0,"Australia,New Zealand",0.288119,54667,Approved,13.0,Built-in,False,400.0,2016-06-21,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Ilve,8,294,Single,China,False,560.0,870.0,,WQP8-J9377Y,AS/NZS 2007.1:2005,1.75831,1.5,0.0,1.916636,Normal,117.0,"Australia,New Zealand",0.288119,54667,Approved,13.0,Built-in,False,400.0,2016-06-21,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Ilve,12,269,Single,China,True,570.0,870.0,,WQP12-9378Y,AS/NZS 2007.1:2005,3.1347,3.0,0.0,2.04,Normal,112.0,"Australia,New Zealand",0.0,54666,Approved,12.0,Built-in,False,600.0,2016-06-21,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,Ilve,12,269,Single,China,True,570.0,870.0,,WQP12-9346A,AS/NZS 2007.1:2005,3.1347,3.0,0.0,2.04,Normal,112.0,"Australia,New Zealand",0.0,54666,Approved,12.0,Built-in,False,600.0,2016-06-21,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,ANDI,12,317,Single,China,False,580.0,850.0,,AF606EX,AS/NZS 2007.1:2005,2.6744,2.5,0.0,2.208,Normal,120.0,Australia,0.029,51315,Approved,15.647,Freestanding,False,600.0,2015-06-01,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,ANDI,12,317,Single,China,False,580.0,850.0,,AF606EW,AS/NZS 2007.1:2005,2.6744,2.5,0.0,2.208,Normal,120.0,Australia,0.029,51315,Approved,15.647,Freestanding,False,600.0,2015-06-01,,
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,BOSCH,14,225,Single,Germany,True,,,IEC,SMS53E02AU,AS/NZS 2007.1:2005,4.06766134519,4.0,0.0,4.595,Normal 45,148.0,"Australia,Fiji,New Zealand",0.122,71576,Approved,12.3,Built-in,False,,2018-04-10,,Single product class
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,BOSCH,14,225,Single,Germany,True,,,IEC,SMU53E05AU,AS/NZS 2007.1:2005,4.06766134519,4.0,0.0,4.595,Normal 45,148.0,"Australia,Fiji,New Zealand",0.122,71576,Approved,12.3,Built-in,False,,2018-04-10,,Single product class
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,BOSCH,14,225,Single,Germany,True,,,IEC,SMV63M00AU,AS/NZS 2007.1:2005,4.06766134519,4.0,0.0,4.595,Normal 45,148.0,"Australia,Fiji,New Zealand",0.122,71576,Approved,12.3,Built-in,False,,2018-04-10,,Single product class
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,BOSCH,15,245,Single,Germany,True,,,IEC,SMU68M15AU,AS/NZS 2007.1:2005,4.02234014411,4.0,0.0,3.872,Eco 45,145.0,"Australia,Fiji",0.592,72262,Approved,12.39,Built-in,True,,2018-05-20,,Single product class
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,BOSCH,15,245,Single,Germany,True,,,IEC,SMS68M12AU,AS/NZS 2007.1:2005,4.02234014411,4.0,0.0,3.872,Eco 45,145.0,"Australia,Fiji",0.592,72262,Approved,12.39,Built-in,True,,2018-05-20,,Single product class
Greenhouse and Energy Minimum Standards (Dishwashers) Determination 2012,BOSCH,15,245,Single,Germany,True,,,IEC,SMV69T10AU,AS/NZS 2007.1:2005,4.02234014411,4.0,0.0,3.872,Eco 45,145.0,"Australia,Fiji",0.592,72262,Approved,12.39,Built-in,True,,2018-05-20,,Single product class
