ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model Name,Model No,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6,False,Autosensing,Sweden,595.0,850.0,single,T783C,AS/NZS 2442.1:1996,270,2.01,2.0,program 3 Auto Normal Dry,144.0,Australia,Approved,39681,4.7,,Condenser,595.0,2013-09-21,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,4.5,True,Autosensing,"""Korea, Republic of""",640.0,850.0,,WD14030RD6,AS/NZS 2442.1:1996,220,2.4118,1.5,Dry Only; 1400 rpm; Eco dry,268.9,"Australia,New Zealand",Approved,56681,3.608,23.8,Condenser,600.0,2016-04-17,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,4.5,True,Autosensing,"""Korea, Republic of""",640.0,850.0,,WD14030FD6,AS/NZS 2442.1:1996,220,2.4118,1.5,Dry Only; 1400 rpm; Eco dry,268.9,"Australia,New Zealand",Approved,56681,3.608,23.8,Condenser,600.0,2016-04-17,,
AS/NZS 2442.2:2000/Amdt 2:2007,NOUVEAU,5,False,Autosensing,China,,,Each individual model number listed above,NVDE5,AS/NZS 2442.1:1996,225,1.9983,1.5,Energy Efficiency Labelling Tests,160.0,New Zealand,Approved,34808,3.97,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4.5,False,Autosensing,New Zealand,,,single,ED57,AS/NZS 2442.1:1996,202,2.02,2.0,Regular,135.0,"Australia,New Zealand",Approved,33797,3.503,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4.5,False,Autosensing,New Zealand,,,single,ED56,AS/NZS 2442.1:1996,202,2.02,2.0,Regular,135.0,"Australia,New Zealand",Approved,33797,3.503,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,SMEG,2.5,,Timer,Italy,540.0,860.0,Each individual model number listed above,SWD1600,AS/NZS 2442.1:1996,84,3.85,3.5,Cotton,120.0,New Zealand,Approved,22155,1.951,,Condenser,595.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,AWARD,6,False,Autosensing,China,570.0,850.0,Each individual model number listed above,T55W,AS/NZS 2442.1:1996,266,2.09,2.0,Cottons Heavy program,248.0,New Zealand,Approved,58860,4.69,,Vented,595.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,AWARD,6,,Timer,,590.0,800.0,single,T514 T447,AS/NZS 2442.1:1996,294,1.483,1.0,TIMED CYCLE,120.0,New Zealand,Approved,16601,4.67,,Condenser,590.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,AWARD,6,,Timer,,590.0,800.0,single,T767,AS/NZS 2442.1:1996,294,1.483,1.0,TIMED CYCLE,120.0,New Zealand,Approved,16601,4.67,,Condenser,590.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,MISTRAL,4,False,Timer,China,,,single,MTD4,AS/NZS 2442.1:1996,192,1.5,1.5,200 minutes; strong heat,200.0,"Australia,New Zealand",Approved,58249,3.116,,Vented,,2016-08-08,,
AS/NZS 2442.2:2000/Amdt 2:2007,TEDELEX,4,False,Timer,China,,,Each individual model number listed above,TE4088,AS/NZS 2442.1:1996,180,2.0068,2.0,"200minutes,  Strong Heat",200.0,Australia,Expired,35826,3.107,,Vented,,2012-10-08,,
AS/NZS 2442.2:2000/Amdt 2:2007,HOMEMAKER,5,False,Timer,China,515.0,685.0,Each individual model number listed above,HM5D,AS/NZS 2442.1:1996,220,2.14,2.0,Strong Dry,240.0,"Australia,New Zealand",Expired,29182,3.88,,Vented,630.0,2011-08-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,HOMEMAKER,5,False,Timer,China,515.0,685.0,Each individual model number listed above,HMD50,AS/NZS 2442.1:1996,220,2.14,2.0,Strong Dry,240.0,"Australia,New Zealand",Expired,29182,3.88,,Vented,630.0,2011-08-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,Haier,5,False,Timer,China,515.0,685.0,Each individual model number listed above,GDZ5.0-1,AS/NZS 2442.1:1996,220,2.14,2.0,Strong Dry,240.0,"Australia,New Zealand",Expired,29128,3.88,,Vented,630.0,2011-08-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,Haier,5,False,Timer,China,515.0,685.0,Each individual model number listed above,HDM5.0-1,AS/NZS 2442.1:1996,220,2.14,2.0,Strong Dry,240.0,"Australia,New Zealand",Expired,29128,3.88,,Vented,630.0,2011-08-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,WHIRLPOOL,6,False,Timer,China,,,,AWD60CE,AS/NZS 2442.1:1996/Amdt 4:2006,334,0.697945277216,1.0,Extra Dry,180.0,"Australia,Fiji,New Zealand",Approved,66611,4.924,,Vented,,2017-08-14,,
AS/NZS 2442.2:2000/Amdt 2:2007,WHIRLPOOL,6,False,Autosensing,China,560.0,830.0,,SDRY60CE,AS/NZS 2442.1:1996/Amdt 4:2006,293,1.50381068849,1.5,"Cottons, Extra Dry",189.0,"Australia,Fiji,New Zealand",Approved,66609,4.76,,Vented,600.0,2017-08-14,,
AS/NZS 2442.2:2000/Amdt 2:2007,Haier,6,False,Timer,China,560.0,825.0,Each individual model number listed above,HDY60M,AS/NZS 2442.1:1996,315,1.06,1.0,200 min,200.0,"Australia,New Zealand",Expired,36109,4.68,,Vented,595.0,2012-10-02,,
AS/NZS 2442.2:2000/Amdt 2:2007,TELMANN,6,False,Timer,China,560.0,825.0,Each individual model number listed above,TEL60D,AS/NZS 2442.1:1996,315,1.06,1.0,200 min,200.0,"Australia,New Zealand",Expired,36111,4.68,,Vented,595.0,2012-10-02,,
AS/NZS 2442.2:2000/Amdt 2:2007,Cell-Sun,6,False,Autosensing,China,,,Each individual model number listed above,GDZ60-12E,AS/NZS 2442.1:1996/Amdt 4:2006,263,2.16846296729,2.0,COTT+/ FULL HEAT,197.0,"Australia,Fiji,New Zealand,Other",Approved,68052,4.82,,Vented,,2017-10-25,,
AS/NZS 2442.2:2000/Amdt 2:2007,Cell-Sun,6,False,Autosensing,China,,,Each individual model number listed above,GDZ60-12EF,AS/NZS 2442.1:1996/Amdt 4:2006,263,2.16846296729,2.0,COTT+/ FULL HEAT,197.0,"Australia,Fiji,New Zealand,Other",Approved,68052,4.82,,Vented,,2017-10-25,,
AS/NZS 2442.2:2000/Amdt 2:2007,SAMSUNG ELECTRONICS,4,True,Timer,"""Korea, Republic of""",,,Each individual model number listed above,WD7704C8S.,AS/NZS 2442.1:1996,145,3.337,3.0,"Dry, 190 minutes",179.0,"Australia,New Zealand",Expired,36362,3.124,48.6,Condenser,,2012-10-21,,
AS/NZS 2442.2:2000/Amdt 2:2007,Cell-Sun,6,False,Autosensing,China,,,Each individual model number listed above,GDZ60-08EF,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,Extra dry / full HEAT,197.0,"Australia,Fiji,New Zealand,Other",Approved,67994,4.84,,Vented,,2017-10-24,,
AS/NZS 2442.2:2000/Amdt 2:2007,Cell-Sun,6,False,Autosensing,China,,,Each individual model number listed above,GDZ60-08E,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,Extra dry / full HEAT,197.0,"Australia,Fiji,New Zealand,Other",Approved,67994,4.84,,Vented,,2017-10-24,,
AS/NZS 2442.2:2000/Amdt 2:2007,Cell-Sun,6,False,Autosensing,China,,,Each individual model number listed above,GDZ60-09EF,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,Extra dry / full HEAT,197.0,"Australia,Fiji,New Zealand,Other",Approved,67994,4.84,,Vented,,2017-10-24,,
AS/NZS 2442.2:2000/Amdt 2:2007,Cell-Sun,6,False,Autosensing,China,,,Each individual model number listed above,GDZ60-09E,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,Extra dry / full HEAT,197.0,"Australia,Fiji,New Zealand,Other",Approved,67994,4.84,,Vented,,2017-10-24,,
AS/NZS 2442.2:2000/Amdt 2:2007,MAYTAG,7,False,Autosensing,"Germany,France",,,Each individual model number listed above,MDC709T,AS/NZS 2442.1:1996,315,2.007,2.0,"Cotton Extra Dry, Dryness level 0",175.0,"Australia,Fiji,New Zealand",Expired,37656,5.614,,Condenser,,2013-02-04,,
AS/NZS 2442.2:2000/Amdt 2:2007,HOMEMAKER,4,False,Timer,China,,,Each individual model number listed above,HM4088,AS/NZS 2442.1:1996,180,2.0068,2.0,"200 minutes, Strong Heat",200.0,"Australia,New Zealand",Expired,36598,3.107,,Vented,,2012-12-09,,
AS/NZS 2442.2:2000/Amdt 2:2007,MIDEA,5,False,Autosensing,China,,,Each individual model number listed above,TD50-99E,AS/NZS 2442.1:1996,225,1.9983,1.5,"Full heat, extra dry",170.0,"Australia,New Zealand",Expired,37166,3.973,,Vented,,2012-12-16,,
AS/NZS 2442.2:2000/Amdt 2:2007,ARISTON,7,False,Autosensing,United Kingdom,,,Each individual model number listed above,ASL700CX,AS/NZS 2442.1:1996,353,1.3036,1.0,"Extra Dry, Cotton",182.0,"Australia,New Zealand",Expired,37679,5.614,,Condenser,,2013-02-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,ELECTROLUX,6,False,Autosensing,Poland,580.0,850.0,Each individual model number listed above,EDC66150W,AS/NZS 2442.1:1996,281,1.76,1.5,"Cotton, Strong, Max Dryness",184.0,"Australia,New Zealand",Expired,37703,4.743,,Condenser,600.0,2013-02-21,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,5,False,Timer,Thailand,,,Each individual model number listed above,DE50F56A*,AS/NZS 2442.1:1996,244,1.5,1.5,Regular,134.0,"Australia,New Zealand",Approved,57340,3.918,,Vented,,2016-07-07,,
AS/NZS 2442.2:2000/Amdt 2:2007,TRIESTE,6,False,Autosensing,China,,,Each individual model number listed above,TR-TD60-101W,AS/NZS 2442.1:1996,262,2.1613,2.0,Cotton Program,204.0,New Zealand,Approved,45232,4.789,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,AEG,8,False,Autosensing,Poland,,,Each individual model number listed above,T76280AC,AS/NZS 2442.1:1996,357,2.06,2.0,Cottons Extra Dry Max Dryness,221.0,"Australia,New Zealand",Approved,60029,6.386,,Condenser,,2016-08-02,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,5,False,Autosensing,Thailand,,,Each individual model number listed above,DE50F56E*,AS/NZS 2442.1:1996,217,2.22,2.0,Regular,135.0,"Australia,New Zealand",Approved,57270,3.923,,Vented,,2016-07-07,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4,False,Timer,Thailand,,,Each individual model number listed above,DE40F56A*,AS/NZS 2442.1:1996,212,1.0,1.0,Regular,112.0,"Australia,New Zealand",Approved,57341,3.14,,Vented,,2016-07-07,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,6,False,Autosensing,Turkey,,,Each individual model number listed above,DE60F60NW1,AS/NZS 2442.1:1996,280,1.783058,1.5,Cotton-Ready to Wear,179.0,"Australia,New Zealand",Approved,37992,4.8,,Condenser,,2013-06-03,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,6,False,Autosensing,Turkey,,,Each individual model number listed above,DE60F60EW1,AS/NZS 2442.1:1996,263,2.168463,2.0,Cotton-Ready to Wear,151.0,"Australia,New Zealand",Approved,37984,4.721,,Vented,,2013-06-02,,
AS/NZS 2442.2:2000/Amdt 2:2007,Casera,6,False,Autosensing,China,850.0,555.0,Each individual model number listed above,HTD-60Q1E,AS/NZS 2442.1:1996,266,2.09867,2.0,Cottons Heavy Program,300.0,Australia,Approved,56076,4.692,,Vented,595.0,2013-06-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,6,False,Timer,Thailand,,,Each individual model number listed above,39S600,AS/NZS 2442.1:1996,279,1.805,1.5,Hot,137.0,"Australia,New Zealand",Approved,59470,4.68,,Vented,,2016-07-26,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,5,False,Timer,"Australia,Thailand",,,Each individual model number listed above,39S500,AS/NZS 2442.1:1996,231,1.845,1.5,Hot,117.0,"Australia,New Zealand",Approved,59469,3.903,,Vented,,2016-07-26,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,7,False,Autosensing,Poland,,,Each individual model number listed above,WTY88700AU,AS/NZS 2442.1:1996/Amdt 4:2006,109,8.53668624426,6.0,"Cottons, EcoPerfect, Cupboard dry extra, 1000rpm",225.0,"Australia,New Zealand",Approved,64609,5.566,0.0,Condenser,,2017-05-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,Hafele,6,False,Autosensing,China,,,,534.94.500,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,Extra DRry / full load,230.0,"Australia,New Zealand",Approved,64542,4.7,,Vented,,2017-05-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,6,False,Autosensing,Poland,,,,WTC84100AU,AS/NZS 2442.1:1996/Amdt 4:2006,270,2.00683301501,2.0,Regular / Cotton Very Dry,140.0,"Australia,New Zealand",Approved,63419,4.762,0.0,Condenser,,2017-01-30,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,8,False,Autosensing,Poland,,,,WTE86303AU,AS/NZS 2442.1:1996/Amdt 4:2006,355,2.09289217143,2.0,Cottons Very Dry,203.0,"Australia,New Zealand",Approved,61657,6.348,0.0,Condenser,,2016-11-06,,
AS/NZS 2442.2:2000/Amdt 2:2007,AEG,8,False,Autosensing,Poland,,,Each individual model number listed above,T86280IC,AS/NZS 2442.1:1996,358,2.04,2.0,Cottons Extra Dry; Max Dryness,217.0,"Australia,New Zealand",Approved,60031,6.39,,Condenser,,2016-08-02,,
AS/NZS 2442.2:2000/Amdt 2:2007,BMC,5,False,Autosensing,China,,,Each individual model number listed above,BDR501,AS/NZS 2442.1:1996,211,2.4,2.0,Extra Dry + Full,170.0,"Australia,New Zealand",Approved,58152,3.96,,Vented,,2016-06-07,,
AS/NZS 2442.2:2000/Amdt 2:2007,Acqua,6,False,Autosensing,China,,,Each individual model number listed above,GY-ESD60W,AS/NZS 2442.1:1996,265,2.0,2.0,Extra Dry / Full Load,230.0,Australia,Approved,56828,4.702,,Vented,,2016-05-22,,
AS/NZS 2442.2:2000/Amdt 2:2007,CANDY,5,True,Autosensing,Italy,,,Each individual model number listed above,GO W496D-01S,AS/NZS 2442.1:1996,207,2.5199,2.5,Cottons Cupboard Dry Extra,215.0,"Australia,New Zealand",Approved,56379,2.4,40.1,Condenser,,2016-04-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,6,False,Autosensing,Poland,,,single,WTW84360AU,AS/NZS 2442.1:1996,117,7.15,6.0,Cottons Cupboard Dry Extra,200.0,"Australia,Fiji,New Zealand",Approved,56174,5.194,,Condenser,,2016-03-16,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIEMENS,8,False,Autosensing,Poland,,,Each individual model number listed above,WT46S591AU,AS/NZS 2442.1:1996,358,2.04,2.0,"Cottons, Cupboard Dry Extra, heat setting 0",206.0,"Australia,New Zealand",Approved,51002,6.384,,Condenser,,2015-07-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,7,False,Autosensing,Poland,,,Each individual model number listed above,WTV74100AU,AS/NZS 2442.1:1996,290,2.559,2.5,Very Dry,170.0,"Australia,New Zealand",Approved,43052,5.547,,Vented,,2014-04-08,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,8,False,Autosensing,"New Zealand,United States",700.0,1050.0,Each individual model number listed above,DEIX1,AS/NZS 2442.1:1996,339,2.4131,2.0,"Autosensing, damp",95.0,"Australia,New Zealand",Approved,39109,6.347,,Vented,685.0,2013-09-04,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4.5,False,Autosensing,"New Zealand,Thailand",,,Each individual model number listed above,DE45F56EW1,AS/NZS 2442.1:1996,202,2.04,2.0,Regular,125.0,"Australia,New Zealand",Approved,39107,3.517,,Vented,,2013-09-04,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4.5,False,Timer,"New Zealand,Thailand",,,Each individual model number listed above,DE45F56AW1,AS/NZS 2442.1:1996,234,1.11,1.0,Regular,140.0,"Australia,New Zealand",Approved,39106,3.497,,Vented,,2013-09-04,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,3.5,False,Manual,"New Zealand,Thailand",,,single,DE35F56AW1,AS/NZS 2442.1:1996,189,0.86,1.0,Regular,110.0,"Australia,New Zealand",Approved,39105,2.719,,Vented,,2013-09-04,,
AS/NZS 2442.2:2000/Amdt 2:2007,HOTPOINT,6,False,Autosensing,China,,,Each individual model number listed above,HPCD6,AS/NZS 2442.1:1996,266,2.09867,2.0,cottons heavy program,300.0,Australia,Approved,58464,4.69,,Vented,,2013-06-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIEMENS,8,False,Autosensing,Poland,,,single,WT46S592AU,AS/NZS 2442.1:1996,358,2.04,2.0,"Cottons, Cupboard Dry Extra, heat setting 0",206.0,"Australia,New Zealand",Approved,54434,6.384,,Condenser,,2015-10-28,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIEMENS,7,False,Autosensing,Poland,,,Each individual model number listed above,WT48Y780AU,AS/NZS 2442.1:1996/Amdt 4:2006,109,8.53668624426,6.0,"Cottons, EcoPerfect, Cupboard dry extra, 1000rpm",225.0,"Australia,New Zealand",Approved,64612,5.566,0.0,Condenser,,2017-05-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,MISTRAL,4,False,Timer,China,,,Each individual model number listed above,MTD4,AS/NZS 2442.1:1996,180,2.0068,2.0,"200minutes, Strong Heat",200.0,"Australia,New Zealand",Expired,34020,3.116,,Vented,,2012-05-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,OMEGA,4,True,Timer,Italy,590.0,850.0,Each individual model number listed above,OWD8000WA,AS/NZS 2442.1:1996,141,3.509,3.5,"DRY-200, 1400rpm",162.0,"Australia,New Zealand",Approved,43376,3.115,,Condenser,595.0,2013-06-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,OMEGA,3,True,Timer,Italy,550.0,850.0,Each individual model number listed above,OWD6000WA,AS/NZS 2442.1:1996,122,2.629,2.5,"DRY-220, 1200rpm",186.0,"Australia,New Zealand",Approved,43306,2.331,,Condenser,595.0,2013-06-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,5,False,Timer,"Australia,Thailand",,,Each individual model number listed above,39S500,AS/NZS 2442.1:1996,231,1.845,1.5,Hot,117.0,"Australia,New Zealand",Expired,24491,3.903,,Vented,,2011-03-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,HOTPOINT,5.5,False,Timer,China,700.0,565.0,Each individual model number listed above,HPCD55,AS/NZS 2442.1:1996,246,2.0548,2.0,strong heat,200.0,Australia,Approved,55496,4.286,,Vented,600.0,2013-06-15,,
AS/NZS 2442.2:2000/Amdt 2:2007,ELECTROLUX,8,False,Autosensing,Poland,,,Each individual model number listed above,EDC78550W,AS/NZS 2442.1:1996,353,2.13,2.0,Cottons Extra; Max Dryness,198.0,"Australia,Fiji,New Zealand",Approved,60716,6.358,,Condenser,,2016-08-31,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,6,False,Timer,"Australia,Thailand",,,Each individual model number listed above,39S600,AS/NZS 2442.1:1996,279,1.805,1.5,Hot,137.0,"Australia,New Zealand",Expired,24496,4.68,,Vented,,2011-03-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,4,False,Timer,"Australia,Thailand",,,Each individual model number listed above,39P400,AS/NZS 2442.1:1996,189,1.707,1.5,Hot,95.0,"Australia,New Zealand",Expired,24488,3.123,,Vented,,2011-03-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,ELECTROLUX,6,False,Autosensing,"Australia,Thailand",,,Each individual model number listed above,EDE605,AS/NZS 2442.1:1996,267,2.076,2.0,Store,157.0,"Australia,New Zealand",Expired,25930,4.787,,Vented,,2011-04-21,,
AS/NZS 2442.2:2000/Amdt 2:2007,euro,3.5,True,Timer,China,,,,EFD735CW,AS/NZS 2442.1:1996/Amdt 4:2006,148,2.38963878842,2.0,Cottons FDrying 198 min,198.0,"Australia,Fiji,New Zealand",Approved,61855,3.433,59.5,Condenser,,2016-11-01,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,5,False,Autosensing,Thailand,,,Each individual model number listed above,39S505E,AS/NZS 2442.1:1996,224,2.03,2.0,Hot,133.0,"Australia,New Zealand",Approved,59473,3.957,,Vented,,2016-07-26,,
AS/NZS 2442.2:2000/Amdt 2:2007,SIMPSON,4,False,Timer,Thailand,,,Each individual model number listed above,39P400,AS/NZS 2442.1:1996,189,1.707,1.5,Hot,95.0,"Australia,New Zealand",Approved,59467,3.123,,Vented,,2016-07-26,,
AS/NZS 2442.2:2000/Amdt 2:2007,ELECTROLUX,7,False,Autosensing,Poland,,,Each individual model number listed above,EDI97170W,AS/NZS 2442.1:1996,296,2.39,2.0,Cotton Extra; Min Dryness,174.0,"Australia,New Zealand",Approved,55402,5.516,,Condenser,,2015-12-19,,
AS/NZS 2442.2:2000/Amdt 2:2007,ELECTROLUX,5,False,Autosensing,Thailand,,,Each individual model number listed above,EDV505,AS/NZS 2442.1:1996,222,2.12,2.0,Normal Dry,132.0,"Australia,Fiji,New Zealand",Approved,46357,4.042,,Vented,,2014-12-14,,
AS/NZS 2442.2:2000/Amdt 2:2007,ELECTROLUX,7,False,Autosensing,Poland,,,Each individual model number listed above,EDH97950W,AS/NZS 2442.1:1996,177,5.55,5.5,"Cottons, Cupboard, Max Dryness",185.0,"Australia,New Zealand",Approved,43792,5.565,,Condenser,,2014-04-26,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,10,False,Autosensing,United States,,,Each individual model number listed above,WTB76550EU,AS/NZS 2442.1:1996,447,2.06,2.0,Cupboar Dry,180.0,New Zealand,Approved,35844,7.999,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,6.5,False,Autosensing,Poland,,,Each individual model number listed above,WTW86560AU,AS/NZS 2442.1:1996,128,7.122,6.0,Cupboard Dry,160.0,"Australia,New Zealand",Approved,44264,5.16,,Condenser,,2014-06-03,,
AS/NZS 2442.2:2000/Amdt 2:2007,BOSCH,6.5,False,Autosensing,Poland,,,Each individual model number listed above,WTW86580AU,AS/NZS 2442.1:1996,128,7.122,6.0,Cupboard Dry,160.0,"Australia,New Zealand",Approved,43355,5.16,,Condenser,,2014-05-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,Tuscany,6,False,Autosensing,China,870.0,650.0,Each individual model number listed above,T-GDZ60-09E,AS/NZS 2442.1:1996,265,2.0,2.0,Extra Dry Full Load,230.0,New Zealand,Approved,53493,4.702,,Vented,600.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,TRIESTE,4,False,Timer,China,,,Each individual model number listed above,TR-GYJ40-68,AS/NZS 2442.1:1996,180,2.0068,2.0,Strong Dry Programme,200.0,New Zealand,Approved,45042,3.116,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,BAUMATIC,4,False,Timer,China,,,Each individual model number listed above,BK4CD,AS/NZS 2442.1:1996,180,2.0068,2.0,Strong Heat,200.0,New Zealand,Approved,51370,3.115,,Vented,,,,
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,7,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T754HP,AS/NZS 2442.1:1996/Amdt 4:2006,164,6.02301877883,6.0,AUTO NORMAL DRY,200.0,New Zealand,Approved,66721,5.529,0.0,Condenser,595.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,7,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T784HP,AS/NZS 2442.1:1996/Amdt 4:2006,164,6.02301877883,6.0,AUTO NORMAL DRY,200.0,New Zealand,Approved,66721,5.529,0.0,Condenser,595.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6.5,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T754C,AS/NZS 2442.1:1996/Amdt 4:2006,292,2.01736018503,2.0,AUTO NORMAL DRY,140.0,New Zealand,Approved,66720,5.112,0.0,Condenser,595.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6.5,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T784C,AS/NZS 2442.1:1996/Amdt 4:2006,292,2.01736018503,2.0,AUTO NORMAL DRY,140.0,New Zealand,Approved,66720,5.112,0.0,Condenser,595.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6.5,False,Autosensing,Sweden,595.0,850.0,Each individual model number listed above,T794C,AS/NZS 2442.1:1996/Amdt 4:2006,292,2.01736018503,2.0,AUTO NORMAL DRY,140.0,New Zealand,Approved,66720,5.112,0.0,Condenser,595.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,TRIESTE,6,False,Autosensing,"China,China",870.0,650.0,,ED-D6KG,AS/NZS 2442.1:1996/Amdt 4:2006,265,2.12184812783,2.0,Extra Dry Full Load,230.0,"Fiji,New Zealand",Approved,66449,4.702,,Vented,600.0,,,
AS/NZS 2442.2:2000/Amdt 2:2007,FISHER & PAYKEL,4.5,False,Timer,New Zealand,,,Each individual model number listed above,AD55,AS/NZS 2442.1:1996,241,0.94,1.0,Regular,145.0,"Australia,New Zealand",Approved,22650,3.541,,Vented,,,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,BEKO,6,False,Autosensing,Turkey,,,Each individual model number listed above,DV 6120 X,AS/NZS 2442.1:1996,266,2.0987,2.0,Cottons-Ready to Wear,150.0,"Australia,New Zealand",Approved,60677,4.833,,Vented,,2016-09-05,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MIELE,7,False,Autosensing,Germany,580.0,595.0,Each individual model number listed above,T 7944 C,AS/NZS 2442.1:1996,292,2.465,2.0,Cottons Normal Plus,187.0,"Australia,New Zealand",Approved,50632,5.554,,Condenser,850.0,2015-05-23,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MIELE,7,False,Autosensing,Germany,580.0,595.0,Each individual model number listed above,T 8903 C,AS/NZS 2442.1:1996,292,2.465,2.0,Cottons Normal Plus,187.0,"Australia,New Zealand",Approved,50632,5.554,,Condenser,850.0,2015-05-23,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MIELE,7,False,Autosensing,Germany,580.0,595.0,Each individual model number listed above,T 8822 C,AS/NZS 2442.1:1996,292,2.465,2.0,Cottons Normal Plus,187.0,"Australia,New Zealand",Approved,50632,5.554,,Condenser,850.0,2015-05-23,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MIELE,7,False,Autosensing,Germany,580.0,595.0,Each individual model number listed above,T 8843 C,AS/NZS 2442.1:1996,292,2.465,2.0,Cottons Normal Plus,187.0,"Australia,New Zealand",Approved,50632,5.554,,Condenser,850.0,2015-05-23,,
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2012,MIELE,7,False,Autosensing,Germany,580.0,595.0,Each individual model number listed above,T 8823 C,AS/NZS 2442.1:1996,292,2.465,2.0,Cottons Normal Plus,187.0,"Australia,New Zealand",Approved,50632,5.554,,Condenser,850.0,2015-05-23,,
