ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model Name,Model No,N-Standard,New CEC,New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Type,Width,ExpDate,GrandDate,Product Class
AS/NZS 2442.2:2000/Amdt 2:2007,MEZZO,5,False,Autosensing,China,,,Each individual model number listed above,MCD5E,AS/NZS 2442.1:1996,225,1.9983,1.5,"Full Heat, Extra Dry",160.0,Australia,Expired,33172,3.973,,Vented,,2012-05-08,,
AS/NZS 2442.2:2000/Amdt 2:2007,INDESIT,6,False,Autosensing,Italy,,,single,IS 60 V,AS/NZS 2442.1:1996,272,1.9614,1.5,"Automatic, High Heat",130.0,"Australia,New Zealand",Expired,24799,4.855,,Vented,,2011-04-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,MAYTAG,9,,Autosensing,United States,698.0,1100.0,single,MDE8426,AS/NZS 2442.1:1996,405,2.0,2.0,Auto Dry Regular,104.0,,Expired,3763,7.11,0.0,Vented,686.0,2005-09-29,,
AS/NZS 2442.2:2000/Amdt 2:2007,MAYTAG,9,,Autosensing,United States,698.0,1100.0,single,MDE3050,AS/NZS 2442.1:1996,405,2.0,2.0,Auto Dry Regular,104.0,,Expired,3763,7.11,0.0,Vented,686.0,2005-09-29,,
AS/NZS 2442.2:2000/Amdt 2:2007,ARISTON,7,,Autosensing,Italy,,,single,ASL 70 CX,AS/NZS 2442.1:1996,353,1.3036,1.0,"Extra Dry, Cotton",180.0,"Australia,New Zealand",Expired,20486,5.614,,Condenser,,2010-06-20,,
AS/NZS 2442.2:2000/Amdt 2:2007,ARISTON,7,,Autosensing,Italy,,,single,ASL 70 C,AS/NZS 2442.1:1996,353,1.3036,1.0,"Extra Dry, Cotton",180.0,"Australia,New Zealand",Expired,20486,5.614,,Condenser,,2010-06-20,,
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6,False,Autosensing,Sweden,595.0,850.0,single,T741C   T712C,AS/NZS 2442.1:1996,270,2.0,2.0,Program 2 Dry,144.0,"Australia,New Zealand",Expired,22998,4.6,,Condenser,595.0,2010-11-09,,
AS/NZS 2442.2:2000/Amdt 2:2007,ASKO,6,False,Autosensing,Sweden,595.0,850.0,single,T781C,AS/NZS 2442.1:1996,270,2.0,2.0,Program 2 Dry,144.0,"Australia,New Zealand",Expired,22998,4.6,,Condenser,595.0,2010-11-09,,
AS/NZS 2442.2:2000/Amdt 2:2007,LG,9,False,Autosensing,"""Korea, Republic of""",640.0,850.0,,TD-C901H,AS/NZS 2442.1:1996/Amdt 4:2006,170,7.34829466959,6.0,"Cotton, Cupboard",311.0,"Australia,New Zealand",Approved,65367,7.19,0.0,Condenser,600.0,2017-05-23,,
AS/NZS 2442.2:2000/Amdt 2:2007,Siemens,8,False,Autosensing,Poland,,,Each individual model number listed above,WT46S590AU,AS/NZS 2442.1:1996,351,2.16,2.0,Cottons Very Dry,200.0,"Australia,New Zealand",Expired,35762,6.28,,Condenser,,2012-09-10,,
AS/NZS 2442.2:2000/Amdt 2:2007,WHIRLPOOL,7,False,Autosensing,France,,,Each individual model number listed above,AWA970B,AS/NZS 2442.1:1996,315,2.007,2.0,Cotton Extra Dry,175.0,"Australia,Fiji,New Zealand",Expired,37761,5.614,,Condenser,,2013-03-06,,
AS/NZS 2442.2:2000/Amdt 2:2007,AEG,6,False,Autosensing,Germany,600.0,850.0,single,T57800,AS/NZS 2442.1:1996,259,2.2628,2.0,"Cotton, extra dry",152.0,"Australia,Fiji,New Zealand",Approved,41875,4.837,,Condenser,600.0,2014-01-21,,
AS/NZS 2442.2:2000/Amdt 2:2007,AEG,6,False,Autosensing,Germany,600.0,850.0,single,T56800,AS/NZS 2442.1:1996,259,2.2628,2.0,"Cotton, extra dry",152.0,"Australia,Fiji,New Zealand",Approved,41875,4.837,,Condenser,600.0,2014-01-21,,
AS/NZS 2442.2:2000/Amdt 2:2007,AEG,6,False,Autosensing,Germany,600.0,850.0,single,T58800,AS/NZS 2442.1:1996,259,2.2628,2.0,"Cotton, extra dry",152.0,"Australia,Fiji,New Zealand",Approved,41875,4.837,,Condenser,600.0,2014-01-21,,
AS/NZS 2442.2:2000/Amdt 2:2007,WHIRLPOOL,6,False,Autosensing,France,,,Each individual model number listed above,AWZ 3513,AS/NZS 2442.1:1996,270,2.007,2.0,Cotton Ready To Wear,164.0,"Australia,Fiji,New Zealand",Expired,37929,4.802,,Vented,,2013-03-17,,
AS/NZS 2442.2:2000/Amdt 2:2007,WHIRLPOOL,6,False,Autosensing,China,,,Each individual model number listed above,AWD60A,AS/NZS 2442.1:1996,310,1.15,1.0,Extra Dry,182.0,"Australia,Fiji,New Zealand",Expired,38312,4.924,,Vented,,2013-05-07,,
AS/NZS 2442.2:2000/Amdt 2:2007,WHIRLPOOL,6,False,Autosensing,China,560.0,830.0,,SDRY60,AS/NZS 2442.1:1996/Amdt 4:2006,293,1.50381068849,1.5,"Cottons, Extra Dry",189.0,"Australia,Fiji,New Zealand",Approved,64596,4.76,,Vented,600.0,2017-04-11,,
AS/NZS 2442.2:2000/Amdt 2:2007,CELL-SUN,6,False,Autosensing,China,,,Each individual model number listed above,GDZ60-09E,AS/NZS 2442.1:1996,265,2.0,2.0,Extra Dry/Full Load,230.0,"Australia,New Zealand",Approved,38269,4.702,,Vented,,2013-06-09,,
AS/NZS 2442.2:2000/Amdt 2:2007,ARISTON,3.5,True,Timer,Italy,,,Each individual model number listed above,AL 128 D,AS/NZS 2442.1:1996,143,2.61,2.5,150 minutes Cotton,150.0,,Superseded,3793,2.72,31.5,Condenser,,2007-04-16,2007-10-08,
