Appliance,Brand,Model.No,Country,CEC,SRI,Star,TotWatCons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value,Factoid4Name,Factoid4Value
Dish Washer,SAGI,SADE12W,China,319,2.65,2.5,15.7,12,Type,Freestanding,Program Name,Normal,Program Time,124,Standby Power Usage,1.47
Dish Washer,ST GEORGE,8516200,China,327,2.5873,2.5,10.5,12,Type,Built-in,Program Name,Normal,Program Time,140,Standby Power Usage,0.2
Dish Washer,Haier,HDW104**T,China,382,2.1514,2,11.5,12,Type,Freestanding,Program Name,NORMAL WASH,Program Time,93,Standby Power Usage,2.1
Dish Washer,Haier,HDW103**T,China,382,2.1514,2,11.5,12,Type,Freestanding,Program Name,NORMAL WASH,Program Time,93,Standby Power Usage,2.1
Dish Washer,Haier,HDW102**T,China,382,2.1514,2,11.5,12,Type,Freestanding,Program Name,NORMAL WASH,Program Time,93,Standby Power Usage,2.1
Dish Washer,Haier,HDW101**T,China,382,2.1514,2,11.5,12,Type,Freestanding,Program Name,NORMAL WASH,Program Time,93,Standby Power Usage,2.1
Dish Washer,Haier,HDW100**T,China,382,2.1514,2,11.5,12,Type,Freestanding,Program Name,NORMAL WASH,Program Time,93,Standby Power Usage,2.1
Dish Washer,Levante,LEV-DW605A,China,311,2.7279,2.5,12,12,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0
Dish Washer,ARDA,RV45DWSS,China,244,2.27,2,12.12,8,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0
Dish Washer,DELONGHI,DW67S,China,319,2.65674,2.5,15.7,12,Type,Freestanding,Program Name,Normal ,Program Time,124,Standby Power Usage,1.5
Dish Washer,DELONGHI,DW67W,China,319,2.65674,2.5,15.7,12,Type,Freestanding,Program Name,Normal ,Program Time,124,Standby Power Usage,1.5
Dish Washer,DELONGHI,DW47S,China,319,2.65674,2.5,15.7,12,Type,Freestanding,Program Name,Normal ,Program Time,124,Standby Power Usage,1.5
Dish Washer,DELONGHI,DW47W,China,319,2.65674,2.5,15.7,12,Type,Freestanding,Program Name,Normal ,Program Time,124,Standby Power Usage,1.5
Dish Washer,BOSCH,SMU69M05AU,Germany,323,3.05,3,10.22,14,Type,Built-in,Program Name,Normal 45,Program Time,157,Standby Power Usage,0.125
Dish Washer,SIEMENS,SC76M530AU,Germany,180,3.12,3,10.01,8,Type,Built-in,Program Name,Normal 45,Program Time,167,Standby Power Usage,0.125
Dish Washer,BOSCH,SGU53E75AU,Germany,303,3.23,3,13.6,14,Type,Built-in,Program Name,Normal 45,Program Time,78,Standby Power Usage,0.033
Dish Washer,BOSCH,SGS53E72AU,Germany,303,3.23,3,13.6,14,Type,Built-in,Program Name,Normal 45,Program Time,78,Standby Power Usage,0.033
Dish Washer,BOSCH,SHV55M43AU,Germany,225,4.07,4,13.65,14,Type,Built-in,Program Name,Normal 45,Program Time,143,Standby Power Usage,0.07
Dish Washer,BOSCH,SGV69T15AU,Germany,225,4.07,4,13.65,14,Type,Built-in,Program Name,Normal 45,Program Time,143,Standby Power Usage,0.07
Dish Washer,BOSCH,SGU69T15AU,Germany,225,4.07,4,13.65,14,Type,Built-in,Program Name,Normal 45,Program Time,143,Standby Power Usage,0.07
Dish Washer,BOSCH,SGU43E25AU,Turkey,349,2.83,2.5,16.5,14,Type,Freestanding,Program Name,Normal 45,Program Time,145,Standby Power Usage,0.033
Dish Washer,BOSCH,SGI43E25AU,Turkey,349,2.83,2.5,16.5,14,Type,Freestanding,Program Name,Normal 45,Program Time,145,Standby Power Usage,0.033
Dish Washer,BOSCH,SGS44E52AU,Turkey,349,2.83,2.5,16.5,14,Type,Freestanding,Program Name,Normal 45,Program Time,145,Standby Power Usage,0.033
Dish Washer,BOSCH,SGU47M45AU,Germany,266,3.602,3.5,13.6,14,Type,Freestanding,Program Name,Normal 45,Program Time,141,Standby Power Usage,0.033
Dish Washer,BOSCH,SHI47M45AU,Germany,266,3.602,3.5,13.6,14,Type,Freestanding,Program Name,Normal 45,Program Time,141,Standby Power Usage,0.033
Dish Washer,LA GERMANIA,LDW02-S,China,379,2.1735,2,15.8,12,Type,Built-in,Program Name,Normal ,Program Time,137,Standby Power Usage,0.03
Dish Washer,BLANCO,BFD10X,France,212,4.0267,4,14.3,13,Type,Freestanding,Program Name,Normal Eco,Program Time,98,Standby Power Usage,0.887
Dish Washer,WHIRLPOOL,ADP6000**,China,400,2.05,2,16.413,12,Type,Built-in,Program Name,Normal,Program Time,150,Standby Power Usage,0.72
Dish Washer,ELECTROLUX,ESL66010,Italy,325,2.6,2.5,11.9,12,Type,Built-in,Program Name,ECO (Normal Eco 50),Program Time,92,Standby Power Usage,0
Dish Washer,BONNE,BDF6*E2,China,387,2.114973099,2,14.6,12,Type,Freestanding,Program Name,Normal and Economy,Program Time,128,Standby Power Usage,0
Dish Washer,BLANCO,BFD8W,France,351,2.6131,2.5,13.9,13,Type,Freestanding,Program Name,Normal Eco,Program Time,126,Standby Power Usage,0.755
Dish Washer,BLANCO,BFD8X,France,351,2.6131,2.5,13.9,13,Type,Freestanding,Program Name,Normal Eco,Program Time,126,Standby Power Usage,0.755
Dish Washer,MIDEA,WQP12-9213S,China,336,2.5112,2.5,15.6,12,Type,Freestanding,Program Name,Normal,Program Time,136,Standby Power Usage,0.2935
Dish Washer,Siemens,SE55M67AU,Germany,266,3.602,3.5,13.6,14,Type,Freestanding,Program Name,Normal 45,Program Time,141,Standby Power Usage,0.033
Dish Washer,TRIESTE,TRD-WQP8-9239H WH,China,330,1.4334,1,13.703,8,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0.293659
Dish Washer,TRIESTE,TRD-WQP8-9239H S/S,China,330,1.4334,1,13.703,8,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0.293659
Dish Washer,TRIESTE,TRD-WQP8-9239H,China,330,1.4334,1,13.703,8,Type,Freestanding,Program Name,Normal,Program Time,120,Standby Power Usage,0.293659
Dish Washer,SMEG,SA8605TD,Italy,275,3.505,3.5,16.9,14,Type,Freestanding,Program Name,Normal ECO,Program Time,123,Standby Power Usage,0.072
Dish Washer,SMEG,SA8605,Italy,275,3.505,3.5,16.9,14,Type,Freestanding,Program Name,Normal ECO,Program Time,123,Standby Power Usage,0.072
Dish Washer,SMEG,ST693-1,Italy,275,3.505,3.5,16.9,14,Type,Freestanding,Program Name,Normal ECO,Program Time,123,Standby Power Usage,0.072
Dish Washer,SMEG,ST663-1,Italy,275,3.505,3.5,16.9,14,Type,Freestanding,Program Name,Normal ECO,Program Time,123,Standby Power Usage,0.072
Dish Washer,SMEG,ST8605,Italy,275,3.505,3.5,16.9,14,Type,Freestanding,Program Name,Normal ECO,Program Time,123,Standby Power Usage,0.072
Dish Washer,ASKO,D5153,Sweden,269,3.57,3.5,13.9,14,Type,Built-in,Program Name,"NORMAL WASH, ECO DRY",Program Time,98,Standby Power Usage,0.1
Dish Washer,ASKO,D5233XXL,Sweden,274,3.52,3.5,13.8,14,Type,Built-in,Program Name,"NORMAL PROGRAME, ECO DRY",Program Time,100,Standby Power Usage,0.1
Dish Washer,Mia Cucina,MCTDX6SS-3,China,311,2.7279,2.5,12,12,Type,Freestanding,Program Name,Normal,Program Time,115,Standby Power Usage,0
Dish Washer,WESTINGHOUSE,WSU6603XR,Italy,272,3.328,3,11.4,13,Type,Built-in,Program Name,Normal/Normal Eco,Program Time,101,Standby Power Usage,0.102
Dish Washer,WESTINGHOUSE,WSF6602WR/XR,Italy,272,3.328,3,11.4,13,Type,Built-in,Program Name,Normal/Normal Eco,Program Time,101,Standby Power Usage,0.102
Dish Washer,ASKO,D5132XXL,Sweden,269,3.56,3.5,13.9,14,Type,Built-in,Program Name,"NORMAL ECO TEMP, ECO DRY",Program Time,98,Standby Power Usage,0.1
Dish Washer,LG,LD-1403T,"""Korea, Republic of""",265,3.608897906,3.5,18,14,Type,Freestanding,Program Name,Economy with rinse+ option,Program Time,97,Standby Power Usage,1.1
Dish Washer,LG,LD-1403W,"""Korea, Republic of""",265,3.608897906,3.5,18,14,Type,Freestanding,Program Name,Economy with rinse+ option,Program Time,97,Standby Power Usage,1.1
Dish Washer,BAUMATIC,BKDWIN14,China,329,3.0024,3,13.7,14,Type,Freestanding,Program Name,NORMAL,Program Time,128.05,Standby Power Usage,0
