Appliance,Brand,Model.No,Country,CEC,SRI,Star,Cap,,,,,,,,
Refridgerator,SAMSUNG ELECTRONICS,SRL324NP,China,481,2.0424,2,324,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,LEMAIR,RDM-400FF,China,486,2.4216,2,407.7,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,OMEGA,TM150P,China,320,0.7138,1,115,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Chill",,FALSE
Refridgerator,WESTINGHOUSE,WCM3200WC,Australia,402,2.7488,2.5,315,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,WESTINGHOUSE,WSE7000S,Australia,699,2.2043,2,700,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,WSE7000P,Australia,699,2.2043,2,700,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,WSE7000W,Australia,699,2.2043,2,700,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,WCM1500WC,Australia,269,2.8684,2.5,145,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,CHANGHONG,CHF98,China,305,1.7103,1.5,95,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,ELECTROLUX,ESE7007BA,Australia,525,3.2955,3,699,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,GRAM,KS360.01,Denmark,226,3.2237,3,354,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,TATUNG,TR-66NIV,China,508,2.6239,2.5,508,Designation,Refrigerator,Configuration,Chest,Compartments,"Freezer,Chill,Fresh Food",,FALSE
Refridgerator,KELVINATOR,KTM4400W,Australia,486,2.4977,2,442,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,KELVINATOR,KTM4200W,Australia,456,2.6344,2.5,416,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WHIRLPOOL,6GC5SHAXWY,United States,758,1.9543,1.5,705.14,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,MAYTAG,6XC239KAWY,United States,725,1.986,1.5,661.9,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,Midea,HD-251FW,China,423,1.7613,1.5,215,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,TOSHIBA,GR-R58DAA,Thailand,553,2.62,2.5,566.1,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WHIRLPOOL,6GC3SHAXWA,United States,725,1.986,1.5,661.9,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,telmann,DL1-06,China,290,0.4907,1,48,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Chill",,FALSE
Refridgerator,TOSHIBA,GR-RG41DA,Thailand,464,2.4923,2,381.61,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,TOSHIBA,GR-R46DA,Thailand,495,2.419,2,423.16,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,TOSHIBA,GR-R32DA,Thailand,445,2.2669,2,321.17,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,AUX,MF-208,China,355,2.3913,2,202.5,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,LG,GN-346FS,Indonesia,456,2.3133,2,346,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SAMSUNG,SR-24NMES,Thailand,368,2.3398,2,228,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,HISENSE,HAF240A,China,333,1.2722,1,240.52,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,SAMSUNG ELECTRONICS,SR418MW,"""Korea, Republic of""",476,2.5448,2.5,419,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,ELBA,RF190,New Zealand,309,1.3146,1,192,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,LEMAIR,CF-155K,China,284,2.7741,2.5,155,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,WESTINGHOUSE,WTM4200P,Australia,468,2.535,2.5,416,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LEMAIR,RDM-215FF,China,402,1.6442,1.5,190.7,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LG,GC-305NFB,China,485,1.936,1.5,305,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,LG,GC-305WFB,China,485,1.936,1.5,305,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,LIEBHERR,SWTNes 2900,Germany,449,1.9674,1.5,282,Designation,Cooled appliance,Configuration,Upright,Compartments,"Cellar,Freezer",,FALSE
Refridgerator,WESTINGHOUSE,WTB3400P,Thailand,445,2.35,2,338,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,WTB3400W,Thailand,445,2.35,2,338,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LIEBHERR,SKBes 4200,Germany,345,1.776,1.5,390,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Chill",,FALSE
Refridgerator,IMAGE,BRF 115,China,270,1.3746,1,115,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",,FALSE
Refridgerator,HOMEMAKER,HMCF200L,China,330,2.6482,2.5,200,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,WHIRLPOOL,WRI22SW,India,393,1.9634,1.5,212,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WHIRLPOOL,WRI22SG,India,393,1.9634,1.5,212,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WHIRLPOOL,WRI22S*,India,393,1.9634,1.5,212,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,GVA,GVAC145,China,261,2.9723,2.5,144,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,TOSHIBA,GR-MG46DA,Thailand,486,2.4892,2,423.16,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,TOSHIBA,GR-MG41DA,Thailand,491,2.2759,2,381.61,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SAMSUNG ELECTRONICS,SR419MSS,"""Korea, Republic of""",476,2.5448,2.5,419,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,MISTRAL,MCF150,China,305,2.4452,2,150,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,MIDEA,WD-145,China,298,2.4767,2,145,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,MIDEA,WD-195,China,336,2.5337,2.5,195,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,HOMEMAKER,HMTR-06Q,China,251,1.0268,1,47.4,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,IMAGE,BFRC-200,China,334,2.6326,2.5,203.4,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,IMAGE,BFRC-155,China,284,2.8076,2.5,157.8,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,IMAGE,BFRC-100,China,262,2.4176,2,103,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,TURBO LINE,BFRC-200,China,334,2.6021,2.5,203.4,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,TURBO LINE,BFRC-155,China,284,2.7741,2.5,157.8,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,LG,GR-P257STB,"""Korea, Republic of""",872,1.4496,1,721,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,TRUE
Refridgerator,LG,GR-P257SVB,"""Korea, Republic of""",872,1.4496,1,721,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,TRUE
Refridgerator,LEMAIR,RQ-50TCL,China,251,1.0268,1,47.4,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,QFLOW,QF140FR-MW,China,275,1.3741,1,128,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,ELECTROLUX,ESE6077S,Australia,769,1.5401,1.5,596,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,ELECTROLUX,ESE6078S,Australia,769,1.5401,1.5,596,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,ELECTROLUX,ESE6078W,Australia,769,1.5401,1.5,596,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,HITACHI,R-Z370AT6,Thailand,463,2.412,2,367,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,HITACHI,R-Z410AT6,Thailand,496,2.2761,2,396,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SLM,F-510AWR-ZB-K,China,524,2.6221,2.5,527.8,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LEMAIR,FRM-183V,China,345,2.5493,2.5,208,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,LEMAIR,RDM-280FF,China,420,2.3259,2,300,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,NUTEC,NFR85,China,248,2.3358,2,85,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,WESTINGHOUSE,WFM3600S,Australia,579,1.6003,1.5,357,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,WESTINGHOUSE,WRM4300S,Australia,390,1.4088,1,434,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,WESTINGHOUSE,RJ182T,China,380,1.8126,1.5,180.5,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,HOMEMAKER,SPC-45,China,267,0.7795,1,45,Designation,Refrigerator,Configuration,Chest,Compartments,Fresh Food,,FALSE
Refridgerator,HELLER,PPFH27,China,535,1.3572,1,270,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,VESTFROST,FZ307M,Denmark,387,1.2931,1,324,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,ELECTROLUX,ERM3700W,Australia,359,1.5035,1.5,368,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,HOMEMAKER,HMWD-200,China,330,2.6482,2.5,200,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,ELECTROLUX,EFM3000W,Australia,540,1.518,1.5,299,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,DUFF ON ICE,648,China,235,1.2071,1,40.9,Designation,Refrigerator,Configuration,Chest,Compartments,Fresh Food,,FALSE
Refridgerator,DUFF ON ICE,BC-40D,China,235,1.2071,1,40.9,Designation,Refrigerator,Configuration,Chest,Compartments,Fresh Food,,FALSE
Refridgerator,QFLOW,QF130FR-K,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,HELLER,FDH-36SS,China,421,2.399,2,309.4,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,FRIGIDAIRE,FB437S,Australia,565,1.9446,1.5,431,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,HELLER,FRCH26,China,348,2.4897,2,205,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,OMEGA,TM246P/TM246W,"""Korea, Republic of""",390,2.2643,2,246,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,LG,GR-B218WVD,"""Korea, Republic of""",678,2.0277,2,622,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,PRIMA,PCF200,China,330,2.6482,2.5,200,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,LG,GR-B207TVQ,"""Korea, Republic of""",680,1.9477,1.5,581,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LG,GR-B207TTQ,"""Korea, Republic of""",680,1.9477,1.5,581,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SMEG,FAB40,Italy,391,3.0195,3,386,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,DEC,D300FFSS,China,430,2.1914,2,286,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,DEC,D300FF,China,430,2.1914,2,286,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,TURBO LINE,BRF200,China,330,2.6482,2.5,200,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,DDI,BCD-260W,China,421,2.0987,2,267,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375S-ST-A,Thailand,590,1.2249,1,376,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375S-W-A,Thailand,590,1.2249,1,376,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375S****,Thailand,590,1.2249,1,376,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,DEC,D270FFSS,China,380,2.4773,2,254,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,DEC,D270FF,China,380,2.4773,2,254,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,NIGHTINGALE,NF-131F,China,330,1.9219,1.5,131.4,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,NIGHTINGALE,NF-278,China,496,1.6807,1.5,278,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,CONIA,CF060,China,287,0.5804,1,53,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,BOSCH,KAN58A*0AU,"""Korea, Republic of""",750,1.6335,1.5,603,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,SIGNATURE,MF-208,China,345,2.5006,2.5,202.5,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,SIGNATURE,MEILING BD-183,China,345,2.5006,2.5,202.5,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,SIGNATURE,SIG-210V,China,345,2.5006,2.5,202.5,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,LEMAIR,FR-140V,China,330,1.9219,1.5,131.4,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,SMEG,FAB28,Slovenia,312,3.0781,3,271,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SIGNATURE,SIG-350W,China,496,1.6807,1.5,278,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,HISENSE,HCF150A,China,296,2.5198,2.5,146.5,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,HELLER,FDH-278 (Cat No. BCD-278W),China,496,1.6451,1.5,278,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,OMEGA,FB*600No.,"""Korea, Republic of""",760,1.5828,1.5,603,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,NIGHTINGALE,NF-340,China,458,2.3344,2,354.41,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LEMAIR,RS-240S,China,333,1.2721,1,240.5,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,BOSCH,KSU45621AU,Turkey,500,2.4768,2,462,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LG,GR-L247STB,"""Korea, Republic of""",730,2.0383,2,691,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,BOSCH,KAN58A70AU,"""Korea, Republic of""",760,1.5828,1.5,603,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,LEMAIR,FR-180V,China,348,2.2573,2,180.1,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,TCL,TCF-150X,China,295,2.5841,2.5,151,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,CONIA,CF290,China,380,2.4907,2,254,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,CONIA,CF290,China,380,2.4907,2,254,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SIGNATURE,HUALING  WD-200,China,330,2.6482,2.5,200,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,SIGNATURE,SIG-200F,China,330,2.6482,2.5,200,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,CENTREX,CTF200,China,403,1.6979,1.5,193,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,BOSCH,KSU49621AU,Turkey,480,2.9143,2.5,511,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,RJ202*,China,390,1.9089,1.5,202.47,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,NEC,NTM410R**,"""Korea, Republic of""",495,2.3296,2,405,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,CENTREX,CTCF300,China,390,2.7696,2.5,300,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,NEC,NTM-250RWH/NTM-250RSS,"""Korea, Republic of""",390,2.2643,2,246,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,OMEGA,FBS600No.,"""Korea, Republic of""",650,2.2492,2,618,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,OMEGA,TM543*,"""Korea, Republic of""",560,2.4725,2,543.4,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,NEC,NTM510R**,"""Korea, Republic of""",540,2.4415,2,506,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,SIMPSON,SSM6100W,Australia,675,2.0845,2,606,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SIMPSON,SSM6100M,Australia,675,2.0845,2,606,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SMEG,SR600P,"""Korea, Republic of""",650,2.2492,2,618,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,TOSHIBA,GR-M66AD,Thailand,596,2.4775,2,613.86,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,WCM7000W,Australia,706,2.222,2,692,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,WESTINGHOUSE,WCM2100W,Australia,349,2.4953,2,207,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,OMEGA,FRR721*/FBR721*,"""Korea, Republic of""",840,1.5912,1.5,721,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,WESTINGHOUSE,WBM5100P,Australia,560,2.3093,2,505,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,WESTINGHOUSE,WBM5100W,Australia,560,2.3093,2,505,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,OMEGA,FBR616P/FRR616M,"""Korea, Republic of""",780,1.5376,1.5,616,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,OMEGA,FRR616S,"""Korea, Republic of""",780,1.5376,1.5,616,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,LG,GR-L267NIS,"""Korea, Republic of""",870,1.6689,1.5,803,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,TRUE
Refridgerator,WESTINGHOUSE,WCM3200W,Australia,431,2.4823,2,315,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,LG,GR-B197RVQ,"""Korea, Republic of""",680,1.9477,1.5,581,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,TELMANN,KR-128,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,TELMANN,KR-128SS,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,LG,GR-L247NSS,"""Korea, Republic of""",730,2.0383,2,691,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,TRUE
Refridgerator,LG,GR-F218JTTA,"""Korea, Republic of""",678,2.0277,2,622,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,TRUE
Refridgerator,LG,GR-A207CTBA,"""Korea, Republic of""",688,1.9029,1.5,581,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,TELMANN,TM002BF,China,265,2.0096,2,80.88,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,TELMANN,TM002SS,China,265,2.0096,2,80.88,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,TRIESTE,TRD-36,China,421,2.399,2,309.4,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,Haier,HFC150A,China,300,2.5085,2.5,150,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,TELMANN,KR-128SS,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,TELMANN,KR-128,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,AKAI,RF-R33TF,China,420,2.1078,2,267,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,TELMANN,TM001CF,China,249,2.4964,2,95,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,TRIESTE,TR-14DR4HAS,China,292,1.0049,1,108.41,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,NIGHTINGALE,43,China,421,2.0987,2,267,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,OMEGA,FBS645P/FBS645W/FRS645S,"""Korea, Republic of""",710,2.0134,2,645,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,HELLER,FDH-22,China,358,2.0361,2,180.6,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,FISHER & PAYKEL,E402B (Ice & Water),New Zealand,556,1.8715,1.5,403,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,DAEWOO,DFS-616DS,"""Korea, Republic of""",740,1.739,1.5,616,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,WESTINGHOUSE,WSE6070S,Australia,829,1.2526,1,596,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,HELLER,BFH-5,China,288,0.5181,1,48.54,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,OMEGA,FBR616P/FRR616M,"""Korea, Republic of""",780,1.5376,1.5,616,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
