Appliance,Brand,Model.No,Country,CEC,SRI,Star,Cap,,,,,,,,
Refridgerator,GENERAL ELECTRIC,GSG20,United States,808,1.3101,1,594,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,WESTINGHOUSE,WSE6100P,Australia,687,2.0171,2,606,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,IMAGE,BFRV 90,China,248,2.3358,2,85,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,SAMSUNG ELECTRONICS,SRS581HDW,"""Korea, Republic of""",699,1.8381,1.5,585,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,NOUVEAU,NVDB200,China,285,3.2091,3,200,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,ELECTROLUX,N520SE,Australia,507,2.6583,2.5,517,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,N390SE,Australia,466,2.4205,2,393,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,N420SE,Australia,468,2.535,2.5,416,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,EBM4300S,Australia,565,1.9446,1.5,431,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,BJ434,Australia,565,1.9446,1.5,431,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,N520,Australia,508,2.6507,2.5,517,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,Haier,HR-170T,China,308,0.9282,1,123,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",,FALSE
Refridgerator,ELECTROLUX,CS370,Australia,359,1.5035,1.5,368,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,ELECTROLUX,ETM3000W,Australia,424,2.2842,2,302,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,ETM2800W,Australia,413,2.2832,2,284,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LG,GC-B197WFS,China,680,1.9477,1.5,581,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LG,GC-B197NFS,China,680,1.9477,1.5,581,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,NB430SE,Australia,543,2.0966,2,431,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SAMSUNG ELECTRONICS,SRS585HDSS,"""Korea, Republic of""",699,1.8381,1.5,585,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,ELECTROLUX,NB510S,Australia,589,2.1161,2,505,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,EBM4300W,Australia,565,1.9446,1.5,431,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,BJ514,Australia,589,2.1161,2,505,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU415XL-ST-NZ,Thailand,580,1.4794,1,415,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU415XL-W-NZ,Thailand,580,1.4794,1,415,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU415X-ST-NZ,Thailand,580,1.4794,1,415,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU415X-W-NZ,Thailand,580,1.4794,1,415,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,ELECTROLUX,ETE4400S,Australia,482,2.5293,2.5,442,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,EBM5100S,Australia,589,2.1161,2,505,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,NB430S,Australia,565,1.9446,1.5,431,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,WESTINGHOUSE,BJ433,Australia,543,2.0966,2,431,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,EBE4300S,Australia,543,2.0966,2,431,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,ETE5200S,Australia,507,2.6583,2.5,517,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ELECTROLUX,ETE3900S,Australia,466,2.4205,2,393,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LG,GR-S462GCA,"""Korea, Republic of""",502,2.2658,2,402,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,HYUNDAI,HBF50,China,183,2.1773,2,42,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,GENERAL ELECTRIC,GIE21LGTBF**,Mexico,841,1.3575,1,648,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,GENERAL ELECTRIC,GCE21ZGTBF**,Mexico,841,1.3575,1,648,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,GENERAL ELECTRIC,GCE21LGTBF**,Mexico,841,1.3575,1,648,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,GENERAL ELECTRIC,GIE21MGTF**,Mexico,841,1.3575,1,648,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,GENERAL ELECTRIC,GCE21MGTF**,Mexico,841,1.3575,1,648,Designation,Refrigerator/Freezer,Configuration,Side by Side,Compartments,"Fresh Food,Freezer",,TRUE
Refridgerator,Haier,HRF-588FR/A,China,562,2.4167,2,539,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-H290XL-ST-NZ,Thailand,520,1.5686,1.5,290,Designation,Cooled appliance,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-H290XL-W-NZ,Thailand,520,1.5686,1.5,290,Designation,Cooled appliance,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-H290X-ST-NZ,Thailand,520,1.5686,1.5,290,Designation,Cooled appliance,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-H290X-W-NZ,Thailand,520,1.5686,1.5,290,Designation,Cooled appliance,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375XL-ST-NZ,Thailand,570,1.3568,1,376,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375XL-W-NZ,Thailand,570,1.3568,1,376,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375X-ST-NZ,Thailand,570,1.3568,1,376,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375X-W-NZ,Thailand,570,1.3568,1,376,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food,Cellar,Special",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-260X-ST-NZ,Thailand,431,1.9772,1.5,260,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-260X-W-NZ,Thailand,431,1.9772,1.5,260,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,TELMANN,TCS-20Q,China,340,2.5609,2.5,203,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-455XL-ST-NZ,Thailand,525,2.3132,2,454,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-455XL-W-NZ,Thailand,525,2.3132,2,454,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-455X-ST-NZ,Thailand,525,2.3132,2,454,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-455X-W-NZ,Thailand,525,2.3132,2,454,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,LEMAIR,FR-140VM,China,249,3.0567,3,136,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,Haier,HBF50,China,302,0.3594,1,49,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",,FALSE
Refridgerator,LG,GR-S592GTA,"""Korea, Republic of""",491,2.6502,2.5,476,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,HUSKY,BC-50,China,297,0.4199,1,50,Designation,Refrigerator,Configuration,Upright,Compartments,Chill,,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-385XL-ST-NZ,Thailand,452,2.6108,2.5,385,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-385XL-W-NZ,Thailand,452,2.6108,2.5,385,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-385X-ST-NZ,Thailand,452,2.6108,2.5,385,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,MITSUBISHI ELECTRIC,MR-385X-W-NZ,Thailand,452,2.6108,2.5,385,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,HELLER,FRCH25,China,347,2.5271,2.5,208,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,LEMAIR,RQ-140M,China,308,0.9268,1,123,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",,FALSE
Refridgerator,CONIA,CF426H,China,518,2.2936,2,431,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,RANK ARENA,RAURF90,China,281,1.7852,1.5,80.88,Designation,Freezer,Configuration,Upright,Compartments,Freezer,,FALSE
Refridgerator,DEC,D-426FF(SS),China,518,2.2936,2,431,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,SIMPSON,SBM3800MA,Australia,516,2.0386,2,381,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,HOMEMAKER,HMTR-15Q,China,315,0.799,1,119.7,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
Refridgerator,SIMPSON,STM5200MA,Australia,508,2.6507,2.5,517,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,ACQUA,GY-NE415CF,China,495,2.451,2,404.4,Designation,Freezer,Configuration,Chest,Compartments,Freezer,,FALSE
Refridgerator,ASKO,AWARD GT640,Turkey,529,2.6816,2.5,551,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Chill",,FALSE
Refridgerator,WESTINGHOUSE,WTM3300W,Australia,437,2.3078,2,328,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Freezer,Fresh Food",,FALSE
Refridgerator,SELECTWARE,RD-30WR4HME,China,414,2.1652,2,255.7,Designation,Refrigerator/Freezer,Configuration,Upright,Compartments,"Fresh Food,Freezer",,FALSE
Refridgerator,NIGHTINGALE,NF-138,China,310,0.8673,1,117,Designation,Refrigerator,Configuration,Upright,Compartments,"Fresh Food,Ice making",,FALSE
Refridgerator,NIGHTINGALE,NF-298,China,327,1.4221,1,258,Designation,Refrigerator,Configuration,Upright,Compartments,Fresh Food,,FALSE
