ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7,77,695,,104.0,,Dual,United States,,680.0,,1295.0,36.0,,Top,Agitator,LAT9806BGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.45,1.0,,,Regular 16 Min Warm/Cold,,,4532,Expired,38.0,140.0,Non-Drum,0.9,648.0,2005-09-07,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7,77,695,,104.0,,Dual,United States,,680.0,,1295.0,36.0,,Top,Agitator,LAT9606BGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.45,1.0,,,Regular 16 Min Warm/Cold,,,4532,Expired,38.0,140.0,Non-Drum,0.9,648.0,2005-09-07,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7,77,695,,104.0,,Dual,United States,,680.0,,1295.0,36.0,,Top,Agitator,LAT9306BGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.45,1.0,,,Regular 16 Min Warm/Cold,,,4532,Expired,38.0,140.0,Non-Drum,0.9,648.0,2005-09-07,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7.5,105,845,,101.0,,Dual,United States,,718.0,,1102.0,44.0,,Top,Agitator,MAV7750AGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.19,1.0,,,Normal whites - Regular Wash,,,4673,Expired,52.0,145.0,Non-Drum,0.83,686.0,2006-08-09,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7.5,105,845,,101.0,,Dual,United States,,718.0,,1102.0,44.0,,Top,Agitator,MAV7600AGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.19,1.0,,,Normal whites - Regular Wash,,,4673,Expired,52.0,145.0,Non-Drum,0.83,686.0,2006-08-09,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7.5,105,845,,101.0,,Dual,United States,,718.0,,1102.0,44.0,,Top,Agitator,MAV6300AGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.19,1.0,,,Normal whites - Regular Wash,,,4673,Expired,52.0,145.0,Non-Drum,0.83,686.0,2006-08-09,,
AS/NZS 2040.2:2000 (Legacy),BENDIX,6,,289,N/A,79.0,False,Dual,Italy,,,,,11.0,,Front,Drum,W1062B,AS/NZS 2040.1:2005/Amdt 3:2010,3.26,3.0,,,"Program 3, 40C",,,4586,Expired,82.0,99.0,Drum,0.75,,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),LG,7,,269,,53.0,,Dual,China,,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,WD-8013C,AS/NZS 2040.1:2005/Amdt 3:2010,3.734,3.5,,,Cottons 40,"Australia,New Zealand",,22169,Expired,134.0,53.0,Drum,0.739,,2010-08-31,,
AS/NZS 2040.2:2000 (Legacy),MIELE,6,,172,,85.0,,Cold,Germany,,750.0,,850.0,0.0,,Front,Drum,W1926,AS/NZS 2040.1:2005/Amdt 3:2010,4.61,4.5,,,Cottons 40C,"Australia,New Zealand",,4501,Expired,96.0,85.0,Drum,0.57,600.0,2005-06-08,,
AS/NZS 2040.2:2000 (Legacy),NEC,4,55,429,"15min Wash, 2min Spin, 5min Rinse, 5min Spin, Cold Water",68.0,,Dual,"""Korea, Republic of""",,440.0,,940.0,23.0,,Top,Impeller,NW-4001,AS/NZS 2040.1:2005/Amdt 3:2010,1.34,1.0,,,"15min Wash, 2min Spin, 5min Rinse, 5min Spin, Warm Water",,,4593,Expired,51.0,92.0,Non-Drum,0.8,800.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),ASKO,5.5,97,193,2 Normal Wash 0C,58.0,,Cold,Sweden,,595.0,,850.0,0.0,,Front,Drum,W620,AS/NZS 2040.1:2005/Amdt 3:2010,4.08,4.0,,,2 Normal Wash 40C,,,4583,Expired,98.0,58.0,Drum,0.64,595.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),ASKO,5.5,97,193,2 Normal Wash 0C,58.0,,Cold,Sweden,,595.0,,850.0,0.0,,Front,Drum,W600,AS/NZS 2040.1:2005/Amdt 3:2010,4.08,4.0,,,2 Normal Wash 40C,,,4583,Expired,98.0,58.0,Drum,0.64,595.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),BLANCO,7,,427,,36.0,,Dual,Turkey,,,Drum,,10.6,,Front,Drum,BFWM7,AS/NZS 2040.1:2005/Amdt 3:2010,2.9321,2.5,,,"Cotton, 60 deg C",Australia,,20349,Expired,129.0,46.6,Drum,0.608,,2010-07-13,,
AS/NZS 2040.2:2000 (Legacy),LG,10,,301,,115.4,,Dual,"""Korea, Republic of""",,700.0,Drum,1080.0,0.5,,Front,Drum,WD-1019BD,AS/NZS 2040.1:2005/Amdt 3:2010,4.3817,4.0,,,"Cotton 40C, 1000rpm spin","Australia,New Zealand",,11915,Expired,114.0,116.0,Drum,0.64,690.0,2008-03-16,,
AS/NZS 2040.2:2000 (Legacy),LG,10,,340,,122.0,,Dual,"""Korea, Republic of""",,700.0,Non Drum,1080.0,0.5,,Front,Drum,WD-1221BD,AS/NZS 2040.1:2005/Amdt 3:2010,4.2302,4.0,,,"Cotton 40C, 1200rpm spin","Australia,New Zealand",,11920,Expired,123.0,122.0,Drum,0.6,690.0,2008-03-16,,
AS/NZS 2040.2:2000 (Legacy),LG,5,54,552,NORMAL/FUZZY COLD WASH PROGRAM,86.3,,Dual,China,,540.0,,910.0,29.3,,Top,Impeller,WF-T502C,AS/NZS 2040.1:2005/Amdt 3:2010,1.24,1.0,,,NORMAL/FUZZY COLD WARM PROGRAM,Australia,,11316,Expired,53.0,116.6,Non-Drum,0.84,540.0,2007-11-21,,
AS/NZS 2040.2:2000 (Legacy),LG,10,,301,,115.4,,Dual,"""Korea, Republic of""",,700.0,Drum,1080.0,0.5,,Front,Drum,WD-1021BD,AS/NZS 2040.1:2005/Amdt 3:2010,4.3817,4.0,,,"Cotton 40C, 1000rpm spin","Australia,New Zealand",,11894,Expired,114.0,116.0,Drum,0.64,690.0,2008-03-16,,
AS/NZS 2040.2:2000 (Legacy),ASKO,5.5,,148,N/A,55.0,,Cold,Sweden,,595.0,,850.0,0.0,,Front,Drum,W640,AS/NZS 2040.1:2005/Amdt 3:2010,4.83,4.5,,,Program 2,,,4579,Expired,99.0,56.0,Drum,0.53,595.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),LG,4.5,60,529,NORMAL/FUZZY COLD WASH PROGRAM,86.1,,Dual,China,,540.0,,850.0,27.6,,Top,Impeller,WF-452C,AS/NZS 2040.1:2005/Amdt 3:2010,1.09,1.0,,,NORMAL/FUZZY  WARM PROGRAM,"Australia,New Zealand",,12027,Expired,56.0,114.0,Non-Drum,0.834,530.0,2008-04-06,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,8,,796,N/A,130.0,,Dual,United States,,685.0,,1117.0,38.0,,Top,Agitator,PAV3200AAW,AS/NZS 2040.1:2005/Amdt 3:2010,1.53,1.5,,,"Superwash, Regular 22",,,4580,Expired,52.0,168.0,Non-Drum,0.79,685.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),BENDIX,6,,289,N/A,79.0,True,Dual,Italy,,,,,11.0,,Front,Drum,W1062B,AS/NZS 2040.1:2005/Amdt 3:2010,3.26,3.0,,,"Program 3, 40C",,,4585,Expired,82.0,99.0,Drum,0.75,,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),BENDIX,6,,289,N/A,79.0,True,Dual,Italy,,,,,11.0,,Front,Drum,WD1054B,AS/NZS 2040.1:2005/Amdt 3:2010,3.26,3.0,,,"Program 3, 40C",,,4585,Expired,82.0,99.0,Drum,0.75,,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),ASKO,5.5,,158,N/A,54.0,,Dual,Sweden,,595.0,,850.0,1.0,,Front,Drum,W660,AS/NZS 2040.1:2005/Amdt 3:2010,4.65,4.5,,,P2 Cold Water Selection,,,4574,Expired,101.0,56.0,Drum,0.55,595.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,8,,296,N/A,86.0,,Dual,United States,,699.0,,1061.0,15.0,,Front,Drum,MAH3000AAW,AS/NZS 2040.1:2005/Amdt 3:2010,3.64,3.5,,,"Warm Wash (35C min) Regular Warm Wash, Heavy  Load",,,4566,Expired,52.0,101.0,Drum,0.83,686.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),ASKO,5.5,,193,,58.0,,Cold,Sweden,,595.0,,850.0,0.0,,Front,Drum,W600,AS/NZS 2040.1:2005/Amdt 3:2010,4.08,4.0,,,"2, 40C",,,4567,Expired,98.0,59.0,Drum,0.64,595.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),ASKO,5.5,,193,,58.0,,Cold,Sweden,,595.0,,850.0,0.0,,Front,Drum,W620,AS/NZS 2040.1:2005/Amdt 3:2010,4.08,4.0,,,"2, 40C",,,4567,Expired,98.0,59.0,Drum,0.64,595.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),ASKO,5.5,,193,,58.0,,Cold,Sweden,,595.0,,850.0,0.0,,Front,Drum,W620,AS/NZS 2040.1:2005/Amdt 3:2010,4.08,4.0,,,"2, 40C",,,4573,Expired,98.0,59.0,Drum,0.64,595.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),ASKO,5.5,,193,,58.0,,Cold,Sweden,,595.0,,850.0,0.0,,Front,Drum,W600,AS/NZS 2040.1:2005/Amdt 3:2010,4.08,4.0,,,"2, 40C",,,4573,Expired,98.0,59.0,Drum,0.64,595.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),DAEWOO,4,55,429,"15min Wash, 2min Spin, 5min Rinse, 5min Spin, Cold Water",69.0,,Dual,"""Korea, Republic of""",,440.0,,940.0,23.0,,Top,Impeller,DWT-4010R,AS/NZS 2040.1:2005/Amdt 3:2010,1.34,1.0,,,"15min Wash, 2min Spin, 5min Rinse, 5min Spin, Warm Water",,,4589,Expired,51.0,92.0,Non-Drum,0.8,800.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),DAEWOO,6,85,662,"Fuzzy, High water Level, Cold Wash",162.0,,Dual,"""Korea, Republic of""",,660.0,,970.0,31.0,,Top,Impeller,DWF-6094R,AS/NZS 2040.1:2005/Amdt 3:2010,1.16,1.0,,,"Fuzzy, High water Level, Warm Wash",,,4590,Expired,92.0,193.0,Non-Drum,0.94,610.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),LG,8,86,670,,144.0,,Dual,"""Korea, Republic of""",,693.0,,1039.0,34.0,,Top,Impeller,WT-R801,AS/NZS 2040.1:2005/Amdt 3:2010,1.95,1.5,,,"Cold Wash: Normal/Fuzzy Cold Wash Program , Warm Wash: Normal/Fuzzy Warm Wash rogram",,,4536,Expired,66.0,180.0,Non-Drum,0.8,632.0,2005-09-19,,
AS/NZS 2040.2:2000 (Legacy),DAEWOO,8,92,775,"Fuzzy, High water Level, Cold Wash",228.0,,Dual,"""Korea, Republic of""",,670.0,,980.0,41.0,,Top,Impeller,DWF-8094R,AS/NZS 2040.1:2005/Amdt 3:2010,1.51,1.5,,,"Fuzzy, High water Level, Warm Wash",,,4592,Expired,95.0,269.0,Non-Drum,0.9,630.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),KLEENMAID ST GEORGE,5,,186,D-warm wash-40 degrees C normal wash,68.0,,Dual,Slovenia,,570.0,,825.0,0.0,,Front,Drum,KFL1500N,AS/NZS 2040.1:2005/Amdt 3:2010,3.97,3.5,,,D-warm wash-40 degrees C normal wash,"Australia,New Zealand",,4508,Expired,80.0,68.0,Drum,0.64,598.0,2005-07-10,,
AS/NZS 2040.2:2000 (Legacy),KLEENMAID ST GEORGE,5,,186,D-warm wash-40 degrees C normal wash,68.0,,Dual,Slovenia,,570.0,,825.0,0.0,,Front,Drum,KFL1506,AS/NZS 2040.1:2005/Amdt 3:2010,3.97,3.5,,,D-warm wash-40 degrees C normal wash,"Australia,New Zealand",,4508,Expired,80.0,68.0,Drum,0.64,598.0,2005-07-10,,
AS/NZS 2040.2:2000 (Legacy),LG,9,104,855,NORMAL/FUZZY,151.1,,Dual,"""Korea, Republic of""",,693.0,,1039.0,43.7,,Top,Impeller,WT-R902,AS/NZS 2040.1:2005/Amdt 3:2010,1.676,1.5,,,NORMAL/FUZZY,"Australia,New Zealand",,9583,Expired,78.0,195.8,Non-Drum,0.772,632.0,2007-07-04,,
AS/NZS 2040.2:2000 (Legacy),AEG,7,,253,Linen Easy - Cares 40 C,82.0,False,Cold,Germany,,640.0,Drum,850.0,,Yes on the warm wash program only,Front,Drum,LL1620,AS/NZS 2040.1:2005/Amdt 3:2010,4.2331,4.0,,,Linen Easy - Cares 40 C,"Australia,New Zealand",,20544,Expired,134.0,82.0,Drum,0.532,600.0,2010-12-20,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7.5,,767,N/A,97.0,,Dual,United States,,679.0,,1061.0,38.0,,Top,Agitator,LAT9806AGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.36,1.0,,,Regular 16 minutes (Warm  Wash 35C min.),,,4595,Expired,37.0,135.0,Non-Drum,0.93,648.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7.5,,767,N/A,97.0,,Dual,United States,,679.0,,1061.0,38.0,,Top,Agitator,LAT9606AGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.36,1.0,,,Regular 16 minutes (Warm  Wash 35C min.),,,4595,Expired,37.0,135.0,Non-Drum,0.93,648.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,7.5,,767,N/A,97.0,,Dual,United States,,679.0,,1061.0,38.0,,Top,Agitator,LAT9306AGE,AS/NZS 2040.1:2005/Amdt 3:2010,1.36,1.0,,,Regular 16 minutes (Warm  Wash 35C min.),,,4595,Expired,37.0,135.0,Non-Drum,0.93,648.0,2005-09-28,,
AS/NZS 2040.2:2000 (Legacy),KLEENMAID ST GEORGE,5,,185,,60.0,,Cold,France,,600.0,,900.0,0.0,,Top,Drum,TX728A,AS/NZS 2040.1:2005/Amdt 3:2010,3.81,3.5,,,No. 1 & 40 Degrees C,,,4510,Expired,136.0,61.0,Drum,0.73,400.0,2005-07-10,,
AS/NZS 2040.2:2000 (Legacy),LG,5.5,55,559,Normal/Fuzzy Cold Wash,82.0,,Dual,"""Korea, Republic of""",,540.0,,850.0,29.0,,Top,Impeller,WF-T552,AS/NZS 2040.1:2005/Amdt 3:2010,1.4,1.0,,,Normal/Fuzzy Warm Wash,,,4622,Expired,54.0,112.0,Non-Drum,0.89,540.0,2006-01-18,,
AS/NZS 2040.2:2000 (Legacy),KLEENMAID ST GEORGE,5,,173,,61.0,,Cold,France,,600.0,,900.0,0.0,,Top,Drum,TX768A,AS/NZS 2040.1:2005/Amdt 3:2010,4.07,4.0,,,No. 2 & 40 degrees C,,,4507,Expired,115.0,62.0,Drum,0.66,400.0,2005-07-10,,
AS/NZS 2040.2:2000 (Legacy),SIGNATURE,5,,460,NORMAL COLD/COLD WASH LARGE WATER VOLUME,122.5,,Dual,China,,,,,21.2,,Top,Agitator,SIG50-31B,AS/NZS 2040.1:2005/Amdt 3:2010,1.74,1.5,,,NORMAL WARM/COLD WASH LARGE WATER VOLUME,"Australia,New Zealand",,21304,Expired,86.0,144.7,Non-Drum,0.791,,2010-07-10,,
AS/NZS 2040.2:2000 (Legacy),FISHER & PAYKEL,8,62,449,Cold,86.8,,Dual,"Australia,New Zealand",,,Non Drum,,23.2,,Top,Agitator,IW812,AS/NZS 2040.1:2005/Amdt 3:2010,3.13,3.0,,,"Warm, ECO (Save Water ++)","Australia,New Zealand",,11961,Expired,53.0,110.0,Non-Drum,0.61,,2008-03-25,,
AS/NZS 2040.2:2000 (Legacy),ADMIRAL,6.5,81,636,"Fuzzy, Cold wash",150.9,,Dual,"""Korea, Republic of""",,600.0,,1000.0,33.3,,Top,Impeller,ATL65,AS/NZS 2040.1:2005/Amdt 3:2010,1.5123,1.5,,,"Fuzzy, Warm wash","Australia,New Zealand",,10397,Expired,90.0,184.0,Non-Drum,0.88,600.0,2007-09-24,,
AS/NZS 2040.2:2000 (Legacy),LG,8,,215,,85.6,True,Dual,"""Korea, Republic of""",,,Drum,,0.5,,Front,Drum,WD-1481RD,AS/NZS 2040.1:2005/Amdt 3:2010,4.8247,4.5,,,"Cotton 40, Intensive","Australia,New Zealand",,19132,Expired,139.0,86.1,Drum,0.535,,2010-01-20,,
AS/NZS 2040.2:2000 (Legacy),GENERAL ELECTRIC,6,,409,,51.0,,Dual,"""Korea, Republic of""",,600.0,,845.0,9.0,,Front,Drum,WWH8804WWW,AS/NZS 2040.1:2005/Amdt 3:2010,2.69,2.5,,,"Cotton (Normal) 60C Wash, 1200 Spin",,,4505,Expired,135.0,60.0,Drum,0.59,600.0,2005-07-04,,
AS/NZS 2040.2:2000 (Legacy),GENERAL ELECTRIC,6,,407,,50.0,,Dual,"""Korea, Republic of""",,600.0,,845.0,10.0,,Front,Drum,WWH6804WWW,AS/NZS 2040.1:2005/Amdt 3:2010,2.62,2.5,,,"Cotton (Normal) 60C Wash, 800 Spin",,,4506,Expired,135.0,60.0,Drum,0.65,600.0,2005-07-04,,
AS/NZS 2040.2:2000 (Legacy),OMEGA,5,,237,,53.0,,Dual,Italy,,530.0,,850.0,0.0,,Front,Drum,WD1052,AS/NZS 2040.1:2005/Amdt 3:2010,3.46,3.0,,,2B AT 40C,,,4519,Expired,99.0,53.0,Drum,0.64,569.0,2005-08-31,,
AS/NZS 2040.2:2000 (Legacy),OMEGA,5,,237,,53.0,,Dual,Italy,,530.0,,850.0,0.0,,Front,Drum,CW852,AS/NZS 2040.1:2005/Amdt 3:2010,3.46,3.0,,,2B AT 40C,,,4519,Expired,99.0,53.0,Drum,0.64,569.0,2005-08-31,,
AS/NZS 2040.2:2000 (Legacy),OMEGA,5,,237,,53.0,,Dual,Italy,,530.0,,850.0,0.0,,Front,Drum,CW1252,AS/NZS 2040.1:2005/Amdt 3:2010,3.46,3.0,,,2B AT 40C,,,4519,Expired,99.0,53.0,Drum,0.64,569.0,2005-08-31,,
AS/NZS 2040.2:2000 (Legacy),SAMSUNG,6.5,,799,,113.0,,Dual,Thailand,,660.0,,1010.0,41.0,,Top,Impeller,SW66ASP,AS/NZS 2040.1:2005/Amdt 3:2010,0.938767,1.0,,,Sensor Warm Wash,"Australia,New Zealand",,16326,Expired,57.0,154.0,Non-Drum,0.88,600.0,2009-09-22,,
AS/NZS 2040.2:2000 (Legacy),NEC,6,73,656,"Fuzzy, Cold Wash",155.0,,Dual,"""Korea, Republic of""",,620.0,,950.0,34.0,,Top,Impeller,NW-691,AS/NZS 2040.1:2005/Amdt 3:2010,1.23,1.0,,,"Fuzzy, Warm Wash",,,4526,Expired,80.0,190.0,Non-Drum,0.88,610.0,2005-09-06,,
AS/NZS 2040.2:2000 (Legacy),DAEWOO,4,60,485,"Fuzzy, High, Cold Wash, Cold Rinse",118.0,,Dual,"""Korea, Republic of""",,540.0,,860.0,26.0,,Top,Impeller,NEC NW-491,AS/NZS 2040.1:2005/Amdt 3:2010,0.99,1.0,,,"Fuzzy, High, Warm Wash, Cold Rinse",,,4527,Expired,76.0,145.0,Non-Drum,0.85,530.0,2005-09-06,,
AS/NZS 2040.2:2000 (Legacy),DAEWOO,4,60,485,"Fuzzy, High, Cold Wash, Cold Rinse",118.0,,Dual,"""Korea, Republic of""",,540.0,,860.0,26.0,,Top,Impeller,DWF-4094R,AS/NZS 2040.1:2005/Amdt 3:2010,0.99,1.0,,,"Fuzzy, High, Warm Wash, Cold Rinse",,,4527,Expired,76.0,145.0,Non-Drum,0.85,530.0,2005-09-06,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,8,130,728,Regular 22 min,114.0,,Dual,United States,,685.0,,1100.0,37.0,No,Top,Agitator,PAV3855***,AS/NZS 2040.1:2005/Amdt 3:2010,1.73,1.5,,,Regular 22 min,"Australia,New Zealand",,22954,Expired,50.4,150.9,Non-Drum,0.825,685.0,2010-12-06,,
AS/NZS 2040.2:2000 (Legacy),MAYTAG,8,130,728,Regular 22 min,114.0,,Dual,United States,,685.0,,1100.0,37.0,No,Top,Agitator,PAV3300***,AS/NZS 2040.1:2005/Amdt 3:2010,1.73,1.5,,,Regular 22 min,"Australia,New Zealand",,22954,Expired,50.4,150.9,Non-Drum,0.825,685.0,2010-12-06,,
AS/NZS 2040.2:2000 (Legacy),NEC,7,87,739,"Fuzzy, Cold Wash",161.0,,Dual,"""Korea, Republic of""",,660.0,,962.0,39.0,,Top,Impeller,NW-791,AS/NZS 2040.1:2005/Amdt 3:2010,1.37,1.0,,,"Fuzzy, Warm Wash",,,4525,Expired,90.0,201.0,Non-Drum,0.81,610.0,2005-09-06,,
AS/NZS 2040.2:2000 (Legacy),NEC,4,60,485,"Fuzzy, High, Cold Wash, Cold Rinse",118.0,,Dual,"""Korea, Republic of""",,540.0,,860.0,26.0,,Top,Impeller,NW-491,AS/NZS 2040.1:2005/Amdt 3:2010,0.99,1.0,,,"Fuzzy, High, Warm Wash, Cold Rinse",,,4528,Expired,76.0,145.0,Non-Drum,0.85,530.0,2005-09-06,,
AS/NZS 2040.2:2000 (Legacy),ADMIRAL,8,92,775,"Fuzzy, High, Cold wash",228.3,,Dual,"""Korea, Republic of""",,670.0,,980.0,41.0,,Top,Impeller,ATL80,AS/NZS 2040.1:2005/Amdt 3:2010,1.5116,1.5,,,"Fuzzy, High, Warm wash","Australia,New Zealand",,10399,Expired,95.0,269.0,Non-Drum,0.907,630.0,2007-09-24,,
AS/NZS 2040.2:2000 (Legacy),SAMSUNG,6,0,135,Cotton Warm Wash 40*C,59.0,,Dual,"""Korea, Republic of""",,,,,0.0,,Front,Drum,P1403J,AS/NZS 2040.1:2005/Amdt 3:2010,4.91,4.5,,,Cotton Warm Wash 40*C,,,4678,Expired,130.0,59.0,Drum,0.62,,2006-08-22,,
AS/NZS 2040.2:2000 (Legacy),SAMSUNG,6,,141,Cotton Warm Wash 40*C,60.0,,Dual,"""Korea, Republic of""",,,,,0.0,,Front,Drum,P1003J,AS/NZS 2040.1:2005/Amdt 3:2010,4.76,4.5,,,Cotton Warm Wash 40*C,,,4677,Expired,129.0,61.0,Drum,0.65,,2006-08-22,,
AS/NZS 2040.2:2000 (Legacy),SAMSUNG,7,,297,"Cotton, 40 deg C.",52.0,,Cold,China,,,Drum,,0.5,,Front,Drum,J1045A,AS/NZS 2040.1:2005/Amdt 3:2010,3.7175,3.5,,,-,"Australia,New Zealand",,19080,Expired,133.0,52.5,Drum,0.629,,2010-03-10,,
AS/NZS 2040.2:2000 (Legacy),NEC,8,91,793,"Fuzzy, Cold Wash",205.0,,Dual,"""Korea, Republic of""",,670.0,,1010.0,43.0,,Top,Impeller,NW-891,AS/NZS 2040.1:2005/Amdt 3:2010,1.56,1.5,,,"Fuzzy, Warm Wash",,,4529,Expired,99.0,248.0,Non-Drum,0.78,630.0,2005-09-06,,
AS/NZS 2040.2:2000 (Legacy),WHIRLPOOL,7.5,,807,,115.0,,Dual,United States,,,,,39.0,,Top,Agitator,6ALSR7244***,AS/NZS 2040.1:2005/Amdt 3:2010,1.27,1.0,,,"Regular, Normal","Australia,New Zealand",,4610,Expired,40.0,154.0,Non-Drum,0.88,,2005-10-08,,
AS/NZS 2040.2:2000 (Legacy),WHIRLPOOL,7.5,,807,,115.0,,Dual,United States,,,,,39.0,,Top,Agitator,6ALSQ8000***,AS/NZS 2040.1:2005/Amdt 3:2010,1.27,1.0,,,"Regular, Normal","Australia,New Zealand",,4610,Expired,40.0,154.0,Non-Drum,0.88,,2005-10-08,,
AS/NZS 2040.2:2000 (Legacy),WHIRLPOOL,7.5,,807,,115.0,,Dual,United States,,,,,39.0,,Top,Agitator,6ALSC8255***,AS/NZS 2040.1:2005/Amdt 3:2010,1.27,1.0,,,"Regular, Normal","Australia,New Zealand",,4610,Expired,40.0,154.0,Non-Drum,0.88,,2005-10-08,,
AS/NZS 2040.2:2000 (Legacy),WHIRLPOOL,5.5,,256,"4, 40*C",42.0,,Dual,Italy,,580.0,,485.0,7.0,,Front,Drum,AWM5100,AS/NZS 2040.1:2005/Amdt 3:2010,3.5,3.5,,,"4, 40*C",,,4668,Expired,101.0,50.0,Drum,0.64,595.0,2006-07-12,,
AS/NZS 2040.2:2000 (Legacy),WHIRLPOOL,5,,238,"4, 40*C",42.0,,Dual,Italy,,580.0,,845.0,7.0,,Front,Drum,AWM5080,AS/NZS 2040.1:2005/Amdt 3:2010,3.36,3.0,,,"4, 40*C",,,4671,Expired,100.0,49.0,Drum,0.7,595.0,2006-07-12,,
AS/NZS 2040.2:2000 (Legacy),TELMANN,6,,471,"FUZZY - NORMAL, WARM/COLD, WATER LEVEL:10 SOAK SELECTED",101.0,,Dual,China,,,Non Drum,,22.8,No,Top,Impeller,TEL6TL,AS/NZS 2040.1:2005/Amdt 3:2010,2.1,2.0,,,NORMAL WARM/COLD WASH PROGRAM LARGE WATER LEVEL SEVEN TIMES PER WEEK IN EACH CASE,"Australia,New Zealand",,22483,Expired,80.0,123.8,Non-Drum,0.814,,2010-09-27,,
AS/NZS 2040.2:2000 (Legacy),LG,6,,242,,81.2,,Dual,"""Korea, Republic of""",,,Drum,,0.5,,Front,Drum,WD-8013C,AS/NZS 2040.1:2005/Amdt 3:2010,3.5994,3.5,,,Cotton 40,"Australia,New Zealand",,18387,Expired,123.0,81.7,Drum,0.763,,2009-11-29,,
AS/NZS 2040.2:2000 (Legacy),MIELE,5.5,,160,,55.7,,Cold,Germany,,600.0,,850.0,0.5,,Front,Drum,W487,AS/NZS 2040.1:2005/Amdt 3:2010,4.61,4.5,,,COTTONS 40,"Australia,New Zealand",,11396,Expired,118.0,56.2,Drum,0.561,600.0,2007-12-01,,
AS/NZS 2040.2:2000 (Legacy),MALBER,6,,231,,56.7,,Cold,Italy,,545.0,,850.0,0.5,,Front,Drum,6,AS/NZS 2040.1:2005/Amdt 3:2010,3.84,3.5,,,P3,"Australia,New Zealand",,19116,Approved,120.0,57.2,Drum,0.673,595.0,,,
AS/NZS 2040.2:2000 (Legacy),THOR,6.5,,385,,56.5,,Cold,Turkey,,,Drum,,0.5,,Front,Drum,WMB7610K,AS/NZS 2040.1:2005/Amdt 3:2010,2.95,2.5,,,Program X60,Australia,,15515,Expired,137.0,57.0,Drum,0.643,,2009-07-26,,
AS/NZS 2040.2:2000 (Legacy),DAEWOO,8,87,702,,209.0,,Dual,"""Korea, Republic of""",,670.0,,1040.0,37.0,,Top,Impeller,NW-892,AS/NZS 2040.1:2005/Amdt 3:2010,1.85,1.5,,,Fuzzy Warm,,,4705,Expired,97.0,246.0,Non-Drum,0.79,630.0,2006-11-08,,
AS/NZS 2040.2:2000 (Legacy),DAEWOO,8,87,702,,209.0,,Dual,"""Korea, Republic of""",,670.0,,1040.0,37.0,,Top,Impeller,NW-81R,AS/NZS 2040.1:2005/Amdt 3:2010,1.85,1.5,,,Fuzzy Warm,,,4705,Expired,97.0,246.0,Non-Drum,0.79,630.0,2006-11-08,,
