ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),AEG,6,,219,,71.3,False,Cold,Germany,,640.0,Drum,850.0,0.0,Yes on the warm wash program only,Front,Drum,L74800,AS/NZS 2040.1:2005/Amdt 3:2010,4.0697,4.0,,,Cotton Linen  40 C,"Australia,New Zealand",,27167,Superseded,116.0,71.3,Drum,0.607,600.0,2011-10-10,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),MAYTAG,7.5,69,678,,123.2,False,Dual,"""Korea, Republic of""",,670.0,Non Drum,1070.0,36.875,No,Top,Impeller,MAV3700***,AS/NZS 2040.1:2005/Amdt 3:2010,1.805172,1.5,,,"water level high, sensor/reg., 18 minute wash, 1 rinse, 5 minute Spin","Australia,New Zealand",,23595,Expired,,160.0,Non-Drum,0.766,610.0,2011-03-20,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,10,,238,,76.6,True,Dual,"""Korea, Republic of""",,,Drum,,1.25,Yes on the warm wash program only,Front,Drum,WD-1256RD,AS/NZS 2040.1:2005/Amdt 3:2010,4.9192526,4.5,,,"Cotton 40 C, Intensive, Eco-Steam, Rinse-Normal,1200 rpm","Australia,New Zealand",,27061,Superseded,125.0,77.9,Drum,0.587,,2011-06-21,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,10,,238,,76.6,True,Dual,"""Korea, Republic of""",,,Drum,,1.25,Yes on the warm wash program only,Front,Drum,WD-1255RD,AS/NZS 2040.1:2005/Amdt 3:2010,4.9192526,4.5,,,"Cotton 40 C, Intensive, Eco-Steam, Rinse-Normal,1200 rpm","Australia,New Zealand",,27061,Superseded,125.0,77.9,Drum,0.587,,2011-06-21,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),RANK ARENA,7,60,1095,"No 3, 60 C, 1000 rpm",127.4,False,Dual,China,,,Non Drum,,61.1,No,Top,Agitator,RATLW7,AS/NZS 2040.1:2005/Amdt 3:2010,0.26,1.0,,,"Soak Wash, Hot","Australia,New Zealand",,24556,Expired,73.0,188.4,Non-Drum,0.952,,2011-03-07,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,6.5,,299,,55.9,False,Dual,Italy,,,Drum,,13.2,Yes on the warm wash program only,Front,Drum,WIL82,AS/NZS 2040.1:2005/Amdt 3:2010,3.4138,3.0,,,"Program No.3, Cotton 40C,800 Rpm","Australia,New Zealand",,24541,Expired,93.489,69.1,Drum,0.713,,2011-03-26,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),INDESIT,6.5,,299,,55.9,False,Dual,Italy,,,Drum,,13.2,Yes on the warm wash program only,Front,Drum,WI82 (AUS),AS/NZS 2040.1:2005/Amdt 3:2010,3.4138,3.0,,,"Program No.3, Cotton 40C,800 Rpm","Australia,New Zealand",,24541,Expired,93.489,69.1,Drum,0.713,,2011-03-26,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),ELECTROLUX,8,90,371,Cotton Cold,65.9,False,Cold,Thailand,,,Drum,,0.5,Yes on the warm wash program only,Front,Drum,EWF1495,AS/NZS 2040.1:2005/Amdt 3:2010,3.682,3.5,,,Cotton Eco 60 (1400 RPM),"Australia,New Zealand",,23887,Expired,145.0,66.4,Drum,0.53,,2011-01-02,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),ELECTROLUX,6.5,113,266,Cotton Cold,83.3,False,Cold,Thailand,,630.0,Drum,850.0,0.5,Yes on the warm wash program only,Front,Drum,EW1280F,AS/NZS 2040.1:2005/Amdt 3:2010,3.953,3.5,,,Cotton 40 (1200 RPM),"Australia,New Zealand",,23882,Expired,124.0,83.8,Drum,0.61,600.0,2011-01-02,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),FISHER & PAYKEL,5.5,53,452,"Regular, Cold, Eco",48.0,False,Dual,New Zealand,,,Non Drum,,23.0,No,Top,Agitator,IW512,AS/NZS 2040.1:2005/Amdt 3:2010,2.12819,2.0,,,"Regular, Warm/Cold, Eco","Australia,New Zealand",,24386,Expired,45.0,72.0,Non-Drum,0.7,,2011-02-12,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),FISHER & PAYKEL,5.5,53,452,"Regular, Cold, Eco",48.0,False,Dual,New Zealand,,,Non Drum,,23.0,No,Top,Agitator,GW512,AS/NZS 2040.1:2005/Amdt 3:2010,2.12819,2.0,,,"Regular, Warm/Cold, Eco","Australia,New Zealand",,24386,Expired,45.0,72.0,Non-Drum,0.7,,2011-02-12,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),SIGNATURE,6,,471,"FUZZY - NORMAL, WARM/COLD, WATER LEVEL:10 SOAK SELECTED",101.0,False,Dual,China,,,Non Drum,,22.8,No,Top,Impeller,SIG60,AS/NZS 2040.1:2005/Amdt 3:2010,2.1,1.5,,,NORMAL WARM/COLD WASH PROGRAM LARGE WATER LEVEL SEVEN TIMES PER WEEK IN EACH CASE,"Australia,New Zealand",,25313,Expired,80.0,123.8,Non-Drum,0.814,,2011-03-28,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),SIGNATURE,6,,471,"FUZZY - NORMAL, WARM/COLD, WATER LEVEL:10 SOAK SELECTED",101.0,False,Dual,China,,,Non Drum,,22.8,No,Top,Impeller,HWMP60TLF / QXB60-91BF,AS/NZS 2040.1:2005/Amdt 3:2010,2.1,1.5,,,NORMAL WARM/COLD WASH PROGRAM LARGE WATER LEVEL SEVEN TIMES PER WEEK IN EACH CASE,"Australia,New Zealand",,25313,Expired,80.0,123.8,Non-Drum,0.814,,2011-03-28,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,5.5,42,659,Normal ,71.4,False,Dual,Thailand,,,Non Drum,,35.0,No,Top,Impeller,WF-T556,AS/NZS 2040.1:2005/Amdt 3:2010,1.00654326,1.0,,,Normal ,"Australia,New Zealand",,27471,Superseded,58.0,106.4,Non-Drum,0.881,,2011-06-25,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,7,,235,,68.6,False,Dual,China,,,Drum,,0.9,Yes on the warm wash program only,Front,Drum,WD-8015C,AS/NZS 2040.1:2005/Amdt 3:2010,4.1762883,4.0,,,"Cotton 40 C, 800  rpm","Australia,New Zealand",,27459,Superseded,159.0,69.5,Drum,0.638,,2011-06-21,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),Haier,5,48,369,NORMAL WITH SOAK,102.7,False,Dual,China,,,Non Drum,,18.2,No,Top,Agitator,HWM50TLF,AS/NZS 2040.1:2005/Amdt 3:2010,2.2568,2.0,,,USING NORMAL WITH SOAK WARM/COLD WASH PROGRAM LARGE WATER LEVEL,"Australia,New Zealand",,23933,Expired,79.0,120.9,Non-Drum,0.801,,2011-01-05,,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),KLEENMAID,6.5,,215,"Cotton 40 degrees C, ",66.9,False,Dual,Slovenia,,,Drum,,,Yes on the warm wash program only,Front,Drum,KFL1000,AS/NZS 2040.1:2005/Amdt 3:2010,4.06,4.0,,,Cotton 40 degrees C,"Australia,New Zealand",,28043,Superseded,128.0,66.8,Drum,0.711,,2011-08-16,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),LG,7,,206,,70.6,True,Dual,"""Korea, Republic of""",,550.0,Drum,850.0,0.9,Yes on the warm wash program only,Front,Drum,WD-1438RD,AS/NZS 2040.1:2005/Amdt 3:2010,4.56522313,4.5,,,"Cotton 40 C, Intensive, 1400 rpm","Australia,New Zealand",,26575,Superseded,154.0,71.5,Drum,0.574,600.0,2011-06-21,2007-03-31,
AS/NZS 2040.2:2000/Amdt 1:2005 (Legacy),AEG,6,,235,,82.6,False,Cold,Germany,,640.0,Drum,850.0,,Yes on the warm wash program only,Front,Drum,L62800,AS/NZS 2040.1:2005/Amdt 3:2010,3.8811,3.5,,,Cotton Linen 40 C,"Australia,New Zealand",,26471,Superseded,117.0,82.6,Drum,0.632,600.0,2011-06-25,2007-03-31,
