Appliance,Brand,Model.No,Country,CEC,SRI,Star,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value,Factoid4Name,Factoid4Value
Clothes Dryer,AEG,WP,Germany,121,6.41,6,5.5,Type,Condenser,Control,Autosensing,Combination,,Program Time,131
Clothes Dryer,GALANZ,XQG70-DA112PE,China,148,2.38964,2,3.5,Type,Vented,Control,Timer,Combination,TRUE,Program Time,235
Clothes Dryer,MIELE,T230C,Germany,209,2.46,2,5,Type,Condenser,Control,Autosensing,Combination,,Program Time,117
Clothes Dryer,MIELE,T253C,Germany,212,2.37,2,5,Type,Condenser,Control,Autosensing,Combination,,Program Time,114
Clothes Dryer,LG,WD14130FD6,"""Korea, Republic of""",215,1.638272,1.5,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,261
Clothes Dryer,LG,WD14130RD6,"""Korea, Republic of""",215,1.638272,1.5,4.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,261
Clothes Dryer,MIELE,T220,Germany,206,2.54,2.5,5,Type,Vented,Control,Autosensing,Combination,,Program Time,111
Clothes Dryer,LG,WD-1458RD,"""Korea, Republic of""",177,2.1102,2,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,200
Clothes Dryer,LG,WD-1457RD,"""Korea, Republic of""",177,2.1102,2,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,200
Clothes Dryer,LG,WD-1435 RD,"""Korea, Republic of""",174,2.2154,2,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,236
Clothes Dryer,OMEGA,WD1052,Italy,114,1.92,1.5,2.5,Type,Condenser,Control,Timer,Combination,TRUE,Program Time,121
Clothes Dryer,LG,WD14700RD,"""Korea, Republic of""",174,2.2154,2,4,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,236
Clothes Dryer,ASKO,T720,Sweden,234,1.76,1.5,5,Type,Condenser,Control,Timer,Combination,,Program Time,120
Clothes Dryer,ELECTROLUX,EWW14791W,Italy,168,3.78,3.5,5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,180
Clothes Dryer,ASKO,TD 22,Sweden,234,1.76,1.5,5,Type,Condenser,Control,Timer,Combination,,Program Time,120
Clothes Dryer,ELECTROLUX,EWD 1477,Italy,126,3.38,3,3.5,Type,Condenser,Control,Autosensing,Combination,TRUE,Program Time,115
