"","Brand","Model_No","Country","C.Power_Inp_Rated","sri2010_cool","Star2010_Cool","C.Dehumid_Rated","Configuration1","Configuration2","Type"
"9133","Carrier","42LUVH055N+38LUVH055N","China",1.84,1.63600984354,1.5,0.88,"Non Ducted","Single Split System","Reverse Cycle"
"9134","Carrier","42LUVH045N+38LUVH045N","China",1.48,1.82596288428,1.5,1.16,"Non Ducted","Single Split System","Reverse Cycle"
"9135","Carrier","42LUVH035N+38LUVH035N","China",0.88,2.50162602361,2.5,0.66,"Non Ducted","Single Split System","Reverse Cycle"
"9136","Carrier","42LUVH025N+38LUVH025N","China",0.67,2.64827729765,2.5,0.25,"Non Ducted","Single Split System","Reverse Cycle"
"9137","Olimpia Splendid","Unico 12hp AUNZ N","Italy",0.845,1.83424121796,1.5,0.84,"Non Ducted","Window Wall","Reverse Cycle"
"9138","Toshiba","RAS-24SKV2-A +RAS-24SAV2-A","Thailand",2.33,1.68974726138,1.5,1.95,"Non Ducted","Single Split System","Reverse Cycle"
"9139","Toshiba","RAS-18SKV-A + RAS-18SAV2-A","Thailand",1.42,2.38779572218,2,0.85,"Non Ducted","Single Split System","Reverse Cycle"
"9140","Toshiba","RAS-10SKV2-A + RAS-10SAVR-A","Thailand",0.6,3.35423254105,3,1,"Non Ducted","Single Split System","Reverse Cycle"
"9141","Olimpia Splendid","Unico 9hp AUNZ N","Italy",0.715,1.8591605468,1.5,0.69,"Non Ducted","Window Wall","Reverse Cycle"
"9142","GREE","GWH09MB-K3DNAxH","China",0.73,2.64455696872,2.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"9143","KELVINATOR","KSE26HRC","China",0.75,3.04707016293,3,0.73992,"Non Ducted","Single Split System","Reverse Cycle"
"9144","KELVINATOR","KSE53HRC","China",1.57,2.07283631517,2,1.8317,"Non Ducted","Single Split System","Reverse Cycle"
"9145","KELVINATOR","KSE88HRC","China",2.35,2.13265740638,2,2.1393,"Non Ducted","Single Split System","Cooling Only"
"9146","Toshiba"," RAV-SM806KRT-A + RAV-SP804AT-A","Japan",1.91,1.88947370172,1.5,2,"Non Ducted","Single Split System","Reverse Cycle"
"9147","Toshiba"," RAV-SM566KRT-A + RAV-SP564AT-A","Japan",1.44,2.40924092341,2,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"9157","Toshiba","RAS-22SKV2-A1 + RAS-22SAV2-A1","Thailand",1.83,1.87583928444,1.5,1.1,"Non Ducted","Single Split System","Reverse Cycle"
"9158","Toshiba","RAS-16SKV2-A1 + RAS-16SAV2-A1","Thailand",1.34,1.89268476764,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"9159","Toshiba","RAS-13SKV2-A1 + RAS-13SAV2-A1","Thailand",0.92,2.70019634976,2.5,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"9178","IP Solar Hybrid Air Conditioning","(IP) 35GW","China",0.95,2.9105882553,2.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"9179","Toshiba","RAS-13SKVP2-A + RAS-13SAVP2-A","Thailand",0.84,3.39915315795,3,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"9180","Toshiba","RAS-16SKVP2-A + RAS-16SAVP2-A","Thailand",1.34,2.21395755547,2,1.7,"Non Ducted","Single Split System","Reverse Cycle"
"9181","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A","Thailand,Thailand",0.49,4.82129000878,4.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"9182","Toshiba","RAS-10SKVP2-A + RAS-10SAVP2-A","Thailand,Thailand",0.49,4.82129000878,4.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"9183","MITSUBISHI HEAVY INDUSTRIES LTD.","FDT71VNXVD","Japan,Thailand",2.04,1.8514,1.5,0.691,"Non Ducted","Single Split System","Reverse Cycle"
"9184","MITSUBISHI HEAVY INDUSTRIES LTD.","FDEN100VNV","Thailand",2.85,2.044,2,2.5,"Non Ducted","Single Split System","Reverse Cycle"
"9185","MITSUBISHI HEAVY INDUSTRIES LTD.","FDEN100VNVD","Thailand",2.85,2.044,2,2.5,"Non Ducted","Single Split System","Reverse Cycle"
"9187","FUJITSU","ASTG24LFCC/AOTG24LFCC","China",2.17,2.12572488531,2,1.85,"Non Ducted","Single Split System","Reverse Cycle"
"9188","MITSUBISHI HEAVY INDUSTRIES LTD.","FDT100VNVF","Thailand",2.76,1.96856639676,1.5,3.426,"Non Ducted","Single Split System","Reverse Cycle"
"9189","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK50ZJ-S1","Thailand",1.55,1.6480356772,1.5,1.33,"Non Ducted","Single Split System","Reverse Cycle"
