"","Brand","Model_No","Country","C.Power_Inp_Rated","sri2010_cool","Star2010_Cool","C.Dehumid_Rated","Configuration1","Configuration2","Type"
"1","Haier","AD722AHEAA/AU72NATEAA","China",7.2,1.6234,1.5,5.5,"Ducted","Single Split System","Reverse Cycle"
"2","MIDEA","MWF-16HRN1-QC1G","China",1.46,1.9464,1.5,1.1,"Non Ducted","Window Wall","Reverse Cycle"
"4","MITSUBISHI ELECTRIC","MSZ-GE33VA","Thailand",0.91,2.8576,2.5,0.49,"Non Ducted","Single Split System","Reverse Cycle"
"5","AQUILON","RIH110A(outdoor unit); DIV110A (indoor unit)","China",3.25,1.7208,1.5,0,"Ducted","Single Split System","Reverse Cycle"
"11","AUX","AC18F","China",1.45,1.8834,1.5,1.333,"Non Ducted","Single Split System","Reverse Cycle"
"13","MITSUBISHI HEAVY INDUSTRIES LTD.","FDEN71VNXVD","Thailand,Japan",2.11,1.3824,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"14","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK35ZIX-S","Thailand",0.85,3.3076,3,0.3,"Non Ducted","Single Split System","Reverse Cycle"
"17","TOSHIBA","RAS-B16UFV-A & RAS-16UAVR-A","Thailand",1.45,1.9086,1.5,1,"Non Ducted","Single Split System","Reverse Cycle"
"18","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK13YJ-S","Thailand",0.99,2.3494,2,0.5,"Non Ducted","Single Split System","Cooling Only"
"24","MIDEA","MWF-09HRN1-QC1G","China",0.84,2.006,2,0.59,"Non Ducted","Window Wall","Reverse Cycle"
"25","MIDEA","MWF-21CRN1-QC1G","China",1.87,1.938,1.5,1.49,"Non Ducted","Window Wall","Cooling Only"
"29","LENNOX","LNW060X","China",1.87,2.0294,2,1.25,"Non Ducted","Window Wall","Reverse Cycle"
"30","LENNOX","LNW047X","China",1.46,1.9464,1.5,1.09,"Non Ducted","Window Wall","Reverse Cycle"
"31","LENNOX","LNW022X","China",0.68,2.065,2,0.59,"Non Ducted","Window Wall","Reverse Cycle"
"33","Haier","AD242AMERA/AU242AGERA","China",2.45,0.969,1,1.8,"Ducted","Single Split System","Reverse Cycle"
"36","Panasonic","CS-E15HB4EA/CU-E15HBR","Malaysia",1.3,1.4688,1,0.2,"Non Ducted","Single Split System","Reverse Cycle"
"37","YORK","YJHC24FSAAAA-IIIS","China",2.2,1.3566,1,0,"Non Ducted","Single Split System","Reverse Cycle"
"38","Panasonic","CS-E12GFEW/CU-E12GFR","Malaysia,Japan",0.86,2.9744,2.5,0.68,"Non Ducted","Single Split System","Reverse Cycle"
"39","Haier","AD242ALEAA/AU242AGEAA","China",2.55,1.337,1,2,"Ducted","Single Split System","Reverse Cycle"
"40","DAIKIN","FTXR50K / RXR50K","Thailand,Japan",1.47,1.8782,1.5,1.23,"Non Ducted","Single Split System","Reverse Cycle"
"41","TOSHIBA","RAS-B13UFV-A & RAS-13SAVR-A2","Thailand",1.02,2.2084,2,1.05,"Non Ducted","Single Split System","Reverse Cycle"
"43","TOSHIBA","RAS-B18UFV-A & RAS-18SAV2-A","Thailand",1.63,1.4182,1,1.4,"Non Ducted","Single Split System","Reverse Cycle"
"44","LENNOX","LNE050C/LNC050C","China",1.57,2.0096,2,1.33,"Non Ducted","Single Split System","Reverse Cycle"
"45","LENNOX","LNE032C/LNC032C","China",0.91,2.5426,2.5,0.32,"Non Ducted","Single Split System","Reverse Cycle"
"47","Gree","GWH18MC-K3DNA3A","China",1.64,1.574,1.5,1.29,"Non Ducted","Single Split System","Reverse Cycle"
"48","Gree","GJH18AC-K3RNB9A","China",1.76,1.5386,1.5,1.58,"Non Ducted","Packaged","Reverse Cycle"
"49","Gree","GJH24AC-K3RNB9A","China",1.99,1.5128,1.5,1.79,"Non Ducted","Window Wall","Reverse Cycle"
"50","Gree","GWH09MB-K3NNA3B","China",0.8,2.2656,2,0.426,"Non Ducted","Single Split System","Reverse Cycle"
"51","Gree","GJH18AC-K3RNB9B","China",1.56,1.6767,1.5,0.99,"Non Ducted","Window Wall","Reverse Cycle"
"52","Panasonic","CS-E7LKR/CU-E7LKR","Malaysia",0.46,3.766,3.5,0.1,"Non Ducted","Single Split System","Reverse Cycle"
"53","Gree","GWH24MD-K3NNA3B","China",2.04,1.5658,1.5,1.72,"Non Ducted","Single Split System","Reverse Cycle"
"54","Gree","GJC07AB-K3RNB9A","China",0.75,1.46,1,0.24,"Non Ducted","Window Wall","Cooling Only"
"55","GREE","GWH24MD-K3NNA4B","China",2.04,1.5658,1.5,1.57,"Non Ducted","Single Split System","Reverse Cycle"
"56","GREE","GWH24MD-K3NNA2B","China",2.04,1.5658,1.5,1.57,"Non Ducted","Single Split System","Reverse Cycle"
"57","GREE","GWH24MD-K3NNA3B","China",2.04,1.5658,1.5,1.57,"Non Ducted","Single Split System","Reverse Cycle"
"61","CHIGO","CS-70V3A-Q*ASC","China",2.32,1.3082,1,1.18,"Non Ducted","Single Split System","Reverse Cycle"
"62","CHIGO","CS-35V3A-P*AH4L","China",1.06,2.1304,2,0.17,"Non Ducted","Single Split System","Reverse Cycle"
"63","CHIGO","CS-25V3A-M*AH4L","China",0.75,2.58,2.5,0.32,"Non Ducted","Single Split System","Reverse Cycle"
"64","CHIGO","CSS-70H3A-W*ASB","China",2.2,1.3824,1,2,"Non Ducted","Single Split System","Reverse Cycle"
"65","TOSHIBA","RAS-B13UFV-A & RAS-13SAVR-A2","Thailand",1.02,2.2084,2,1.05,"Non Ducted","Single Split System","Reverse Cycle"
"66","GREE","GJHM12ADNK1A3A","China",1.23,1.2352,1,0.75,"Non Ducted","Window Wall","Reverse Cycle"
"67","GREE","GJHN24A3NK1KA","China",2.05,1.1964,1,1.35,"Non Ducted","Window Wall","Reverse Cycle"
"70","MITSUBISHI HEAVY INDUSTRIES LTD.","FDTC5OZIXVD","Thailand",1.56,2.0462,2,1.46,"Non Ducted","Single Split System","Reverse Cycle"
"71","MITSUBISHI HEAVY INDUSTRIES LTD.","FDTC50ZIXVB","Thailand",1.56,2.0462,2,1.46,"Non Ducted","Single Split System","Reverse Cycle"
"93","TOSHIBA","RAS-B16SKVP-E & RAS-16SAVP-E","Japan",1.35,1.8514,1.5,1.15,"Non Ducted","Single Split System","Reverse Cycle"
"94","TOSHIBA","RAS-B13SKVP-E & RAS-13SAVP-E","Japan",0.85,3.1604,3,0.9,"Non Ducted","Single Split System","Reverse Cycle"
"96","MIDEA","MWF-18HRN1-QC1G","China",1.59,2.0308,2,1.23,"Non Ducted","Window Wall","Reverse Cycle"
"97","Gree","GWHD18ACNK3A1A","China",1.54,1.8752,1.5,1.35,"Non Ducted","Single Split System","Reverse Cycle"
"98","Gree","GJH12AD-K3MNB8A","China",1.23,1.4805,1,0.61,"Non Ducted","Window Wall","Reverse Cycle"
"100","TOSHIBA","RAS-18SKV-A & RAS-18SAV2-A","Thailand",1.42,2.2104,2,1.8,"Non Ducted","Single Split System","Reverse Cycle"
"101","TOSHIBA","RAS-B10SKVP-E & RAS-10SAVP-E","Japan",0.49,4.7154,4.5,0.65,"Non Ducted","Single Split System","Reverse Cycle"
"102","GREE","GWH18MC-K3NNA7B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"103","GREE","GWH18MC-K3NNA6B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"104","GREE","GWH18MC-K3NNA5B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"105","GREE","GWH18MC-K3NNA4B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"106","GREE","GWH18MC-K3NNA2B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"107","GREE","GWH18MC-K3NNA3B","China",1.7,1.4692,1,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"108","GREE","GWH09MB-K3NNA2B","China",0.8,2.2656,2,0.45,"Non Ducted","Single Split System","Reverse Cycle"
"109","GREE","GWH09MB-K3NNA3B","China",0.8,2.2656,2,0.45,"Non Ducted","Single Split System","Reverse Cycle"
"110","GREE","GWH09MB-K3NNA4B","China",0.8,2.2656,2,0.45,"Non Ducted","Single Split System","Reverse Cycle"
"111","GREE","GJH18AC-K3MNB8A","China",1.76,1.5374,1.5,1.57,"Non Ducted","Window Wall","Reverse Cycle"
"112","CARRIER","42NQV060M-A & 38NYV060M-A","Thailand",2,1.1876,1,2,"Non Ducted","Single Split System","Reverse Cycle"
"113","BENSON","BEN 36 HID/HCU","Thailand",3.4,1.3582,1,2.4,"Ducted","Single Split System","Reverse Cycle"
"114","BENSON","BENDX 1T D 103 R/RC","Thailand",3.4,1.3582,1,2.4,"Ducted","Single Split System","Reverse Cycle"
"118","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK50ZJ-S","Thailand",1.55,1.7172,1.5,1.234,"Non Ducted","Single Split System","Reverse Cycle"
"121","TOSHIBA","RAS-18SKVR-A & RAS-18SAV2-A","Thailand",1.42,2.27,2,1.8,"Non Ducted","Single Split System","Reverse Cycle"
"123","CARRIER","42NQV050M-A & 38NYV050M-A","Thailand",1.51,2.21,2,1.8,"Non Ducted","Single Split System","Reverse Cycle"
"124","BENSON","BENDX 1P ACHW 65 R/RC","China",2,1.4846,1,1.48,"Non Ducted","Single Split System","Reverse Cycle"
"125","BENSON","BENDX 1P ACHW 34 R/RC","China",1,2.3482,2,0.76,"Non Ducted","Single Split System","Reverse Cycle"
"133","KELVINATOR","KSE62HRB","China",1.99,1.8,1.5,1.239,"Non Ducted","Single Split System","Reverse Cycle"
"134","BENSON","BENDX 1T D 123 R/RC","Thailand",3.68,1.9056,1.5,2.76,"Ducted","Single Split System","Reverse Cycle"
"135","BENSON","BEN 56 HID / HCU","Thailand",5.1,1.5994,1.5,4.07,"Ducted","Single Split System","Reverse Cycle"
"136","BENSON","BENDX 1T D 163 R/RC","Thailand",5.1,1.5994,1.5,4.07,"Ducted","Single Split System","Reverse Cycle"
"137","KELVINATOR","KSE26CRB","China",0.77,2.56,2.5,0.39,"Non Ducted","Single Split System","Cooling Only"
"140","Panasonic","CS-HE12GKE/CU-HE12GKE","Malaysia",0.85,3.18,3,0.4,"Non Ducted","Single Split System","Reverse Cycle"
"141","Panasonic","CS-HE9GKE/CU-HE9GKE","Malaysia",0.51,4.76,4.5,0.2,"Non Ducted","Single Split System","Reverse Cycle"
"142","KELVINATOR","KSE88HRB","China",2.7,1.6442,1.5,2.879,"Non Ducted","Single Split System","Reverse Cycle"
"144","Panasonic","CS-TE9HKE/CU-TE9HKE","Malaysia",0.57,3.7,3.5,0.2,"Non Ducted","Single Split System","Reverse Cycle"
"145","Panasonic","CS-E9GFEW/CU-E9GFE-1","Malaysia",0.57,3.5,3.5,0.37,"Non Ducted","Single Split System","Reverse Cycle"
"146","Panasonic","CS-E18GFEW/CU-E18GFE-1","Malaysia",1.55,1.58,1.5,1.5,"Non Ducted","Single Split System","Reverse Cycle"
"147","Panasonic","CS-E7JKR/CU-E7JKR-3","Malaysia",0.48,3.16,3,0.1,"Non Ducted","Single Split System","Reverse Cycle"
"148","Panasonic","CS-E15JKR-3/CU-E15JKR-3","Malaysia",1.37,1.6,1.5,0.92,"Non Ducted","Single Split System","Reverse Cycle"
"149","CARRIER","42LUVH070K & 38LUVH070K","China",2.08,2.02,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"150","CARRIER","42LUVH026K & 38LUVH026K","China",0.69,3.02,3,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"151","CARRIER","42LUVH080K & 38LUVH080K","China",2.46,2.1304,2,2.1,"Non Ducted","Single Split System","Reverse Cycle"
"152","CARRIER","42LUVH060K & 38LUVH060K","China",1.85,2.02,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"153","CARRIER","42LUVH050K & 38LUVH050K","China",1.51,2,2,1.1,"Non Ducted","Single Split System","Reverse Cycle"
"154","TOSHIBA","RAS-16SKV2-A & RAS-16SAVR-A","Thailand",1.41,1.59,1.5,1.7,"Non Ducted","Single Split System","Reverse Cycle"
"155","TOSHIBA","RAS-13SKV2-A & RAS-13SAVR-A2","Thailand",1.02,2.06,2,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"156","TOSHIBA","RAS-10SKV2-A & RAS-10SAVR-A","Thailand",0.6,3.36,3,1,"Non Ducted","Single Split System","Reverse Cycle"
"157","TOSHIBA","RAS-16SKVR-A & RAS-16SAVR-A","Thailand",1.41,1.59,1.5,1.7,"Non Ducted","Single Split System","Reverse Cycle"
"158","TOSHIBA","RAS-13SKVR-A & RAS-13SAVR-A","Thailand",1.02,2.02,2,1.35,"Non Ducted","Single Split System","Reverse Cycle"
"159","CARRIER","42NQV045H-A & 38NYV045H-A","Thailand",1.42,1.59,1.5,1.7,"Non Ducted","Single Split System","Reverse Cycle"
"160","CARRIER","42NQV035H-A & 38NYV035H-A","Thailand",1.03,2.02,2,1.35,"Non Ducted","Single Split System","Reverse Cycle"
"161","CARRIER","42NQV025H-A & 38NYV025H-A","Thailand",0.66,3.36,3,1,"Non Ducted","Single Split System","Reverse Cycle"
"162","Climate Solutions Australia","CSA-H09A4/SDR1","China",0.74,2.2394,2,0.55,"Non Ducted","Single Split System","Reverse Cycle"
"168","MITSUBISHI HEAVY INDUSTRIES LTD.","SRK80ZEA-S2","Thailand",2.45,1.76,1.5,2.528,"Non Ducted","Single Split System","Reverse Cycle"
"169","GALANZ","AUS-18H53R230D13(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"170","GALANZ","AUS-18H53R230D12(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"171","GALANZ","AUS-18H53R230D10(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"172","GALANZ","AUS-18H53R230D7(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"173","GALANZ","AUS-18H53R230D6(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"174","GALANZ","AUS-18H53R230D5(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"175","GALANZ","AUS-18H53R230D4(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"176","GALANZ","AUS-18H53R230D3(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"177","GALANZ","AUS-18H53R230D2(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"178","GALANZ","AUS-18H53R230D1(Db)","China",1.68,1.5824,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"179","CHIGO","CS-51H3A-P*AH5B","China",1.65,1.3724,1,1.44,"Non Ducted","Single Split System","Reverse Cycle"
"180","CHIGO","CS-51V3A-P*AE2G","China",1.64,1.5112,1.5,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"181","YORK","YJHC09FSAAAA-III","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"182","GALANZ","AUS-12H53R130D25(b2)","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"183","GALANZ","AUS-12H53R130D24(b2)","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"184","GALANZ","AUS-12H53R130D21(b2)","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"185","GALANZ","AUS-12H53R130D11(b2)","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"186","GALANZ","AUS-12H53R130D10(b2)","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"187","GALANZ","AUS-12H53R130D5(b2)","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"188","GALANZ","AUS-12H53R130D4(b2)","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"189","GALANZ","AUS-12H53R130D3(b2)","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"190","GALANZ","AUS-12H53R130D2(b2)","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"191","GALANZ","AUS-12H53R130D1(b2)","China",0.99,2.1072,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"192","Gree","GJC24AC-K3RNB9A","China",1.99,1.5168,1.5,1.79,"Non Ducted","Window Wall","Cooling Only"
"196","Gree","GJH09AB-K3RNB9A","China",0.9,1.3706,1,0.59,"Non Ducted","Window Wall","Reverse Cycle"
"197","Gree","GJC12AD-K3RNB9A","China",1.23,1.5066,1.5,0.64,"Non Ducted","Window Wall","Cooling Only"
"198","SHINCO","SHVMX26","China",2.466,1.48,1,1.858,"Non Ducted","Single Split System","Reverse Cycle"
"199","Gree","GJC18AC-K3RNB9A","China",1.76,1.547,1.5,1.58,"Non Ducted","Window Wall","Cooling Only"
"200","Gree","GJH09AB-K3MNB8A","China",0.9,1.4114,1,0.59,"Non Ducted","Window Wall","Reverse Cycle"
"201","GREE","GJH12AD-K3MNB8A","China",1.23,1.4806,1,0.59,"Non Ducted","Window Wall","Reverse Cycle"
"202","Gree","GJC18AC-K3RNB9B","China",1.56,1.6308,1.5,1,"Non Ducted","Window Wall","Cooling Only"
"203","Gree","GWHN24FANK3A1C","China",2.3,1.5214,1.5,1.45,"Non Ducted","Single Split System","Reverse Cycle"
"204","Gree","GWH28FA-K3DNA1A","China",2.66,1.3676,1,2.25,"Non Ducted","Single Split System","Reverse Cycle"
"205","GREE","GJH24AC-K3MNB8A","China",1.99,1.5126,1.5,1.76,"Non Ducted","Window Wall","Reverse Cycle"
"206","GREE","GJH18AC-K3MNB8A","China",1.76,1.5374,1.5,1.57,"Non Ducted","Window Wall","Reverse Cycle"
"207","Gree","GJC09AB-K3RNB9A","China",0.9,1.35,1,0.52,"Non Ducted","Window Wall","Cooling Only"
"208","GREE","GJH09AB-K3MNB8A","China",0.9,1.4114,1,0.57,"Non Ducted","Window Wall","Reverse Cycle"
"209","SHINCO","SHVMX18","China",1.483,2,2,1.369,"Non Ducted","Single Split System","Reverse Cycle"
"210","Panasonic","CS-TE12HKE/CU-TE12HKE","Malaysia",0.95,2.48,2,0.7,"Non Ducted","Single Split System","Reverse Cycle"
"211","SHINCO","SHVMX24","China",2.174,1.46,1,1.406,"Non Ducted","Single Split System","Reverse Cycle"
"212","SHINCO","SHVMX09","China",0.76,2.36,2,0.678,"Non Ducted","Single Split System","Reverse Cycle"
"213","Gree","GWH09MA-K3DNA3A","China",0.735,2.264,2,0.23,"Non Ducted","Single Split System","Reverse Cycle"
"214","Gree","GJH07AB-K3RNB9A","China",0.73,1.4018,1,0.25,"Non Ducted","Window Wall","Reverse Cycle"
"215","Gree","GJH07AB-K3MNB8A","China",0.73,1.4018,1,0.25,"Non Ducted","Window Wall","Reverse Cycle"
"216","MIDEA","MWF-07HRN1-QC1G","China",0.68,2.065,2,0.59,"Non Ducted","Window Wall","Reverse Cycle"
"217","MIDEA","MWF-16CRN1-QC1G","China",1.43,1.9764,1.5,1.37,"Non Ducted","Window Wall","Cooling Only"
"218","MIDEA","MWF-18CRN1-QC1G","China",1.59,2.021,2,1.3,"Non Ducted","Window Wall","Cooling Only"
"219","GALANZ","AUS-09H53R120L40(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"220","GALANZ","AUS-09H53R120L39(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"221","GALANZ","AUS-09H53R120L38(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"222","GALANZ","AUS-09H53R120L36(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"223","GALANZ","AUS-09H53R120L35(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"224","GALANZ","AUS-09H53R120L34(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"225","GALANZ","AUS-09H53R120L33(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"226","GALANZ","AUS-09H53R120L32(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"227","GALANZ","AUS-09H53R120L31(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"228","GALANZ","AUS-09H53R120L30(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"229","GALANZ","AUS-09H53R120L29(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"230","GALANZ","AUS-09H53R120L28(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"231","GALANZ","AUS-09H53R120L27(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"232","GALANZ","AUS-09H53R120L16(Db)","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"233","GALANZ","AUS-09H53R120L15(Db)","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"234","GALANZ","AUS-09H53R120L14(Db)","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"235","GALANZ","AUS-09H53R120L10(Db)","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"236","GALANZ","AUS-09H53R120L6(Db)","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"237","GALANZ","AUS-09H53R120L5(Db)","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"238","GALANZ","AUS-09H53R120L4(Db)","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"239","GALANZ","AUS-09H53R120L3(Db)","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"240","GALANZ","AUS-09H53R120L2(Db)","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"241","GALANZ","AUS-09H53R120L1(Db)","China",0.75,2.133,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"242","LENNOX","LNE051V/LNC051V","China",1.54,2.0124,2,1.1,"Non Ducted","Single Split System","Reverse Cycle"
"244","LENNOX","LNE067V/LNC067V","China",2.08,2.0256,2,1.65,"Non Ducted","Single Split System","Reverse Cycle"
"245","LENNOX","LNE025V/LNC025V","China",0.69,3.0226,3,0.6,"Non Ducted","Single Split System","Reverse Cycle"
"250","MIDEA","MWF1-12CRN1-QC1G","China",1.09,1.942,1.5,0.52,"Non Ducted","Window Wall","Cooling Only"
"251","LENNOX","LED160V3/LCD160V3","China",5.25,1.179,1,1.07,"Ducted","Single Split System","Reverse Cycle"
"252","LENNOX","LNW037X","China",1.15,2.0208,2,0.64,"Non Ducted","Window Wall","Reverse Cycle"
"253","TCL","TAC-09CHSA/*I(*=A;C;D;E;F;G;H;J;K;L;M;N;Q;R;Y;V;Z;BE;BF;BG;BH;BJ;BM;BK;BQ;BR;BV;BU;BY;BZ)","China",0.73,2.46,2.5,0.2,"Non Ducted","Single Split System","Reverse Cycle"
"255","Panasonic","CS-E18HB4EA/CU-E18HBR","Malaysia",1.53,1.5734,1.5,1.44,"Non Ducted","Single Split System","Reverse Cycle"
"256","Panasonic","CS-E18DTEW/CU-E18DBR","Malaysia",1.47,1.5744,1.5,0.96,"Non Ducted","Single Split System","Reverse Cycle"
"257","Panasonic","CS-E18GFEW/CU-E18GFR","Malaysia,Japan",1.55,1.7416,1.5,1.25,"Non Ducted","Single Split System","Reverse Cycle"
"258","Gree","GWH24MD-K3DNA3A","China",2,1.4626,1,1.5,"Non Ducted","Single Split System","Reverse Cycle"
"261","Gree","GWH18MC-K3NNA3B","China",1.7,1.47,1,1.48,"Non Ducted","Single Split System","Reverse Cycle"
"264","CHIGO","CS-51V3A-P*AE2G","China",1.64,1.5112,1.5,1.41,"Non Ducted","Single Split System","Reverse Cycle"
"265","Gree","GWH12MB-K3NNA3B","China",0.99,2.287,2,0.92,"Non Ducted","Single Split System","Reverse Cycle"
"266","Gree","GWHD24ACNK3A1A","China",2,1.5168,1.5,1.55,"Non Ducted","Single Split System","Reverse Cycle"
"267","CHIGO","CS-70V3A-Q*ASC","China",2.32,1.38,1,1.28,"Non Ducted","Single Split System","Reverse Cycle"
"268","GALANZ","AUS-09H53R120L26(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"269","GALANZ","AUS-09H53R120L25(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"270","GALANZ","AUS-09H53R120L24(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"271","GALANZ","AUS-09H53R120L23(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"272","GALANZ","AUS-09H53R120L22(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"273","GALANZ","AUS-09H53R120L21(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"274","GALANZ","AUS-09H53R120L20(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"275","GALANZ","AUS-09H53R120L19(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"276","GALANZ","AUS-09H53R120L18(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"277","GALANZ","AUS-09H53R120L17(Db)","China",0.75,2.12,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"278","GALANZ","AUS-09H53R150L25(b2)","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"279","GALANZ","AUS-09H53R150L24(b2)","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"280","GALANZ","AUS-09H53R150L21(b2)","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"281","GALANZ","AUS-09H53R150L15(b2)","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"282","GALANZ","AUS-09H53R150L10(b2)","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"283","GALANZ","AUS-09H53R150L5(b2)","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"284","GALANZ","AUS-09H53R150L4(b2)","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"285","GALANZ","AUS-09H53R150L3(b2)","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"286","GALANZ","AUS-09H53R150L2(b2)","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"287","GALANZ","AUS-09H53R150L1(b2)","China",0.745,2.1222,2,0,"Non Ducted","Single Split System","Reverse Cycle"
"288","GALANZ","AUS-12H53R120L30(Da)","China",0.95,1.9904,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"289","GALANZ","AUS-12H53R120L21(Da)","China",0.95,1.9904,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"290","GALANZ","AUS-12H53R120L11(Da)","China",0.95,1.9904,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"291","GALANZ","AUS-12H53R120L10(Da)","China",0.95,1.9904,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
"292","GALANZ","AUS-12H53R120L5(Da)","China",0.95,1.9904,1.5,0,"Non Ducted","Single Split System","Reverse Cycle"
