Appliance,Brand,Model.No,Country,CEC_,New.SRI,New.Star,Tot.Wat.Cons,Cap,Factoid1Name,Factoid1Value,Factoid2Name,Factoid2Value,Factoid3Name,Factoid3Value
Clothes Washer,INDESIT,WI 62,Italy,274,3.2708,3,68.4,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,LG,WD-1238C,China,205,4.703,4.5,70,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,Haier,XQB60-91BF,China,520,1.86,1.5,125,6,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,Haier,HWMP60TLF,China,520,1.86,1.5,125,6,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,INDESIT,WIXL125AUS,Italy,366,3.42428,3,67.4,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,TELMANN,TEL6TL,China,520,1.86,1.5,125,6,Type,Non-Drum,Loading,Top,Machine Action,Impeller
Clothes Washer,ARISTON,AVXL 129,Italy,286,3.98728,3.5,71.7,7.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,WESTINGHOUSE,LT959SA,Australia,781,2.148,2,130.4,9.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,ELECTROLUX,EWF 1090,Thailand,356,3.68,3.5,66.3,8,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,ARISTON,BS 1400,Italy,252,4.99,4.5,83.1,10,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,MAYTAG,MAV7600AGE,United States,845,1.19,1,145,7.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,MAV6300AGE,United States,845,1.19,1,145,7.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,MAYTAG,MAV7750AGE,United States,845,1.19,1,145,7.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,WESTINGHOUSE,LG WD-8050FH,"""Korea, Republic of""",186,4.42,4,76,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,WESTINGHOUSE,LF708B,"""Korea, Republic of""",186,4.42,4,76,7,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,SAMSUNG,SW674ASP,Thailand,678,1.5031,1.5,84.3,6.5,Type,Non-Drum,Loading,Top,Machine Action,Agitator
Clothes Washer,LG,WD-1485RD,"""Korea, Republic of""",205,4.8829,4.5,59.6,8,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,BENDIX,W1063B,Italy,287,3.53,3.5,88,6.5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,BENDIX,TL843X,Italy,265,3.12,3,71,5,Type,Drum,Loading,Top,Machine Action,Drum
Clothes Washer,BENDIX,B1053X,Italy,337,3.06,3,114,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,KLEENMAID ST GEORGE,KFL805,Slovenia,268,3.02,3,73,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,KLEENMAID ST GEORGE,KFL800N,Slovenia,268,3.02,3,73,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,KLEENMAID ST GEORGE,KFL806,Slovenia,268,3.02,3,73,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,KLEENMAID ST GEORGE,KFL800N,Slovenia,268,3.02,3,74,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,KLEENMAID ST GEORGE,KFL805,Slovenia,268,3.02,3,74,5,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,THOR,TWM806,Italy,289,3.26,3,91,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,THOR,TWD1055,Italy,289,3.26,3,91,6,Type,Drum,Loading,Front,Machine Action,Drum
Clothes Washer,THOR,TWM805,Italy,229,3.32,3,70,5,Type,Drum,Loading,Front,Machine Action,Drum
