Submit_ID,Brand_Reg,Model_No,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class
52073,Kogan,KGNPRO19VBA,Australia,China,48.3,1056.3,LCD,0.31,0.0,0.0,36.7,4.5,4.842,136.0,Approved,2015-09-12,,
52073,Kogan,KGNPRO19VAA,Australia,China,48.3,1056.3,LCD,0.31,0.0,0.0,36.7,4.5,4.842,136.0,Approved,2015-09-12,,
52078,Kogan,KGNPRO26VDA,Australia,China,66.0,1854.0,LCD,0.747,0.747,0.0,83.5,2.5,2.842,309.0,Approved,2015-08-09,,
52078,Kogan,KGNPRO26VCA,Australia,China,66.0,1854.0,LCD,0.747,0.747,0.0,83.5,2.5,2.842,309.0,Approved,2015-08-09,,
52078,Kogan,KGNPRO26VBA,Australia,China,66.0,1854.0,LCD,0.747,0.747,0.0,83.5,2.5,2.842,309.0,Approved,2015-08-09,,
52078,Kogan,KGNPRO26VAA,Australia,China,66.0,1854.0,LCD,0.747,0.747,0.0,83.5,2.5,2.842,309.0,Approved,2015-08-09,,
54318,Kogan,LC-40XXXXX(DVB-T)(Where X would be any Arabian numeral or LCtter or blank),Australia,China,101.61,4411.2,LCD,0.518,0.0,0.0,182.2,2.0,2.496,668.0,Approved,2015-12-02,,
54318,Kogan,LC-40XXXXX(DVB-T+DVD),Australia,China,101.61,4411.2,LCD,0.518,0.0,0.0,182.2,2.0,2.496,668.0,Approved,2015-12-02,,
54318,Kogan,LC-40A50(DVB-T+DVD),Australia,China,101.61,4411.2,LCD,0.518,0.0,0.0,182.2,2.0,2.496,668.0,Approved,2015-12-02,,
54318,Kogan,LC-40A31(DVB-T ),Australia,China,101.61,4411.2,LCD,0.518,0.0,0.0,182.2,2.0,2.496,668.0,Approved,2015-12-02,,
54318,Kogan,LC-40A31(DVB-T+DVD),Australia,China,101.61,4411.2,LCD,0.518,0.0,0.0,182.2,2.0,2.496,668.0,Approved,2015-12-02,,
54318,Kogan,LC-40A50(DVB-T+DVD),Australia,China,101.61,4411.2,LCD,0.518,0.0,0.0,182.2,2.0,2.496,668.0,Approved,2015-12-02,,
54318,Kogan,LC-40A50(DVB-T CI),Australia,China,101.61,4411.2,LCD,0.518,0.0,0.0,182.2,2.0,2.496,668.0,Approved,2015-12-02,,
54318,Kogan,LC-40A50(DVB-T ),Australia,China,101.61,4411.2,LCD,0.518,0.0,0.0,182.2,2.0,2.496,668.0,Approved,2015-12-02,,
54318,Kogan,KGN1080P40VDA,Australia,China,101.61,4411.2,LCD,0.518,0.0,0.0,182.2,2.0,2.496,668.0,Approved,2015-12-02,,
51622,Kogan,LC32A40,Australia,China,80.131,2743.7,LCD,0.55,0.55,0.0,90.26,3.5,3.846,333.0,Approved,2015-07-14,,
51622,Kogan,LC-32A50,Australia,China,80.131,2743.7,LCD,0.55,0.55,0.0,90.26,3.5,3.846,333.0,Approved,2015-07-14,,
51622,Kogan,LC-32A58,Australia,China,80.131,2743.7,LCD,0.55,0.55,0.0,90.26,3.5,3.846,333.0,Approved,2015-07-14,,
51622,Kogan,KGN1080P32VBA,Australia,China,80.131,2743.7,LCD,0.55,0.55,0.0,90.26,3.5,3.846,333.0,Approved,2015-07-14,,
49353,Metz,Axio pro 37 FHDTV 100 CT Z,"Australia,New Zealand",Germany,94.0,3772.0,LCD,0.9,45.0,0.5,146.0,2.5,2.801,546.0,Approved,2015-03-22,,
47480,DGTEC,DG-FV26LCDVD,Australia,China,66.06,1863.9,LCD,0.44,0.0,0.0,56.46,4.5,4.612,209.0,Approved,2015-01-21,,
46180,CELESTIAL,LT3211FDS,Australia,China,81.0,2751.0,LCD,0.68,0.0,0.0,94.0,3.5,3.671,347.0,Approved,2014-11-01,,
46180,CELESTIAL,LT3211FD,Australia,China,81.0,2751.0,LCD,0.68,0.0,0.0,94.0,3.5,3.671,347.0,Approved,2014-11-01,,
46180,CELESTIAL,LT3273FDC,Australia,China,81.0,2751.0,LCD,0.68,0.0,0.0,94.0,3.5,3.671,347.0,Approved,2014-11-01,,
46180,CELESTIAL,LT3273FDB,Australia,China,81.0,2751.0,LCD,0.68,0.0,0.0,94.0,3.5,3.671,347.0,Approved,2014-11-01,,
46180,CELESTIAL,LT3273FDA,Australia,China,81.0,2751.0,LCD,0.68,0.0,0.0,94.0,3.5,3.671,347.0,Approved,2014-11-01,,
46180,CELESTIAL,LT3273FDF,Australia,China,81.0,2751.0,LCD,0.68,0.0,0.0,94.0,3.5,3.671,347.0,Approved,2014-11-01,,
46180,CELESTIAL,LT3273FDS,Australia,China,81.0,2751.0,LCD,0.68,0.0,0.0,94.0,3.5,3.671,347.0,Approved,2014-11-01,,
46180,CELESTIAL,LT3273FD,Australia,China,81.0,2751.0,LCD,0.68,0.0,0.0,94.0,3.5,3.671,347.0,Approved,2014-11-01,,
46181,CHANGHONG,CHL4243DE,Australia,China,106.0,4898.25,LCD,0.99,0.0,0.0,169.0,3.0,3.224,622.0,Approved,2014-11-01,,
46181,CHANGHONG,CHL4243DD,Australia,China,106.0,4898.25,LCD,0.99,0.0,0.0,169.0,3.0,3.224,622.0,Approved,2014-11-01,,
46181,CHANGHONG,CHL4243DC,Australia,China,106.0,4898.25,LCD,0.99,0.0,0.0,169.0,3.0,3.224,622.0,Approved,2014-11-01,,
46181,CHANGHONG,CHL4243DB,Australia,China,106.0,4898.25,LCD,0.99,0.0,0.0,169.0,3.0,3.224,622.0,Approved,2014-11-01,,
46181,CHANGHONG,CHL4243DA,Australia,China,106.0,4898.25,LCD,0.99,0.0,0.0,169.0,3.0,3.224,622.0,Approved,2014-11-01,,
46181,CHANGHONG,CHL4243D,Australia,China,106.0,4898.25,LCD,0.99,0.0,0.0,169.0,3.0,3.224,622.0,Approved,2014-11-01,,
46394,DAEWOO,LV42L1B1LF,"Australia,New Zealand","""Korea, Republic of""",106.731,4867.6,LCD,1.4,0.0,0.0,176.1,3.0,3.002,650.0,Approved,2014-11-09,,
51466,Kogan,LC42A40,Australia,China,106.73,4960.6,LCD,0.637,0.637,0.0,168.8,3.0,3.281,621.0,Approved,2015-07-14,,
51466,Kogan,LC-42A50,Australia,China,106.73,4960.6,LCD,0.637,0.637,0.0,168.8,3.0,3.281,621.0,Approved,2015-07-14,,
51466,Kogan,LC-42A58,Australia,China,106.73,4960.6,LCD,0.637,0.637,0.0,168.8,3.0,3.281,621.0,Approved,2015-07-14,,
51466,Kogan,KGN1080P42VAA,Australia,China,106.73,4960.6,LCD,0.637,0.637,0.0,168.8,3.0,3.281,621.0,Approved,2015-07-14,,
47094,Schaub Lorenz,SL 52-4 FHD-100,"Australia,New Zealand",Turkey,132.08,7465.0,LCD,0.17,29.9,0.166,284.1,2.5,2.612,1040.0,Approved,2014-12-20,,
50650,SHARP,LC-32TM9X,Australia,"""Korea, Republic of""",80.1,2736.2,LCD,0.57,0.0,0.0,70.66,4.5,4.928,261.0,Approved,2015-05-16,,
