Appliance,Brand,Model.No,CEC,SRI,Star,Cap,Normalised cap,Durability,Cost,Total Defence
Clothes Dryer,LG,WD14030RD6,220,2.4118,1.5,4.5,2,3,3.7,
Clothes Dryer,LG,WD14030FD6,220,2.4118,1.5,4.5,2,3,3.7,
Clothes Dryer,SAMSUNG ELECTRONICS,WD7704C8S.,145,3.337,3,4,1.5,3,4.45,
Clothes Dryer,BOSCH,WTY88700AU,109,8.536686244,6,7,3.5,3,7.09,
Clothes Dryer,BOSCH,WTC84100AU,270,2.006833015,2,6,3,3,4.7,
Clothes Dryer,BOSCH,WTE86303AU,355,2.092892171,2,8,4,3,5.55,
Clothes Dryer,CANDY,GO W496D-01S,207,2.5199,2.5,5,2.5,3,4.57,
Clothes Dryer,SIEMENS,WT48Y780AU,109,8.536686244,6,7,3.5,3,7.09,
Clothes Dryer,euro,EFD735CW,148,2.389638788,2,3.5,1.5,3,3.48,
Clothes Dryer,ASKO,T754HP,164,6.023018779,6,7,3.5,3,7.64,
Clothes Dryer,ASKO,T784HP,164,6.023018779,6,7,3.5,3,7.64,
Clothes Dryer,ASKO,T754C,292,2.017360185,2,6.5,3,3,4.92,
Clothes Dryer,ASKO,T784C,292,2.017360185,2,6.5,3,3,4.92,
Clothes Dryer,ASKO,T794C,292,2.017360185,2,6.5,3,3,4.92,
Clothes Dryer,DAEWOO,DWC-LD1412,220,2.1451,2,5,2.5,3,4.2,
Clothes Dryer,ARISTON,AQXXMD 129,227,2.55,2.5,5.5,2.5,3,4.77,
Clothes Dryer,ARISTON,CAWD125,193,2.32,2,4.5,2,3,3.93,
Clothes Dryer,ARISTON,ARML125,193,2.32,2,4.5,2,3,3.93,
Clothes Dryer,ARISTON,ARMF125,193,2.32,2,4.5,2,3,3.93,
Clothes Dryer,INDESIT,WIDXL126,193,2.32,2,4.5,2,3,3.93,
Clothes Dryer,LG,WD14030RD,220,1.5,1.5,4.5,2,3,3.7,
Clothes Dryer,SAMSUNG ELECTRONICS,WD856UHSAWQ,290,1.567136764,1.5,6,3,3,4.4,
Clothes Dryer,SAMSUNG ELECTRONICS,WD8704EJA,153,3.0068,3,4,1.5,3,4.53,
Clothes Dryer,SAMSUNG ELECTRONICS,WD0754W8E,165,2.5422,2.5,4,1.5,3,4.15,
Clothes Dryer,Smeg,SAWD612,134,2.0525814,2,3,1,3,3.34,
Clothes Dryer,BEKO,DPU 7390 GX,103,8.885069624,6,7,3.5,3,7.03,
Clothes Dryer,ARISTON,AQM9D 29 U,227,2.55,2.5,5.5,2.5,3,4.77,
Clothes Dryer,ARISTON,AQXXMD 129,227,2.55,2.5,5.5,2.5,3,4.77,
Clothes Dryer,INDESIT,IWDC 7125 B,193,2.32,2,4.5,2,3,3.93,
Clothes Dryer,HOOVER,DYC 9713AX,159,6.213533359,6,7,3.5,3,7.59,
Clothes Dryer,ANDI,AFWD14LA8H,141,3.509409,3.5,4,1.5,3,4.91,
Clothes Dryer,ANDI,AFWD12LA6H,122,2.62986,2.5,3,1,3,3.72,
Clothes Dryer,LG,WD14022RD6,190,1.674150407,1.5,4,1.5,3,3.4,
Clothes Dryer,Smeg,SACD7,313,2.046025054,2,7,3.5,3,5.13,
Clothes Dryer,Smeg,SAHP7,163,6.060652715,6,7,3.5,3,7.63,
Clothes Dryer,MIELE,WT2670,84,3.8036,3.5,2.5,1,3,4.34,
Clothes Dryer,MIELE,WT 2780,77,4.36,4,2.5,1,3,4.77,
Clothes Dryer,BEKO,DPU 7360 GX,163,6.060652715,6,7,3.5,3,7.63,
Clothes Dryer,MIELE,T 8929 WP,127,7.596246846,6,7,3.5,3,7.27,
Clothes Dryer,MIELE,T 8001 WP,127,7.596246846,6,7,3.5,3,7.27,
Clothes Dryer,WHIRLPOOL,WDEHP80C*,155,7.191945402,6,8,4,3,7.55,
Clothes Dryer,LG,WD12576FD,248,2.5298,2.5,6,3,3,4.98,
Clothes Dryer,LG,WD12570FD,248,2.5298,2.5,6,3,3,4.98,
Clothes Dryer,LG,WD14030FD,220,1.5,1.5,4.5,2,3,3.7,
Clothes Dryer,ELECTROLUX,EDP2074PDW,314,2.026397831,2,7,3.5,3,5.14,
Clothes Dryer,SAMSUNG ELECTRONICS,WD1102XVM,305,2.205,2,7,3.5,3,5.05,
Clothes Dryer,MIELE,T 8861 WP,149,7.434863634,6,8,4,3,7.49,
Clothes Dryer,HOOVER,WDYN 9646P,178,3.4486,3,5,2.5,3,4.78,
Clothes Dryer,LG,TD-C8035E,356,2.075583779,2,8,4,3,5.56,
Clothes Dryer,LG,WD1402CRD6,190,1.674150407,1.5,4,1.5,3,3.4,
Clothes Dryer,Haier,HD80-01,358,2.041112376,2,8,4,3,5.58,
Clothes Dryer,EUROMAID,CD6KG,280,1.783058195,1.5,6,3,3,4.3,
Clothes Dryer,Ariston,TCF 87B 6H1,355,2.092892171,2,8,4,3,5.55,
Clothes Dryer,ASKO,T754HP,164,6.023018779,6,7,3.5,3,7.64,
Clothes Dryer,ASKO,T784HP,164,6.023018779,6,7,3.5,3,7.64,
Clothes Dryer,ELECTROLUX,EDH3284PDW,168,6.696379361,6,8,4,3,7.68,
Clothes Dryer,ELECTROLUX,EDC2086PDW,357,2.058323938,2,8,4,3,5.57,
Clothes Dryer,ELECTROLUX,EWW12832,174,3.58846479,3.5,5,2.5,3,5.24,
