Appliance,Brand,Model.No,CEC,SRI,Star,Cap,Normalised cap,Durability,Cost,Total Defence
Refridgerator,SIGNATURE,SIG-350W,496,1.6807,1.5,278,1.5,3,6.46,
Refridgerator,HISENSE,HCF150A,296,2.5198,2.5,146.5,1,3,5.46,
Refridgerator,HELLER,FDH-278 (Cat No. BCD-278W),496,1.6451,1.5,278,1.5,3,6.46,
Refridgerator,OMEGA,FB*600No.,760,1.5828,1.5,603,3.5,3,9.1,
Refridgerator,NIGHTINGALE,NF-340,458,2.3344,2,354.41,2,3,6.58,
Refridgerator,LEMAIR,RS-240S,333,1.2721,1,240.5,1.5,3,4.33,
Refridgerator,BOSCH,KSU45621AU,500,2.4768,2,462,2.5,3,7,
Refridgerator,LG,GR-L247STB,730,2.0383,2,691,4,3,9.3,
Refridgerator,BOSCH,KAN58A70AU,760,1.5828,1.5,603,3.5,3,9.1,
Refridgerator,LEMAIR,FR-180V,348,2.2573,2,180.1,1,3,5.48,
Refridgerator,TCL,TCF-150X,295,2.5841,2.5,151,1,3,5.45,
Refridgerator,CONIA,CF290,380,2.4907,2,254,1.5,3,5.8,
Refridgerator,CONIA,CF290,380,2.4907,2,254,1.5,3,5.8,
Refridgerator,SIGNATURE,HUALING  WD-200,330,2.6482,2.5,200,1,3,5.8,
Refridgerator,SIGNATURE,SIG-200F,330,2.6482,2.5,200,1,3,5.8,
Refridgerator,CENTREX,CTF200,403,1.6979,1.5,193,1,3,5.53,
Refridgerator,BOSCH,KSU49621AU,480,2.9143,2.5,511,3,3,7.3,
Refridgerator,WESTINGHOUSE,RJ202*,390,1.9089,1.5,202.47,1,3,5.4,
Refridgerator,NEC,NTM410R**,495,2.3296,2,405,2.5,3,6.95,
Refridgerator,CENTREX,CTCF300,390,2.7696,2.5,300,1.5,3,6.4,
Refridgerator,NEC,NTM-250RWH/NTM-250RSS,390,2.2643,2,246,1.5,3,5.9,
Refridgerator,OMEGA,FBS600No.,650,2.2492,2,618,3.5,3,8.5,
Refridgerator,OMEGA,TM543*,560,2.4725,2,543.4,3,3,7.6,
Refridgerator,NEC,NTM510R**,540,2.4415,2,506,3,3,7.4,
Refridgerator,SIMPSON,SSM6100W,675,2.0845,2,606,3.5,3,8.75,
Refridgerator,SIMPSON,SSM6100M,675,2.0845,2,606,3.5,3,8.75,
Refridgerator,SMEG,SR600P,650,2.2492,2,618,3.5,3,8.5,
Refridgerator,TOSHIBA,GR-M66AD,596,2.4775,2,613.86,3.5,3,7.96,
Refridgerator,WESTINGHOUSE,WCM7000W,706,2.222,2,692,4,3,9.06,
Refridgerator,WESTINGHOUSE,WCM2100W,349,2.4953,2,207,1,3,5.49,
Refridgerator,OMEGA,FRR721*/FBR721*,840,1.5912,1.5,721,4,3,9.9,
Refridgerator,WESTINGHOUSE,WBM5100P,560,2.3093,2,505,3,3,7.6,
Refridgerator,WESTINGHOUSE,WBM5100W,560,2.3093,2,505,3,3,7.6,
Refridgerator,OMEGA,FBR616P/FRR616M,780,1.5376,1.5,616,3.5,3,9.3,
Refridgerator,OMEGA,FRR616S,780,1.5376,1.5,616,3.5,3,9.3,
Refridgerator,LG,GR-L267NIS,870,1.6689,1.5,803,4.5,3,10.2,
Refridgerator,WESTINGHOUSE,WCM3200W,431,2.4823,2,315,2,3,6.31,
Refridgerator,LG,GR-B197RVQ,680,1.9477,1.5,581,3.5,3,8.3,
Refridgerator,TELMANN,KR-128,292,1.0049,1,108.41,0.5,3,3.92,
Refridgerator,TELMANN,KR-128SS,292,1.0049,1,108.41,0.5,3,3.92,
Refridgerator,LG,GR-L247NSS,730,2.0383,2,691,4,3,9.3,
Refridgerator,LG,GR-F218JTTA,678,2.0277,2,622,3.5,3,8.78,
Refridgerator,LG,GR-A207CTBA,688,1.9029,1.5,581,3.5,3,8.38,
Refridgerator,TELMANN,TM002BF,265,2.0096,2,80.88,0.5,3,4.65,
Refridgerator,TELMANN,TM002SS,265,2.0096,2,80.88,0.5,3,4.65,
Refridgerator,TRIESTE,TRD-36,421,2.399,2,309.4,2,3,6.21,
Refridgerator,Haier,HFC150A,300,2.5085,2.5,150,1,3,5.5,
Refridgerator,TELMANN,KR-128SS,292,1.0049,1,108.41,0.5,3,3.92,
Refridgerator,TELMANN,KR-128,292,1.0049,1,108.41,0.5,3,3.92,
Refridgerator,AKAI,RF-R33TF,420,2.1078,2,267,1.5,3,6.2,
Refridgerator,TELMANN,TM001CF,249,2.4964,2,95,0.5,3,4.49,
Refridgerator,TRIESTE,TR-14DR4HAS,292,1.0049,1,108.41,0.5,3,3.92,
Refridgerator,NIGHTINGALE,43,421,2.0987,2,267,1.5,3,6.21,
Refridgerator,OMEGA,FBS645P/FBS645W/FRS645S,710,2.0134,2,645,3.5,3,9.1,
Refridgerator,HELLER,FDH-22,358,2.0361,2,180.6,1,3,5.58,
Refridgerator,FISHER & PAYKEL,E402B (Ice & Water),556,1.8715,1.5,403,2.5,3,7.06,
Refridgerator,DAEWOO,DFS-616DS,740,1.739,1.5,616,3.5,3,8.9,
Refridgerator,WESTINGHOUSE,WSE6070S,829,1.2526,1,596,3.5,3,9.29,
Refridgerator,HELLER,BFH-5,288,0.5181,1,48.54,0.5,3,3.88,
Refridgerator,OMEGA,FBR616P/FRR616M,780,1.5376,1.5,616,3.5,3,9.3,
Refridgerator,LEMAIR,RD-220FF,358,2.0359,2,180.6,1,3,5.58,
Refridgerator,DAEWOO,DFS-645E/DFS-645S,710,2.0134,2,645,3.5,3,9.1,
Refridgerator,OMEGA,FBW616P/FBW616W/FRW616S,740,1.739,1.5,616,3.5,3,8.9,
Refridgerator,TUSCANY,TBF66WH,288,0.5181,1,48.54,0.5,3,3.88,
Refridgerator,HELLER,FDH-44,458,2.3344,2,354.41,2,3,6.58,
Refridgerator,SIMPSON,STM3900MA,463,2.4453,2,393,2,3,6.63,
Refridgerator,FISHER & PAYKEL,N308,565,1.3771,1,304,1.5,3,6.65,
Refridgerator,LG,GR-298SQF,485,1.936,1.5,305,1.5,3,6.35,
Refridgerator,PRIMA,PFF260,421,2.0987,2,267,1.5,3,6.21,
Refridgerator,WESTINGHOUSE,WSE6100WA,687,2.0171,2,606,3.5,3,8.87,
Refridgerator,LEMAIR,RQ-55K,288,0.5177,1,48.5,0.5,3,3.88,
Refridgerator,NEC,NTM-306RWH,450,1.9961,1.5,281.7,1.5,3,6,
Refridgerator,SAMSUNG ELECTRONICS,SRS541NP,674,1.8428,1.5,539,3,3,8.24,
Refridgerator,WESTINGHOUSE,WRM4300S,380,1.5082,1.5,434,2.5,3,5.3,
Refridgerator,WESTINGHOUSE,WRM4300W,380,1.5082,1.5,434,2.5,3,5.3,
Refridgerator,SAMSUNG ELECTRONICS,SRS542HP,756,1.4067,1,540,3,3,8.56,
Refridgerator,NEC,SBS-645 / SBS-645P,710,2.0134,2,645,3.5,3,9.1,
Refridgerator,NEC,FR-080R,305,0.6297,1,80,0.5,3,4.05,
Refridgerator,HOMEMAKER,HMWB-120,270,1.4375,1,122,0.5,3,3.7,
Refridgerator,LG,GC-B196ACF,680,1.9477,1.5,581,3.5,3,8.3,
Refridgerator,TGA UNLIMITED,BC-128,322,0.7007,1,118,0.5,3,4.22,
Refridgerator,FISHER & PAYKEL,RB90S (refrigerator),185,2.8564,2.5,123,0.5,3,4.35,
Refridgerator,FISHER & PAYKEL,RB90S (freezer),340,1.7,1.5,123,0.5,3,4.9,
Refridgerator,GVA,GVAF100,234,1.7879,1.5,100,0.5,3,3.84,
Refridgerator,LG,GC-L197STS,738,1.5673,1.5,567,3,3,8.88,
Refridgerator,SAMSUNG ELECTRONICS,SRS576DP,698,1.8113,1.5,576,3,3,8.48,
Refridgerator,SAMSUNG ELECTRONICS,SRS589ENP,687,1.9373,1.5,589,3.5,3,8.37,
Refridgerator,TURBO LINE,BRF365,334,1.6697,1.5,338,2,3,4.84,
Refridgerator,HISENSE,GVAV72,277,1.6745,1.5,72,0.5,3,4.27,
Refridgerator,MITSUBISHI ELECTRIC,MR-455UL-ST-A,525,2.3132,2,454,2.5,3,7.25,
Refridgerator,MITSUBISHI ELECTRIC,MR-455U-ST-A,525,2.3132,2,454,2.5,3,7.25,
Refridgerator,MITSUBISHI ELECTRIC,MR-455UL-W-A,525,2.3132,2,454,2.5,3,7.25,
Refridgerator,MITSUBISHI ELECTRIC,MR-455U-W-A,525,2.3132,2,454,2.5,3,7.25,
Refridgerator,MISTRAL,MURF90SS(H),248,2.3358,2,85,0.5,3,4.48,
Refridgerator,SMEG,SR600PRW,760,1.5828,1.5,603,3.5,3,9.1,
Refridgerator,LG,GR-349STQA,485,1.936,1.5,305,1.5,3,6.35,
Refridgerator,LG,GR-391SCA,500,2.2308,2,392,2,3,7,
Refridgerator,ARISTON,SD 350 (FE),387,1.1502,1,349.8,2,3,4.87,
Refridgerator,CONIA,CF220,358,2.0361,2,180.6,1,3,5.58,
Refridgerator,TOSHIBA,GR-H55TA2,552,2.5168,2.5,531.45,3,3,8.02,
Refridgerator,ARISTON,UP 350 F (FE),535,1.3572,1,270,1.5,3,6.35,
Refridgerator,JENN-AIR,JCBJ-20***,653,2.0634,2,594.5,3.5,3,8.53,
Refridgerator,Haier,HFV116,310,1.9591,1.5,116,0.5,3,4.6,
Refridgerator,MAYTAG,MT1526PAKW / MT1526PAKS,470,2.6956,2.5,441,2.5,3,7.2,
Refridgerator,DAEWOO,DFT-405K*,495,2.3296,2,405,2.5,3,6.95,
Refridgerator,HELLER,FDH25,380,2.4773,2,254,1.5,3,5.8,
Refridgerator,SAMSUNG ELECTRONICS,SR328NW,400,2.6987,2.5,328,2,3,6.5,
Refridgerator,SAMSUNG ELECTRONICS,SR296NW,404,2.4624,2,296,1.5,3,6.04,
Refridgerator,CONIA,CF243,403,1.9438,1.5,215,1,3,5.53,
Refridgerator,LG,GR-P257SVB,872,1.4496,1,716,4,3,9.72,
Refridgerator,LG,GR-B197NSS,680,1.9477,1.5,581,3.5,3,8.3,
Refridgerator,LG,GR-B197WSS,680,1.9477,1.5,581,3.5,3,8.3,
Refridgerator,ELECTROLUX,EQE6007SA-NAU,765,1.556,1.5,600,3.5,3,9.15,
Refridgerator,DEC,D220FF,350,2.5124,2.5,218,1,3,6,
Refridgerator,TELMANN,TEL148G,272,2.8143,2.5,144,1,3,5.22,
Refridgerator,TELMANN,TEL208G,316,2.8321,2.5,202,1,3,5.66,
Refridgerator,CENTREX,CTF260,409,2.0371,2,236,1.5,3,6.09,
Refridgerator,Haier,HOVF110,248,2.3358,2,85,0.5,3,4.48,
Refridgerator,TELMANN,HS-390CN(C),400,2.6377,2.5,294.6,1.5,3,6.5,
Refridgerator,LG,GN-422FS,506,2.3305,2,422,2.5,3,7.06,
Refridgerator,Haier,HOBF66,280,0.6198,1,48,0.5,3,3.8,
Refridgerator,Haier,HFSS635S,650,2.271,2,624,3.5,3,8.5,
Refridgerator,Haier,HFSS635RS,650,2.271,2,624,3.5,3,8.5,
Refridgerator,Haier,HFSS635RW,650,2.271,2,624,3.5,3,8.5,
Refridgerator,BOSCH,KAN56V40AU,630,2.3688,2,618,3.5,3,8.3,
Refridgerator,BOSCH,KAN56V10AU,630,2.3688,2,618,3.5,3,8.3,
Refridgerator,FISHER & PAYKEL,E442B - Ice and Water,615,1.673,1.5,442,2.5,3,7.65,
Refridgerator,TOSHIBA,GR-YG55DAA,537,2.6222,2.5,532,3,3,7.87,
Refridgerator,TOSHIBA,GR-Y55DA,555,2.4961,2,532,3,3,7.55,
Refridgerator,NEC,NBR50RSS,288,0.5181,1,48.54,0.5,3,3.88,
Refridgerator,NEC,NBR50RWH,288,0.5181,1,48.54,0.5,3,3.88,
Refridgerator,GENERAL ELECTRIC,PIG23******,864,1.3592,1,680,4,3,9.64,
Refridgerator,GENERAL ELECTRIC,PCG23******,864,1.3592,1,680,4,3,9.64,
Refridgerator,GENERAL ELECTRIC,PCG23,864,1.3592,1,680,4,3,9.64,
Refridgerator,HELLER,PPRH35,387,1.1502,1,353.7,2,3,4.87,
Refridgerator,WANBAO,WB-120D,270,1.4029,1,122,0.5,3,3.7,
Refridgerator,TURBO LINE,BRF55,280,0.6198,1,48,0.5,3,3.8,
Refridgerator,ELECTROLUX,EQE6007SB-NAU,616,2.394,2,602,3.5,3,8.16,
Refridgerator,CONIA,CCF200,334,2.6021,2.5,203.4,1,3,5.84,
Refridgerator,CONIA,CF276B,488,1.743,1.5,278,1.5,3,6.38,
Refridgerator,TOSHIBA,GR-RG58DAA,549,2.6478,2.5,566.1,3,3,7.99,
Refridgerator,WESTINGHOUSE,WTM1800WC,341,2.2155,2,180,1,3,5.41,
Refridgerator,WESTINGHOUSE,WRM1300WC,285,1.2375,1,128,0.5,3,3.85,
Refridgerator,BMC,BBF115,320,0.7138,1,115,0.5,3,4.2,
Refridgerator,WESTINGHOUSE,FR91,238,2.5779,2.5,89.96,0.5,3,4.88,
Refridgerator,PYE,PF85,249,2.3356,2,85,0.5,3,4.49,
Refridgerator,TSUBA TECHNOLOGY,MF-305,390,2.561,2.5,269,1.5,3,6.4,
Refridgerator,TOSHIBA,GR-M41DA,474,2.4107,2,381.61,2,3,6.74,
Refridgerator,TOSHIBA,GR-R41DA,484,2.3308,2,381.61,2,3,6.84,
Refridgerator,LG,GN-466FW,490,2.6499,2.5,466,2.5,3,7.4,
Refridgerator,WESTINGHOUSE,WCM2100WC,322,2.8307,2.5,210,1,3,5.72,
Refridgerator,HELLER,FDH21,352,2.2961,2,202.5,1,3,5.52,
Refridgerator,TOSHIBA,GR-M32DA,449,2.2326,2,321.17,2,3,6.49,
Refridgerator,FISHER & PAYKEL,RF610A,695,1.8783,1.5,614,3.5,3,8.45,
Refridgerator,LIEBHERR,IKP 2850,257,2.3749,2,265,1.5,3,4.57,
Refridgerator,SIGNATURE,SIG-300F,420,2.4861,2,300,1.5,3,6.2,
Refridgerator,HELLER,FRCH19,258,3.0361,3,145.7,1,3,5.58,
Refridgerator,HELLER,FRCH12,249,2.4964,2,95.6,0.5,3,4.49,
Refridgerator,PRIMA,PCF097,228,2.9019,2.5,100,0.5,3,4.78,
Refridgerator,HOMEMAKER,HMRD-66WR4HAE/SPM,524,2.6178,2.5,527.8,3,3,7.74,
Refridgerator,HELLER,FRH-14 (Catalogue No. RS-17DC4HA),330,1.9219,1.5,131.4,1,3,4.8,
Refridgerator,HELLER,FDH-24 (Catalogue No. RD-24WR4HME),352,2.2961,2,202.5,1,3,5.52,
Refridgerator,TURBO 3000,BRF 193,403,1.6979,1.5,193,1,3,5.53,
Refridgerator,TOSHIBA,GR-H41TA,487,2.3074,2,381.61,2,3,6.87,
Refridgerator,TOSHIBA,GR-H46TA,484,2.5118,2.5,423.16,2.5,3,7.34,
Refridgerator,TOSHIBA,GR-H37TA,480,2.1605,2,358.32,2,3,6.8,
Refridgerator,TOSHIBA,GR-H32TA,461,2.1317,2,321.17,2,3,6.61,
Refridgerator,HELLER,PPRH-32,333,1.2722,1,240.52,1.5,3,4.33,
Refridgerator,TURBO LINE,BRF 193,403,1.6979,1.5,193,1,3,5.53,
Refridgerator,HELLER,FDH-28,412,2.041,2,239.16,1.5,3,6.12,
Refridgerator,SIGNATURE,SBR-120,270,1.4348,1,122,0.5,3,3.7,
Refridgerator,MAYTAG,MC2125PALW,670,2.1804,2,632,3.5,3,8.7,
Refridgerator,MAYTAG,MC2125PALB,670,2.1804,2,632,3.5,3,8.7,
Refridgerator,MAYTAG,MC2125PALS,670,2.1804,2,632,3.5,3,8.7,
Refridgerator,HELLER,Model FDH-86 (Cat. No. BCD-272W),430,2.1914,2,286,1.5,3,6.3,
Refridgerator,BAUMATIC,BKZ110SS,248,2.3358,2,85,0.5,3,4.48,
Refridgerator,BAUMATIC,BKZ110W,248,2.3358,2,85,0.5,3,4.48,
Refridgerator,ELECTROLUX,ETM3900S,454,2.5204,2.5,393,2,3,7.04,
Refridgerator,ELECTROLUX,ETM3900W,454,2.5204,2.5,393,2,3,7.04,
Refridgerator,ELECTROLUX,N390S,454,2.5204,2.5,393,2,3,7.04,
Refridgerator,ELECTROLUX,N390,454,2.5204,2.5,393,2,3,7.04,
Refridgerator,SHARP,SJ-F60PC-**,765,1.5652,1.5,602,3.5,3,9.15,
Refridgerator,SHARP,SJ-F60PS-**,765,1.5652,1.5,602,3.5,3,9.15,
Refridgerator,SHARP,SJ-F60P*-**,765,1.5652,1.5,602,3.5,3,9.15,
Refridgerator,IDEAS,IFR85,248,2.3358,2,85,0.5,3,4.48,
Refridgerator,IDEAS,PFR85,248,2.3358,2,85,0.5,3,4.48,
Refridgerator,NEC,NVF85RSS,265,2.0096,2,80.88,0.5,3,4.65,
Refridgerator,NEC,NVF85RWH,265,2.0096,2,80.88,0.5,3,4.65,
Refridgerator,NEC,NVF85R**,265,2.0096,2,80.88,0.5,3,4.65,
Refridgerator,PRIMA,PFF260S,421,2.0987,2,267,1.5,3,6.21,
Refridgerator,PRIMA,PFF260,421,2.0987,2,267,1.5,3,6.21,
Refridgerator,MAYTAG,G32026PEKB,738,1.5754,1.5,587.93,3.5,3,8.88,
Refridgerator,MAYTAG,G32026P***,738,1.5754,1.5,587.93,3.5,3,8.88,
Refridgerator,MITSUBISHI ELECTRIC,MF-U160SL-ST-A,436,1.1885,1,160,1,3,5.36,
Refridgerator,MITSUBISHI ELECTRIC,MF-U160SL-W-A,436,1.1885,1,160,1,3,5.36,
Refridgerator,MITSUBISHI ELECTRIC,MF-U160S-ST-A,436,1.1885,1,160,1,3,5.36,
Refridgerator,MITSUBISHI ELECTRIC,MF-U160S-W-A,436,1.1885,1,160,1,3,5.36,
Refridgerator,GENERAL ELECTRIC,ZDOG240PSS,326,0.9035,1,156,1,3,4.26,
Refridgerator,HITANA,HCF100,262,2.37,2,103,0.5,3,4.62,
Refridgerator,HITACHI,R-550ET5X,575,2.428,2,550,3,3,7.75,
Refridgerator,HITACHI,R-550ET5,575,2.428,2,550,3,3,7.75,
Refridgerator,WESTINGHOUSE,WESTINGHOUSE FD213,349,2.4953,2,207,1,3,5.49,
Refridgerator,WESTINGHOUSE,FD212,349,2.4953,2,207,1,3,5.49,
Refridgerator,WESTINGHOUSE,WESTINGHOUSE FD153,300,2.4511,2,145,1,3,5,
Refridgerator,WESTINGHOUSE,FD152,300,2.4511,2,145,1,3,5,
Refridgerator,ORACLE BY HAIER,HOVF175,350,2.1851,2,175,1,3,5.5,
Refridgerator,WHIRLPOOL,6WMV35NV,389,2.8437,2.5,350,2,3,6.39,
Refridgerator,WHIRLPOOL,6WMV35NS,389,2.8437,2.5,350,2,3,6.39,
Refridgerator,WHIRLPOOL,6WMV35NW,389,2.8437,2.5,350,2,3,6.39,
Refridgerator,WHIRLPOOL,6WMV35**,389,2.8437,2.5,350,2,3,6.39,
Refridgerator,WHIRLPOOL,6WRI22NG,381,2.0892,2,216,1,3,5.81,
Refridgerator,WHIRLPOOL,6WRI22NW,381,2.0892,2,216,1,3,5.81,
Refridgerator,WHIRLPOOL,6WRI22N*,381,2.0892,2,216,1,3,5.81,
Refridgerator,GRAM,KS220-11,227,2.5632,2.5,205,1,3,4.77,
Refridgerator,NOUVEAU,RD-110S,270,2.0019,2,84.5,0.5,3,4.7,
Refridgerator,NOUVEAU,RD-110W,270,2.0019,2,84.5,0.5,3,4.7,
Refridgerator,WHIRLPOOL,6WMV43NV,472,2.559,2.5,430,2.5,3,7.22,
Refridgerator,WHIRLPOOL,6WMV43NS,472,2.559,2.5,430,2.5,3,7.22,
Refridgerator,WHIRLPOOL,6WMV43NW,472,2.559,2.5,430,2.5,3,7.22,
Refridgerator,WHIRLPOOL,6WMV43**,472,2.559,2.5,430,2.5,3,7.22,
Refridgerator,WHIRLPOOL,6GS5***XR*,704,2.3034,2,740,4,3,9.04,
Refridgerator,KELVINATOR,KBM4300W,565,1.9446,1.5,431,2.5,3,7.15,
Refridgerator,SMEG,SR64*XA,650,2.2492,2,618,3.5,3,8.5,
Refridgerator,KELVINATOR,KTM3600W,448,2.4383,2,368,2,3,6.48,
Refridgerator,ELECTROLUX,ESM6470W,810,1.4681,1,643,3.5,3,9.1,
Refridgerator,NOUVEAU,RS-143S,315,0.756,1,114,0.5,3,4.15,
Refridgerator,NOUVEAU,RS-143W,315,0.756,1,114,0.5,3,4.15,
Refridgerator,KELVINATOR,KCM1500W,300,2.4511,2,145,1,3,5,
Refridgerator,KELVINATOR,KCM2100W,349,2.4964,2,207,1,3,5.49,
Refridgerator,MITSUBISHI ELECTRIC,MR-260R-ST-A,431,1.9772,1.5,260,1.5,3,5.81,
Refridgerator,MITSUBISHI ELECTRIC,MR-260R-W-A,431,1.9772,1.5,260,1.5,3,5.81,
Refridgerator,MITSUBISHI ELECTRIC,MR-260R****,431,1.9772,1.5,260,1.5,3,5.81,
Refridgerator,TURBO LINE,BFRC 415,495,2.451,2,404.4,2.5,3,6.95,
Refridgerator,WHIRLPOOL,6WXV47NW,488,2.6264,2.5,471,2.5,3,7.38,
Refridgerator,WHIRLPOOL,6WXV47NS,488,2.6264,2.5,471,2.5,3,7.38,
Refridgerator,WHIRLPOOL,6WXV47**,488,2.6264,2.5,471,2.5,3,7.38,
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375UL-ST-A,570,1.3568,1,376,2,3,6.7,
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375UL-W-A,570,1.3568,1,376,2,3,6.7,
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375U-ST-A,570,1.3568,1,376,2,3,6.7,
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375U-W-A,570,1.3568,1,376,2,3,6.7,
Refridgerator,JENN-AIR,JFUI-26***,772,1.9575,1.5,735,4,3,9.22,
Refridgerator,JENN-AIR,JFUS-26***; JFUI-26***,772,1.9575,1.5,735,4,3,9.22,
Refridgerator,LG,GC-181STA,300,1.1391,1,140,1,3,4,
Refridgerator,LG,GC-181SA,300,1.1391,1,140,1,3,4,
Refridgerator,LG,GR-181SA,300,1.1391,1,140,1,3,4,
Refridgerator,GENERAL ELECTRIC,PSG22SIP**,854,1.2569,1,650,3.5,3,9.54,
Refridgerator,GENERAL ELECTRIC,GSG22KEP**,854,1.2569,1,650,3.5,3,9.54,
Refridgerator,GENERAL ELECTRIC,GSG22KEP**,854,1.2569,1,650,3.5,3,9.54,
Refridgerator,GENERAL ELECTRIC,PSG22SIP**,854,1.2569,1,650,3.5,3,9.54,
Refridgerator,GENERAL ELECTRIC,GSG25MIP***,729,2.2604,2,761,4.5,3,9.29,
Refridgerator,GENERAL ELECTRIC,GSG25MIP***,729,2.2604,2,761,4.5,3,9.29,
Refridgerator,GENERAL ELECTRIC,PCG21SIMF**,842,1.3775,1,653,3.5,3,9.42,
Refridgerator,GENERAL ELECTRIC,PCG21SIMF**,842,1.3775,1,653,3.5,3,9.42,
Refridgerator,WESTINGHOUSE,RP241,315,1.4871,1,241,1.5,3,4.15,
Refridgerator,GENERAL ELECTRIC,PIG23NGS***,864,1.3592,1,680,4,3,9.64,
Refridgerator,GENERAL ELECTRIC,PIG23IB****,864,1.3592,1,680,4,3,9.64,
Refridgerator,GENERAL ELECTRIC,PIG23IBW***,864,1.3592,1,680,4,3,9.64,
Refridgerator,GENERAL ELECTRIC,PSG22SIRF,854,1.2569,1,650,3.5,3,9.54,
Refridgerator,GENERAL ELECTRIC,PSG22SIRF**,854,1.2569,1,650,3.5,3,9.54,
Refridgerator,AMANA,G32526PEKB,796,1.7704,1.5,734.51,4,3,9.46,
Refridgerator,AMANA,G32526PEKW,796,1.7704,1.5,734.51,4,3,9.46,
Refridgerator,GENERAL ELECTRIC,PSG29******,883,1.7745,1.5,852,5,3,10.33,
Refridgerator,GENERAL ELECTRIC,PSG29,883,1.7745,1.5,852,5,3,10.33,
Refridgerator,GENERAL ELECTRIC,PCG21MIMF**,841,1.379,1,653,3.5,3,9.41,
Refridgerator,GENERAL ELECTRIC,PIG21MIMF**,841,1.379,1,653,3.5,3,9.41,
Refridgerator,WESTINGHOUSE,FR181,297,2.8643,2.5,180.1,1,3,5.47,
Refridgerator,TELMANN,TEL-100W,228,2.9019,2.5,100,0.5,3,4.78,
Refridgerator,MITSUBISHI ELECTRIC,MR-CU415P-ST-A,610,1.2864,1,415,2.5,3,7.1,
Refridgerator,MITSUBISHI ELECTRIC,MR-CU415P-W-A,610,1.2864,1,415,2.5,3,7.1,
Refridgerator,MITSUBISHI ELECTRIC,MR-CU415P****,610,1.2864,1,415,2.5,3,7.1,
Refridgerator,MITSUBISHI ELECTRIC,MR-H290UL-**-A,520,1.5686,1.5,290,1.5,3,6.7,
Refridgerator,MITSUBISHI ELECTRIC,MR-H290U-**-A,520,1.5686,1.5,290,1.5,3,6.7,
Refridgerator,AMANA,AS2626GEKB;  AS2626GEKBS,772,1.9575,1.5,735,4,3,9.22,
Refridgerator,AMANA,AS2626GEKW,772,1.9575,1.5,735,4,3,9.22,
Refridgerator,AMANA,AC2228GEKB;  AC2228GEKBS,784,1.5278,1.5,620.9,3.5,3,9.34,
Refridgerator,AMANA,AC2228GEKW,784,1.5278,1.5,620.9,3.5,3,9.34,
Refridgerator,MAYTAG,GS2625GEKB;  GS2625GEKBS,772,1.9575,1.5,735,4,3,9.22,
Refridgerator,MAYTAG,GS2625GEKW,772,1.9575,1.5,735,4,3,9.22,
Refridgerator,MAYTAG,GC2225GEK/B/BS; GC2224DEK/W/B/BS; GC2227HEK/W/B/BS; GC2227HEK/3/5/9,784,1.5278,1.5,620.9,3.5,3,9.34,
Refridgerator,MAYTAG,GC2225GEKW,784,1.5278,1.5,620.9,3.5,3,9.34,
Refridgerator,AMANA,G32026PEKB,738,1.5754,1.5,587.93,3.5,3,8.88,
Refridgerator,AMANA,G32026PEKW,738,1.5754,1.5,587.93,3.5,3,8.88,
Refridgerator,MITSUBISHI ELECTRIC,MR-385R-ST-A,488,2.3193,2,385,2,3,6.88,
Refridgerator,MITSUBISHI ELECTRIC,MR-385R-W-A,488,2.3193,2,385,2,3,6.88,
Refridgerator,MITSUBISHI ELECTRIC,MR-385R****,488,2.3193,2,385,2,3,6.88,
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375P-ST-A,560,1.4245,1,376,2,3,6.6,
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375P-W-A,560,1.4245,1,376,2,3,6.6,
Refridgerator,MITSUBISHI ELECTRIC,MR-CU375P****,560,1.4245,1,376,2,3,6.6,
Refridgerator,ACQUA,GY-NE275FRS/01,390,2.4567,2,254.8,1.5,3,5.9,
Refridgerator,ACQUA,GY-NE355RFS/01,346,1.5831,1.5,351,2,3,4.96,
Refridgerator,MAYTAG,GZ2626GEKB; GZ2626GEKS,819,1.7181,1.5,737.31,4,3,9.69,
Refridgerator,MAYTAG,GZ2626GEKW,819,1.7181,1.5,737.31,4,3,9.69,
Refridgerator,GENERAL ELECTRIC,PIG21MIMF**,841,1.379,1,653,3.5,3,9.41,
Refridgerator,GENERAL ELECTRIC,PCG21MIMF**,841,1.379,1,653,3.5,3,9.41,
Refridgerator,MITSUBISHI ELECTRIC,MR-455R-ST-A,525,2.3132,2,454,2.5,3,7.25,
Refridgerator,MITSUBISHI ELECTRIC,MR-455R-W-A,525,2.3132,2,454,2.5,3,7.25,
Refridgerator,MITSUBISHI ELECTRIC,MR-455R****,525,2.3132,2,454,2.5,3,7.25,
Refridgerator,MITSUBISHI ELECTRIC,MR-560UL-ST-A,570,2.4671,2,560,3,3,7.7,
Refridgerator,MITSUBISHI ELECTRIC,MR-560UL-W-A,570,2.4671,2,560,3,3,7.7,
Refridgerator,MITSUBISHI ELECTRIC,MR-560U-ST-A,570,2.4671,2,560,3,3,7.7,
Refridgerator,MITSUBISHI ELECTRIC,MR-560U-W-A,570,2.4671,2,560,3,3,7.7,
